где,функция,цвета из thermogar_palette (D-1a),"grid / tick_params / spines (D-12, G-1)",cmap (G-6),элементы поверх шкалы (G-8),кегли pt → px при dpi 100 и ступень T-2 (G-7a),"размер, dpi",показ на экране,ряды (G-2…G-4),замечание
app/ThermoGar_app.py:6016,plot_ternary_thermogar,да,"grid(True, color=grid, alpha 0,55) ✓; tick_params(colors=axis) ✓; spines=axis ✓",—,—,заголовок 13 pt (18.1 px → 18 ✓); подписи осей 13 pt (18.1 px → 18 ✓); деления 11 pt (15.3 px → 15 ✓); легенда/подписи 11 pt (15.3 px → 15 ✓),"11,5×8,0 in, dpi 100, проекция triangular",st.pyplot без width (stretch) :9337,"все фазы (info при > 10, :9161); цвет + тип линии; в легенде ещё маркер",форматтеры :g — точка; заголовок {temperature_c:.1f} °C — точка
app/ThermoGar_app.py:6578,plot_ternary_phase_fraction_map,да,"grid(True, color=grid, alpha 0,55) поверх шкалы; tick_params ✓; spines ✓; colorbar ticks colors=axis ✓",cividis ✓ G-6,"контур порога — пара штрихов (фон 3,0 + text 1,1 пунктир) ✓ G-8; сетка одиночным тоном #D8D4CC α 0,55 поверх шкалы ✗ G-8 (спорно: сетка, не данные)","заголовок 13 pt (18.1 px → 18 ✓); подписи осей 13 pt (18.1 px → 18 ✓); деления 11 pt (15.3 px → 15 ✓); легенда/подписи 11 pt (15.3 px → 15 ✓); шкала: подпись 13 pt, деления 11 pt","11,5×8,0 in, dpi 100",st.pyplot без width (stretch) :9824,1 поле цвета + контур порога,подпись порога {threshold:g} мол.% — точка
app/thermogar_diffusion.py:669,_profile_figure,"да (chart_roles, phase_styles)","_apply_chart_chrome (thermogar_diffusion.py:658): grid(color=grid, alpha 0,35) ✓; tick_params(colors=axis) ✓; spines=grid ✗ (линия оси цветом сетки, 1,48:1)",—,—,не заданы — умолчания matplotlib: заголовок 12 pt (16.7 px → 18 ✗ (вне ±1 px)); подписи осей 10 pt (13.9 px → 15 ✗ (вне ±1 px)); деления 10 pt (13.9 px → 15 ✗ (вне ±1 px)); легенда 10 pt,"10×6 in, dpi не задан (100)",st.pyplot(use_container_width=False) :1178,"элементы пары × 2 (начальный профиль «--» α 0,65 + итоговый по phase_styles); у элемента 2 итоговый тоже «--» — совпадает с видом начального ✗ G-4",подписи элементов axis.text без кегля (10 pt)
app/thermogar_diffusion.py:725,_phase_figure,да,"_apply_chart_chrome (thermogar_diffusion.py:658): grid(color=grid, alpha 0,35) ✓; tick_params(colors=axis) ✓; spines=grid ✗ (линия оси цветом сетки, 1,48:1)",—,—,не заданы — умолчания matplotlib: заголовок 12 pt (16.7 px → 18 ✗ (вне ±1 px)); подписи осей 10 pt (13.9 px → 15 ✗ (вне ±1 px)); деления 10 pt (13.9 px → 15 ✗ (вне ±1 px)); легенда 10 pt,"10×5,5 in, dpi 100",st.pyplot(use_container_width=False) :1187,фазы локального равновесия; цвет+линия+маркер,
app/thermogar_precipitation.py:503,"_single_figure (доля, зарождение)",да,"_chrome (thermogar_precipitation.py:487): grid(color=grid, alpha 0,35) ✓; tick_params(colors=axis) ✓; spines=grid ✗ (1,48:1)",—,—,не заданы — умолчания matplotlib: заголовок 12 pt (16.7 px → 18 ✗ (вне ±1 px)); подписи осей 10 pt (13.9 px → 15 ✗ (вне ±1 px)); деления 10 pt (13.9 px → 15 ✗ (вне ±1 px)); легенда 10 pt,"10×5,4 in, dpi 100","st.pyplot без width (stretch) :1628, :1632",1 ряд через phase_styles([key]) = #0D2768 ✗ G-3 (одиночная — #1F60C1),
app/thermogar_precipitation.py:519,_radius_density_figure,да,"_chrome (thermogar_precipitation.py:487): grid(color=grid, alpha 0,35) ✓; tick_params(colors=axis) ✓; spines=grid ✗ (1,48:1); правая ось: spines не окрашены (чёрные по умолчанию)",—,—,не заданы — умолчания matplotlib: заголовок 12 pt (16.7 px → 18 ✗ (вне ±1 px)); подписи осей 10 pt (13.9 px → 15 ✗ (вне ±1 px)); деления 10 pt (13.9 px → 15 ✗ (вне ±1 px)); легенда 10 pt,"10×5,6 in, dpi 100",st.pyplot без width (stretch) :1629,"2 ряда на двух осях: #0D2768 «-» / #4587DE «--», ΔL* 37,9 ✓",
app/thermogar_precipitation.py:541,_composition_figure,да,"_chrome (thermogar_precipitation.py:487): grid(color=grid, alpha 0,35) ✓; tick_params(colors=axis) ✓; spines=grid ✗ (1,48:1)",—,—,не заданы — умолчания matplotlib: заголовок 12 pt (16.7 px → 18 ✗ (вне ±1 px)); подписи осей 10 pt (13.9 px → 15 ✗ (вне ±1 px)); деления 10 pt (13.9 px → 15 ✗ (вне ±1 px)); легенда 10 pt,"10×5,4 in, dpi 100",st.pyplot без width (stretch) :1633,"растворённые элементы (≤ KWN_MAX_SOLUTES); цвет + тип линии, без маркеров",
app/thermogar_precipitation.py:559,_psd_figure,да,"_chrome (thermogar_precipitation.py:487): grid(color=grid, alpha 0,35) ✓; tick_params(colors=axis) ✓; spines=grid ✗ (1,48:1)",—,"заливка α 0,18 того же тона",не заданы — умолчания matplotlib: заголовок 12 pt (16.7 px → 18 ✗ (вне ±1 px)); подписи осей 10 pt (13.9 px → 15 ✗ (вне ±1 px)); деления 10 pt (13.9 px → 15 ✗ (вне ±1 px)); легенда 10 pt,"10×5,4 in, dpi 100",st.pyplot без width (stretch) :1639,1 ряд = #0D2768 ✗ G-3,
app/thermogar_properties.py:1385,_elastic_figure (НЕДОСТИЖИМО),да,"grid(color=grid) ✓; tick_params ✓; spines=grid ✗; фон фигуры не задан (белый) — в тёмной теме подписи #C7C1B6 на белом 1,79:1",—,—,не заданы — умолчания matplotlib: заголовок 12 pt (16.7 px → 18 ✗ (вне ±1 px)); подписи осей 10 pt (13.9 px → 15 ✗ (вне ±1 px)); деления 10 pt (13.9 px → 15 ✗ (вне ±1 px)); легенда 10 pt,"9×5,5 in",render_elastic_section не вызывается из приложения,1 ряд столбцов primary,в счёт находок не входит
app/thermogar_properties.py:1414,_strengthening_figure (НЕДОСТИЖИМО),да,то же,—,—,не заданы — умолчания matplotlib: заголовок 12 pt (16.7 px → 18 ✗ (вне ±1 px)); подписи осей 10 pt (13.9 px → 15 ✗ (вне ±1 px)); деления 10 pt (13.9 px → 15 ✗ (вне ±1 px)); легенда 10 pt,"9×5,5 in",render_strengthening_section не вызывается,1 ряд столбцов primary_dark,в счёт находок не входит
