файл,строка,функция,достижимо,вызов,подпись,глагол результата (W-2),замечание
app/thermogar_properties.py,2178,render_strengthening_section,нет,release_download_button,Скачать PNG,да,
app/thermogar_stage14.py,416,render_user_error,да,release_download_button,Скачать технический отчёт,да,
app/thermogar_stage14.py,1169,render_quick_examples,да,button,"Загрузить пример {label.split(':', 1)[0]}",да,
app/thermogar_stage14.py,1230,render_diagnostics,да,release_calculation_button,Проверить базы и запустить три контрольных расчёта,да,
app/thermogar_stage14.py,1297,render_diagnostics,да,release_download_button,Скачать отчёт диагностики,да,
app/thermogar_workspace.py,1123,render_alloy_library,да,form_submit_button,Сохранить текущий состав,да,
app/thermogar_workspace.py,1191,render_alloy_library,да,button,Загрузить состав в программу,да,
app/thermogar_workspace.py,1222,render_alloy_library,да,button,"Удалить «{selected.get('name', selected_id)}»",да,
app/thermogar_workspace.py,1256,render_alloy_library,да,render_download,Скачать пользовательскую библиотеку,да,
app/thermogar_workspace.py,1271,render_alloy_library,да,verified_state_uploader,Импортировать библиотеку JSON,да,"при отказе подсказка help = «{reason_code}: {reason_detail}» (release_ui:51, :125) — код причины на экране (W-1)"
app/thermogar_workspace.py,1301,render_alloy_library,да,button,Импортировать выбранную библиотеку,да,
app/thermogar_workspace.py,1658,render_projects_and_history,да,form_submit_button,Сохранить проект в папке ThermoGar,да,
app/thermogar_workspace.py,1743,render_projects_and_history,да,button,Открыть проект,да,
app/thermogar_workspace.py,1789,render_projects_and_history,да,render_download,Скачать выбранный проект,да,
app/thermogar_workspace.py,1814,render_projects_and_history,да,button,"Удалить «{selected_payload.get('name', 'проект')}»",да,
app/thermogar_workspace.py,1844,render_projects_and_history,да,verified_state_uploader,Импортировать проект,да,"при отказе подсказка help = «{reason_code}: {reason_detail}» (release_ui:51, :125) — код причины на экране (W-1)"
app/thermogar_workspace.py,1872,render_projects_and_history,да,button,Импортировать выбранный проект,да,
app/thermogar_workspace.py,1957,render_projects_and_history,да,button,Восстановить материал из записи,да,
app/thermogar_workspace.py,1998,render_projects_and_history,да,render_download,Скачать историю CSV,да,
app/thermogar_workspace.py,2013,render_projects_and_history,да,button,Очистить всю историю,да,
app/thermogar_workspace.py,2469,render_batch_calculation,да,verified_batch_export_button,Скачать шаблон Excel,да,"при отказе подсказка help = «{reason_code}: {reason_detail}» (release_ui:51, :125) — код причины на экране (W-1)"
app/thermogar_workspace.py,2480,render_batch_calculation,да,render_download,Скачать подготовленный XLSX,да,латиница/аббревиатура: XLSX (W-1)
app/thermogar_workspace.py,2490,render_batch_calculation,да,verified_batch_export_button,Скачать шаблон CSV,да,"при отказе подсказка help = «{reason_code}: {reason_detail}» (release_ui:51, :125) — код причины на экране (W-1)"
app/thermogar_workspace.py,2501,render_batch_calculation,да,render_download,Скачать подготовленный CSV,да,
app/thermogar_workspace.py,2523,render_batch_calculation,да,verified_state_uploader,Файл составов,не применимо (поле выбора файла),"при отказе подсказка help = «{reason_code}: {reason_detail}» (release_ui:51, :125) — код причины на экране (W-1)"
app/thermogar_workspace.py,2564,render_batch_calculation,да,verified_batch_execute_button,Рассчитать все составы,да,"при отказе подсказка help = «{reason_code}: {reason_detail}» (release_ui:51, :125) — код причины на экране (W-1)"
app/thermogar_workspace.py,2610,render_batch_calculation,да,verified_batch_export_button,Скачать пакетный результат Excel,да,"при отказе подсказка help = «{reason_code}: {reason_detail}» (release_ui:51, :125) — код причины на экране (W-1)"
app/thermogar_workspace.py,2633,render_batch_calculation,да,render_download,Скачать подготовленный результат XLSX,да,латиница/аббревиатура: XLSX (W-1)
