файл,строка,функция,достижимо,вызов,подпись,единица (FM-4),границы в коде,границы в подписи,границы в подсказке help,замечание
app/thermogar_precipitation.py,1531,render_precipitation_section,да,st.slider,Классов размеров,счётная,min max,нет,нет,"границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_precipitation.py,1544,render_precipitation_section,да,st.text_area,Источник и применимость физических входов,—,—,—,—,
app/thermogar_properties.py,1490,render_elastic_section,нет,st.number_input,"Температура расчёта, °C",да,нет,нет,нет,
app/thermogar_properties.py,1870,render_strengthening_section,нет,st.number_input,"Базовое внутреннее сопротивление σ_int, МПа",да,min,нет,нет,"латиница: int (W-1); границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,1882,render_strengthening_section,нет,st.number_input,"k_y, МПа·м^1/2",да,min,нет,нет,"границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,1888,render_strengthening_section,нет,st.number_input,"Средний размер зерна d, мкм",да,min,нет,нет,"границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,1901,render_strengthening_section,нет,st.number_input,Taylor factor M,безразмерная,min,нет,нет,"латиница: factor (W-1); границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,1907,render_strengthening_section,нет,st.number_input,Коэффициент взаимодействия α,безразмерная,min,нет,нет,"границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,1913,render_strengthening_section,нет,st.number_input,"Модуль сдвига G, ГПа",да,min,нет,нет,"границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,1919,render_strengthening_section,нет,st.number_input,"Вектор Бюргерса b, нм",да,min,нет,нет,"границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,1925,render_strengthening_section,нет,st.number_input,"Плотность дислокаций ρ_d, м⁻²",да,min,нет,нет,"границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,1938,render_strengthening_section,нет,st.number_input,"Δσ_ss, МПа",да,min,нет,нет,"границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,1944,render_strengthening_section,нет,st.text_input,Источник коэффициентов / модели,—,—,—,—,
app/thermogar_properties.py,1958,render_strengthening_section,нет,st.number_input,Taylor factor M для Orowan,безразмерная,min,нет,нет,"латиница: factor (W-1); границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,1964,render_strengthening_section,нет,st.number_input,"Модуль сдвига матрицы G, ГПа",да,min,нет,нет,"границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,1970,render_strengthening_section,нет,st.number_input,"Вектор Бюргерса b, нм",да,min,нет,нет,"границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,1976,render_strengthening_section,нет,st.number_input,Коэффициент Пуассона ν,безразмерная,min max,нет,нет,"границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,1983,render_strengthening_section,нет,st.number_input,"Средний радиус частиц r, нм",да,min,нет,нет,"границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,1989,render_strengthening_section,нет,st.number_input,"Межчастичное расстояние λ, нм",да,min,нет,нет,"границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,2005,render_strengthening_section,нет,st.number_input,"Дополнительный вклад, МПа",да,min,нет,нет,"границы есть в коде, в подписи/подсказке нет (FM-4)"
app/thermogar_properties.py,2011,render_strengthening_section,нет,st.text_input,Что это и откуда взято,—,—,—,—,
app/thermogar_properties.py,2016,render_strengthening_section,нет,st.selectbox,Правило объединения вкладов,—,—,—,—,
app/thermogar_properties.py,2026,render_strengthening_section,нет,st.text_area,Источник и применимость всех коэффициентов (обязательно),—,—,—,—,
app/thermogar_workspace.py,1112,render_alloy_library,да,st.text_input,Название марки или состава,—,—,—,—,
app/thermogar_workspace.py,1116,render_alloy_library,да,st.text_area,Заметка (не обязательно),—,—,—,—,
app/thermogar_workspace.py,1171,render_alloy_library,да,st.selectbox,Выберите запись,—,—,—,—,
app/thermogar_workspace.py,1638,render_projects_and_history,да,st.radio,Что открыть,—,—,—,—,
app/thermogar_workspace.py,1647,render_projects_and_history,да,st.text_input,Название проекта,—,—,—,—,
app/thermogar_workspace.py,1651,render_projects_and_history,да,st.text_area,Описание (не обязательно),—,—,—,—,
app/thermogar_workspace.py,1728,render_projects_and_history,да,st.selectbox,Выберите проект,—,—,—,—,
app/thermogar_workspace.py,1918,render_projects_and_history,да,st.multiselect,Показывать события,—,—,—,—,
app/thermogar_workspace.py,1946,render_projects_and_history,да,st.selectbox,Запись для восстановления материала,—,—,—,—,
