файл,строка,функция,достижимо из приложения,вызов,вид места,что выводится,"формат (T-3, D-15)",единица рядом (W-4),дробное число — перевод на запятую по А-2,примечание
app/ThermoGar_app.py,1964,render_b4b_pdb_self_test,да,st.dataframe,таблица,pd.DataFrame(state['projections'][0]['rows']),нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,1998,render_b4b_coverage,да,st.dataframe,таблица,coverage_rows,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,2053,render_b4b2_elastic_properties,да,st.number_input,поле ввода,"Температура, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2132,render_b4b2_elastic_properties,да,st.data_editor,таблица,editor,column_config без format,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,2202,render_b4b2_elastic_properties,да,st.dataframe,таблица,bounds_table,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,2205,render_b4b2_elastic_properties,да,metric_columns[0].metric,метрика,"E Hill, ГПа = f""{summary['E_Hill_GPa']:.3f}""",есть: .3f,да (в подписи),да,
app/ThermoGar_app.py,2206,render_b4b2_elastic_properties,да,metric_columns[1].metric,метрика,"G Hill, ГПа = f""{summary['G_Hill_GPa']:.3f}""",есть: .3f,да (в подписи),да,
app/ThermoGar_app.py,2207,render_b4b2_elastic_properties,да,metric_columns[2].metric,метрика,"ν Hill = f""{summary['nu_Hill']:.5f}""",есть: .5f,безразмерная,да,
app/ThermoGar_app.py,2261,render_b4b2_strengthening,да,st.number_input,поле ввода,"Базовое внутреннее сопротивление, МПа",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2278,render_b4b2_strengthening,да,st.number_input,поле ввода,"k_y, МПа·м¹ᐟ²",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2279,render_b4b2_strengthening,да,st.number_input,поле ввода,"Размер зерна, мкм",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2294,render_b4b2_strengthening,да,st.number_input,поле ввода,M (Taylor),нет (Streamlit по умолчанию %0.2f),безразмерная,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2295,render_b4b2_strengthening,да,st.number_input,поле ввода,α,нет (Streamlit по умолчанию %0.2f),безразмерная,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2296,render_b4b2_strengthening,да,st.number_input,поле ввода,"G, ГПа (Taylor)",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2297,render_b4b2_strengthening,да,st.number_input,поле ввода,"b, нм (Taylor)",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2298,render_b4b2_strengthening,да,st.number_input,поле ввода,"Плотность дислокаций, м⁻²",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2300,render_b4b2_strengthening,да,st.number_input,поле ввода,"Твёрдорастворный вклад, МПа",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2303,render_b4b2_strengthening,да,st.number_input,поле ввода,M (Orowan),нет (Streamlit по умолчанию %0.2f),безразмерная,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2304,render_b4b2_strengthening,да,st.number_input,поле ввода,"G, ГПа (Orowan)",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2305,render_b4b2_strengthening,да,st.number_input,поле ввода,"b, нм (Orowan)",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2306,render_b4b2_strengthening,да,st.number_input,поле ввода,ν (Orowan),нет (Streamlit по умолчанию %0.2f),безразмерная,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2307,render_b4b2_strengthening,да,st.number_input,поле ввода,"Радиус частиц, нм",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2308,render_b4b2_strengthening,да,st.number_input,поле ввода,"Расстояние между частицами, нм",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2310,render_b4b2_strengthening,да,st.number_input,поле ввода,"Другой вклад, МПа",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,2378,render_b4b2_strengthening,да,st.dataframe,таблица,contribution_table,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,2380,render_b4b2_strengthening,да,st.metric,метрика,"Итог, МПа = f""{projection['total_mpa']:.3f}""",есть: .3f,да (в подписи),да,
app/ThermoGar_app.py,2783,phase_selection_editor,да,st.caption,текст экрана,{len(candidate_phases)},целое,счётное,нет,
app/ThermoGar_app.py,2816,phase_selection_editor,да,st.data_editor,таблица,phase_table,column_config без format,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,2862,phase_selection_editor,да,st.caption,текст экрана,{len(selected)},целое,счётное,нет,
app/ThermoGar_app.py,2862,phase_selection_editor,да,st.caption,текст экрана,{len(candidate_phases)},целое,счётное,нет,
app/ThermoGar_app.py,5344,plot_binary_thermogar,да,FuncFormatter,форматтер оси,"lambda value, _position: f'{100.0 * value:g}'",есть (:g),в подписи оси,да,подписи делений оси с точкой
app/ThermoGar_app.py,5347,plot_binary_thermogar,да,FuncFormatter,форматтер оси,"lambda value, _position: f'{value - 273.15:g}'",есть (:g),в подписи оси,да,подписи делений оси с точкой
app/ThermoGar_app.py,5886,plot_isopleth_thermogar,да,FuncFormatter,форматтер оси,"lambda value, _position: f'{100.0 * value:g}'",есть (:g),в подписи оси,да,подписи делений оси с точкой
app/ThermoGar_app.py,5889,plot_isopleth_thermogar,да,FuncFormatter,форматтер оси,"lambda value, _position: f'{value - 273.15:g}'",есть (:g),в подписи оси,да,подписи делений оси с точкой
app/ThermoGar_app.py,6178,plot_ternary_thermogar,да,axes.set_title,текст графика,{temperature_c:.1f},есть: .1f,да,да,
app/ThermoGar_app.py,6200,plot_ternary_thermogar,да,FuncFormatter,форматтер оси,"lambda value, _position: f'{100.0 * value:g}'",есть (:g),в подписи оси,да,подписи делений оси с точкой
app/ThermoGar_app.py,6203,plot_ternary_thermogar,да,FuncFormatter,форматтер оси,"lambda value, _position: f'{100.0 * value:g}'",есть (:g),в подписи оси,да,подписи делений оси с точкой
app/ThermoGar_app.py,6684,plot_ternary_phase_fraction_map,да,axes.set_title,текст графика,{temperature_c:.1f},есть: .1f,да,да,
app/ThermoGar_app.py,6706,plot_ternary_phase_fraction_map,да,FuncFormatter,форматтер оси,"lambda value, _position: f'{100.0 * value:g}'",есть (:g),в подписи оси,да,подписи делений оси с точкой
app/ThermoGar_app.py,6709,plot_ternary_phase_fraction_map,да,FuncFormatter,форматтер оси,"lambda value, _position: f'{100.0 * value:g}'",есть (:g),в подписи оси,да,подписи делений оси с точкой
app/ThermoGar_app.py,6783,plot_ternary_phase_fraction_map,да,.Line2D,текст графика,{threshold:g},есть: g,да,да,
app/ThermoGar_app.py,6973,,да,st.sidebar.success,текст экрана,{len(available_elements)},целое,счётное,нет,
app/ThermoGar_app.py,6973,,да,st.sidebar.success,текст экрана,{len(db.phases)},целое,счётное,нет,
app/ThermoGar_app.py,7065,,да,st.sidebar.number_input,поле ввода,"Давление, Па",format='%.1f',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,7206,,да,st.number_input,поле ввода,"Температура, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,7447,,да,st.dataframe,таблица,result['summary'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,7467,,да,st.dataframe,таблица,phase_table,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,7505,,да,st.number_input,поле ввода,"От, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,7513,,да,st.number_input,поле ввода,"До, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,7521,,да,st.number_input,поле ввода,"Шаг, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,7529,,да,st.number_input,поле ввода,"Показывать на графике фазы с максимумом не менее, %",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,7759,,да,st.dataframe,таблица,result['data'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,7841,,да,st.number_input,поле ввода,"f'{variable_element}: от, %'",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,7849,,да,st.number_input,поле ввода,"f'{variable_element}: до, %'",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,7857,,да,st.number_input,поле ввода,"f'{variable_element}: шаг, %'",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,7864,,да,st.number_input,поле ввода,"Температура, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,7871,,да,st.number_input,поле ввода,"Показывать на графике фазы с максимумом не менее, %",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,8116,,да,st.dataframe,таблица,result['data'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,8234,,да,st.number_input,поле ввода,"f'{right_element}: от, %'",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,8242,,да,st.number_input,поле ввода,"f'{right_element}: до, %'",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,8250,,да,st.number_input,поле ввода,"f'Шаг по составу, {binary_units_label}'",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,8258,,да,st.number_input,поле ввода,"Температура от, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,8264,,да,st.number_input,поле ввода,"Температура до, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,8270,,да,st.number_input,поле ввода,"Шаг по температуре, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,8504,,да,st.dataframe,таблица,result['boundaries'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,8593,,да,st.number_input,поле ввода,"f'{variable_element}: от, ат.%'",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,8604,,да,st.number_input,поле ввода,"f'{variable_element}: до, ат.%'",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,8615,,да,st.number_input,поле ввода,"Шаг по составу, ат.%",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,8626,,да,st.number_input,поле ввода,"Температура от, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,8632,,да,st.number_input,поле ввода,"Температура до, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,8638,,да,st.number_input,поле ввода,"Шаг по температуре, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,8988,,да,st.dataframe,таблица,result['boundaries'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,9087,,да,st.number_input,поле ввода,"Температура, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,9093,,да,st.number_input,поле ввода,"Шаг поиска границ, ат.%",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,9110,,да,st.number_input,поле ввода,Показывать каждую N-ю линию связи,целое (формат не нужен),счётная,нет,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,9356,,да,st.dataframe,таблица,result['boundaries'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,9460,,да,st.number_input,поле ввода,"Температура, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,9467,,да,st.number_input,поле ввода,"Желаемый шаг сетки, %",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,9482,,да,st.number_input,поле ввода,"Провести границу появления фазы при доле, мол.%",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,9504,,да,st.info,текст экрана,{map_point_count},целое,счётное,нет,
app/ThermoGar_app.py,9504,,да,st.info,текст экрана,{actual_step:.3g},есть: .3g,да,да,
app/ThermoGar_app.py,9834,,да,st.metric,метрика,"Максимальная доля = f""{float(summary_lookup['Максимальная мольная доля фазы, %']):.2f} %""",есть: .2f,да (в значении),да,
app/ThermoGar_app.py,9841,,да,st.metric,метрика,Узлов с фазой = int(summary_lookup['Узлов с долей не ниже заданной границы']),целое,счётное,нет,
app/ThermoGar_app.py,9850,,да,st.metric,метрика,Не рассчитано узлов = int(summary_lookup['Не рассчитано узлов']),целое,счётное,нет,
app/ThermoGar_app.py,9871,,да,st.dataframe,таблица,result['summary'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,9881,,да,st.dataframe,таблица,result['data'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,9998,,да,st.number_input,поле ввода,"Начальная температура, °C (solidification_start_kwargs)",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,9999,,да,st.number_input,поле ввода,"Шаг охлаждения, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,10013,,да,st.number_input,поле ввода,"Шаг автоматического повышения, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,10021,,да,st.number_input,поле ввода,"Максимальная проверяемая температура, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,10034,,да,st.number_input,поле ввода,"Максимальная проверяемая температура, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,10041,,да,st.number_input,поле ввода,"Scheil: остановить при остатке расплава, %",format='%.4f',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,10050,,да,st.number_input,поле ввода,"Порог появления фазы, %",format='%.4f',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,10059,,да,st.number_input,поле ввода,"Показывать на графиках фазы от, %",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,10066,,да,st.select_slider,поле ввода,Плотность начального поиска состояний,варианты заданы списком целых,счётная,нет,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,10076,,да,st.number_input,поле ввода,"Точность поиска равновесного солидуса, °C",format='%.2f',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,10180,,да,status.write,текст экрана,{actual_start_k - 273.15:.2f},есть: .2f,да,да,
app/ThermoGar_app.py,10302,,да,status.write,текст экрана,{step},целое,счётное,нет,
app/ThermoGar_app.py,10302,,да,status.write,текст экрана,{total},целое,счётное,нет,
app/ThermoGar_app.py,10302,,да,status.write,текст экрана,{temperature_c:.2f},есть: .2f,да,да,
app/ThermoGar_app.py,10302,,да,status.write,текст экрана,{100.0 * solid:.4f},есть: .4f,да,да,
app/ThermoGar_app.py,10309,,да,status.write,текст экрана,{computed_liquidus_c:.2f},есть: .2f,да,да,
app/ThermoGar_app.py,10309,,да,status.write,текст экрана,{LIQUIDUS_TOLERANCE_C:g},есть: g,да,да,
app/ThermoGar_app.py,10518,,да,st.dataframe,таблица,state['summary'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,10528,,да,st.caption,текст экрана,{LIQUIDUS_TOLERANCE_C:g},есть: g,да,да,
app/ThermoGar_app.py,10538,,да,st.dataframe,таблица,state['start_check'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,10565,,да,st.dataframe,таблица,state['sequences'][phase_method_key],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,10571,,да,st.dataframe,таблица,state['final_phases'][phase_method_key],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,10577,,да,st.dataframe,таблица,state['paths'][phase_method_key],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,10620,,да,st.dataframe,таблица,state['liquid_tables'][liquid_method_key],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,10733,,да,st.number_input,поле ввода,"Температура от, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,10739,,да,st.number_input,поле ввода,"Температура до, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,10745,,да,st.number_input,поле ввода,"Шаг температуры, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,10864,,да,st.dataframe,таблица,energy_state['crossings'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,10872,,да,st.dataframe,таблица,energy_state['absolute'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,10878,,да,st.dataframe,таблица,energy_state['relative'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,10979,,да,st.number_input,поле ввода,"Температура от, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,10985,,да,st.number_input,поле ввода,"Температура до, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,10991,,да,st.number_input,поле ввода,"Шаг температуры, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,11093,,да,st.dataframe,таблица,driving_state['crossings'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,11098,,да,st.dataframe,таблица,driving_state['data'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,11175,,да,st.number_input,поле ввода,"f'{tzero_variable}: от, %'",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,11182,,да,st.number_input,поле ввода,"f'{tzero_variable}: до, %'",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,11189,,да,st.number_input,поле ввода,"f'{tzero_variable}: шаг, %'",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,11264,,да,st.number_input,поле ввода,"Нижняя граница поиска T₀, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,11270,,да,st.number_input,поле ввода,"Верхняя граница поиска T₀, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,11355,,да,st.success,текст экрана,{valid_count},целое,счётное,нет,
app/ThermoGar_app.py,11355,,да,st.success,текст экрана,{total_count},целое,счётное,нет,
app/ThermoGar_app.py,11359,,да,st.warning,текст экрана,{valid_count},целое,счётное,нет,
app/ThermoGar_app.py,11359,,да,st.warning,текст экрана,{total_count},целое,счётное,нет,
app/ThermoGar_app.py,11374,,да,st.dataframe,таблица,tzero_state['data'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,11836,,да,st.dataframe,таблица,"pd.DataFrame([('База', definition['label']), ('Файл', str(database_path)), ('SHA-256', CUR",нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,11854,,да,st.dataframe,таблица,"passport_dataframe(PROJECT_ROOT, fe_profile_key)",нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,12080,,да,st.dataframe,таблица,examples,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,12170,,да,st.dataframe,таблица,reference_view[displayed_columns],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_diffusion.py,1136,_result_display,да,st.metric,метрика,Метод = result.method_label,не число (текст),—,нет,
app/thermogar_diffusion.py,1138,_result_display,да,st.metric,метрика,"Время выдержки, ч = f'{result.actual_time_s / 3600.0:.3g}'",есть: .3g,да (в подписи),да,
app/thermogar_diffusion.py,1140,_result_display,да,st.metric,метрика,"Макс. ошибка баланса, u-доля = f'{result.max_balance_error:.3e}'",есть: .3e,да (в подписи),да,
app/thermogar_diffusion.py,1179,_result_display,да,st.dataframe,таблица,result.profile_table[table_columns],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_diffusion.py,1188,_result_display,да,st.dataframe,таблица,result.phase_fractions,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_diffusion.py,1191,_result_display,да,st.dataframe,таблица,result.balance_table,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_diffusion.py,1192,_result_display,да,st.dataframe,таблица,result.settings,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
