тег;серия;ячейка;зерно;классов;cmin, нм;cmax, нм;bulk_n0, 1/м³;состав;выдержка, с;настройка kawin;статус;остановка;момент остановки, с;конец, с;строк;доля в конце, %;максимум доли, %;радиус в конце, нм;частиц в конце, 1/м³;невязка C до остановки, max |·|;C в выделениях / C сплава на остановке;стена, с;пик памяти, ГиБ;текст
a2_setka_b30_c02_s1;22-А2 шаг 2а;приложения;1;30;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,349032697;1,349032697;885;4,92151;4,92151;0,393265;3,5175e+24;0;1,1119;29,6;0,348;Расчёт остановлен на 1.349 с модельного времени (0.0003747 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b30_c02_s2;22-А2 шаг 2а;приложения;2;30;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;2,374989664;2,374989664;2106;4,90806;4,90806;0,398412;2,9765e+24;1,73e-18;1,1089;58,1;0,345;Расчёт остановлен на 2.375 с модельного времени (0.0006597 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b30_c05_s0;22-А2 шаг 2а;приложения;0;30;0,5;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,677916264;1,677916264;1392;100;100;25,3021;3,0616e+24;0;4708,6569;41,1;0,348;Расчёт остановлен на 1.678 с модельного времени (0.0004661 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b30_c05_s1;22-А2 шаг 2а;приложения;1;30;0,5;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;0,8450165142;0,8450165142;494;100;100;25,2789;2,1644e+24;1,73e-18;3324,0071;20,1;0,346;Расчёт остановлен на 0.845 с модельного времени (0.0002347 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b30_c05_s2;22-А2 шаг 2а;приложения;2;30;0,5;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,346825197;1,346825197;1038;100;100;25,3017;3,0382e+24;1,73e-18;4672,5553;32,8;0,347;Расчёт остановлен на 1.347 с модельного времени (0.0003741 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b40_c02_s0;22-А2 шаг 2а;приложения;0;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,980708307;1,980708307;2133;6,1085;6,1085;0,825848;1,7577e+24;1,73e-18;1,3801;58,9;0,347;Расчёт остановлен на 1.981 с модельного времени (0.0005502 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b40_c02_s1;22-А2 шаг 2а;приложения;1;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;2,430696152;2,430696152;2582;6,11145;6,11145;0,818007;1,8534e+24;0;1,3808;72,4;0,346;Расчёт остановлен на 2.431 с модельного времени (0.0006752 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b40_c02_s2;22-А2 шаг 2а;приложения;2;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;3,109472523;3,109472523;2942;6,37156;6,37156;0,813666;2,0964e+24;0;1,4395;80,9;0,348;Расчёт остановлен на 3.109 с модельного времени (0.0008637 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b40_c05_s0;22-А2 шаг 2а;приложения;0;40;0,5;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,439048322;1,439048322;1096;100;100;42,5403;2,0632e+24;0;15137,3332;35,5;0,345;Расчёт остановлен на 1.439 с модельного времени (0.0003997 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b40_c05_s1;22-А2 шаг 2а;приложения;1;40;0,5;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,187669714;1,187669714;809;100;100;42,5431;2,0950e+24;0;15371,2934;27,4;0,347;Расчёт остановлен на 1.188 с модельного времени (0.0003299 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b40_c05_s2;22-А2 шаг 2а;приложения;2;40;0,5;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,439010118;1,439010118;1096;100;100;42,5401;2,0611e+24;0;15121,3749;34,4;0,348;Расчёт остановлен на 1.439 с модельного времени (0.0003997 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b60_c02_s0;22-А2 шаг 2а;приложения;0;60;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,538612808;1,538612808;1335;5,29473;5,29473;0,657377;1,1928e+24;0;1,1962;39,7;0,348;Расчёт остановлен на 1.539 с модельного времени (0.0004274 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b60_c02_s1;22-А2 шаг 2а;приложения;1;60;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,510653991;1,510653991;1404;5,61719;5,61719;0,616559;2,2128e+24;0;1,2691;41,8;0,348;Расчёт остановлен на 1.511 с модельного времени (0.0004196 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b60_c02_s2;22-А2 шаг 2а;приложения;2;60;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;0,9760254689;0,9760254689;880;5,62783;5,62783;0,615737;2,2654e+24;1,73e-18;1,2715;29,0;0,348;Расчёт остановлен на 0.976 с модельного времени (0.0002711 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b60_c05_s0;22-А2 шаг 2а;приложения;0;60;0,5;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;2,692366852;2,692366852;1966;100;100;32,151;4,4722e+24;1,73e-18;14104,1468;56,5;0,347;Расчёт остановлен на 2.692 с модельного времени (0.0007479 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b60_c05_s1;22-А2 шаг 2а;приложения;1;60;0,5;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,574822396;1,574822396;1271;100;100;32,0593;1,6881e+24;0;5302,5034;38,8;0,344;Расчёт остановлен на 1.575 с модельного времени (0.0004375 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b60_c05_s2;22-А2 шаг 2а;приложения;2;60;0,5;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;2,708630777;2,708630777;2440;100;100;32,1513;4,4944e+24;1,73e-18;14174,3634;72,6;0,347;Расчёт остановлен на 2.709 с модельного времени (0.0007524 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b80_c02_s0;22-А2 шаг 2а;приложения;0;80;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;нет;;3,6;3225;4,40988;4,4099;10,3282;8,8286e+21;0;;90,3;0,346;
a2_setka_b80_c02_s1;22-А2 шаг 2а;приложения;1;80;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,438092925;1,438092925;1457;5,1961;5,1961;0,531338;1,6636e+24;1,73e-18;1,1740;43,6;0,348;Расчёт остановлен на 1.438 с модельного времени (0.0003995 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b80_c02_s2;22-А2 шаг 2а;приложения;2;80;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;2,427226368;2,427226368;2306;5,22461;5,22461;0,513827;2,4052e+24;1,73e-18;1,1804;63,4;0,347;Расчёт остановлен на 2.427 с модельного времени (0.0006742 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b80_c05_s0;22-А2 шаг 2а;приложения;0;80;0,5;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,257810213;1,257810213;1413;100;100;19,3817;1,8805e+24;1,73e-18;1300,7262;44,0;0,346;Расчёт остановлен на 1.258 с модельного времени (0.0003494 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b80_c05_s1;22-А2 шаг 2а;приложения;1;80;0,5;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;0,9991246608;0,9991246608;1175;100;100;19,3857;2,0138e+24;0;1393,4323;37,1;0,348;Расчёт остановлен на 0.9991 с модельного времени (0.0002775 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b80_c05_s2;22-А2 шаг 2а;приложения;2;80;0,5;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;нет;;3,6;4446;4,32746;4,40954;9,45056;1,1279e+22;0;;120,4;0,347;
a2_otl_backend36_s0;22-А2 шаг 2б;расчётного теста;0;30;0,5;10;1e+30;C=0.2, CR=11.5 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;нет;;3,6;10177;4,40331;4,40355;5,33137;5,5591e+22;0;;217,8;0,326;
a2_otl_backend36_s1;22-А2 шаг 2б;расчётного теста;1;30;0,5;10;1e+30;C=0.2, CR=11.5 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;2,904096627;2,904096627;7675;100;100;18,6901;5,2198e+25;0;32314,1155;168,0;0,324;Расчёт остановлен на 2.904 с модельного времени (0.0008067 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_otl_backend36_s2;22-А2 шаг 2б;расчётного теста;2;30;0,5;10;1e+30;C=0.2, CR=11.5 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;нет;;3,6;8823;4,40346;4,40346;5,25214;5,8796e+22;0;;192,2;0,325;
a2_otl_bezNi_s0;22-А2 шаг 2б;приложения;0;40;0,2;10;1e+28;C=0.20, Cr=11.5 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;нет;;3,6;2323;4,40809;4,40812;10,5861;7,5913e+21;0;;54,2;0,320;
a2_otl_bezNi_s1;22-А2 шаг 2б;приложения;1;40;0,2;10;1e+28;C=0.20, Cr=11.5 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;нет;;3,6;2711;4,40809;4,40812;10,5407;7,4762e+21;0;;63,1;0,321;
a2_otl_bezNi_s2;22-А2 шаг 2б;приложения;2;40;0,2;10;1e+28;C=0.20, Cr=11.5 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;2,437140315;2,437140315;1237;6,3733;6,3733;0,779856;3,1305e+24;0;1,4404;32,6;0,320;Расчёт остановлен на 2.437 с модельного времени (0.000677 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_otl_n30_s0;22-А2 шаг 2б;приложения;0;40;0,2;10;1e+30;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;нет;;3,6;10318;4,40546;4,40546;5,25414;5,9113e+22;0;;256,4;0,349;
a2_otl_n30_s1;22-А2 шаг 2б;приложения;1;40;0,2;10;1e+30;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;нет;;3,6;9874;4,40539;4,40543;5,25655;5,8958e+22;0;;246,5;0,350;
a2_otl_n30_s2;22-А2 шаг 2б;приложения;2;40;0,2;10;1e+30;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;нет;;3,6;10205;4,4036;4,40542;5,26068;5,8712e+22;0;;257,3;0,348;
a2_kawin_diss1e-4_s0;22-А2 шаг 2в;приложения;0;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;maxDissolution=0.0001;посчитан;да;1,760611714;1,760611714;1643;5,78337;5,78337;0,80648;1,7549e+24;1,73e-18;1,3066;47,0;0,347;Расчёт остановлен на 1.761 с модельного времени (0.0004891 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_kawin_diss1e-4_s1;22-А2 шаг 2в;приложения;1;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;maxDissolution=0.0001;посчитан;да;1,032048589;1,032048589;994;5,82674;5,82674;0,808355;1,7549e+24;1,73e-18;1,3164;31,8;0,348;Расчёт остановлен на 1.032 с модельного времени (0.0002867 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_kawin_diss1e-4_s2;22-А2 шаг 2в;приложения;2;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;maxDissolution=0.0001;посчитан;да;1,156245549;1,156245549;1186;5,81464;5,81464;0,807699;1,7625e+24;0;1,3137;35,5;0,347;Расчёт остановлен на 1.156 с модельного времени (0.0003212 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_kawin_dtfrac0.1_s0;22-А2 шаг 2в;приложения;0;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;maxDtFrac=0.1;посчитан;да;1,980708307;1,980708307;2133;6,1085;6,1085;0,825848;1,7577e+24;1,73e-18;1,3801;59,6;0,347;Расчёт остановлен на 1.981 с модельного времени (0.0005502 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_kawin_dtfrac0.1_s1;22-А2 шаг 2в;приложения;1;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;maxDtFrac=0.1;посчитан;да;2,430696152;2,430696152;2582;6,11145;6,11145;0,818007;1,8534e+24;0;1,3808;71,7;0,348;Расчёт остановлен на 2.431 с модельного времени (0.0006752 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_kawin_dtfrac0.1_s2;22-А2 шаг 2в;приложения;2;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;maxDtFrac=0.1;посчитан;да;3,109472523;3,109472523;2942;6,37156;6,37156;0,813666;2,0964e+24;0;1,4395;78,4;0,345;Расчёт остановлен на 3.109 с модельного времени (0.0008637 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_kawin_mincomp1e-11_s0;22-А2 шаг 2в;приложения;0;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;minComposition=1e-11;посчитан;нет;;3,6;4016;4,40876;4,4088;8,16538;1,4864e+22;1,73e-18;;104,1;0,348;
a2_kawin_mincomp1e-11_s1;22-А2 шаг 2в;приложения;1;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;minComposition=1e-11;посчитан;нет;;3,6;4001;4,40854;4,40863;7,98103;1,6142e+22;0;;105,8;0,346;
a2_kawin_mincomp1e-11_s2;22-А2 шаг 2в;приложения;2;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;minComposition=1e-11;посчитан;нет;;3,6;3785;4,40866;4,40875;8,19881;1,4934e+22;0;;98,5;0,344;
a2_kawin_mincomp1e-8_s0;22-А2 шаг 2в;приложения;0;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;minComposition=1e-08;посчитан;нет;;3,6;4147;4,4085;4,40876;8,23311;1,4355e+22;1,73e-18;;106,4;0,344;
a2_kawin_mincomp1e-8_s1;22-А2 шаг 2в;приложения;1;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;minComposition=1e-08;посчитан;нет;;3,6;3692;4,4087;4,4087;8,10269;1,5223e+22;0;;97,2;0,348;
a2_kawin_mincomp1e-8_s2;22-А2 шаг 2в;приложения;2;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;minComposition=1e-08;посчитан;нет;;3,6;3735;4,40869;4,40869;8,12583;1,5075e+22;0;;96,8;0,347;
a2_kawin_rcrit1e-3_s0;22-А2 шаг 2в;приложения;0;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;maxRcritChange=0.001;посчитан;да;2,061837112;2,061837112;9097;6,9302;6,9302;0,767445;5,8677e+24;1,73e-18;1,5657;219,5;0,348;Расчёт остановлен на 2.062 с модельного времени (0.0005727 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
