тег;серия;код;ячейка;база;зерно;K;классов;cmin, нм;cmax, нм;bulk_n0, 1/м³;состав;выдержка, с;статус;остановка;момент остановки, с;конец, с;строк;доля в конце, %;максимум доли, %;радиус в конце, нм;частиц в конце, 1/м³;признак (шаг 1 в);невязка до остановки / x0;элемент остановки;сырой состав на остановке / x0;растворений за шаг;ложных зарождений на плато;наибольший рост шага, раз;вызовов баланса с сырым ≤ 0: стадии / шаги;стена, с;пик памяти, ГиБ;текст остановки
x_k4_s2a_app_s3;шаг 2 при K = 4 (прерван, заменён K = 2);после правки;app;fe;3;4;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;3084;4,40935;4,4094;9,33632;1,0392e+22;;;;;0;0;4;0 / 0;84,0;0,347;
x_k4_s2b_umolch_al_s0;шаг 2 при K = 4 (прерван, заменён K = 2);после правки;umolch_al;al;0;4;80;0,2;10;1,000e+28;Cu=4 (ат.%);86400;посчитан;нет;;86400;377;0;0;0;0,0000e+00;;;;;0;0;4;0 / 0;10,7;0,313;
x_k4_s2b_umolch_fe_s0;шаг 2 при K = 4 (прерван, заменён K = 2);после правки;umolch_fe;fe;0;4;80;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);180;снят по пределу 30 мин;предел;;57,45765087;17259;0,13524;;0,50625;2,4884e+24;;;;;0;0;4;0 / 0;478,6;0,342;предел 1800 с
x_k4_s2b_umolch_ni_s0;шаг 2 при K = 4 (прерван, заменён K = 2);после правки;umolch_ni;ni;0;4;80;0,2;10;1,000e+28;Al=15 (ат.%);360000;посчитан;нет;;360000;18733;25,9941;26,0321;92,2274;6,5627e+19;;;;;44;0;4;0 / 0;250,7;0,364;
x_k4_s2v_718_s0;шаг 2 при K = 4 (прерван, заменён K = 2);после правки;718;ni;0;4;800;0,1;50;8,428e+28;NI=54.2, CR=17.9, NB=5.3, MO=2.99, TI=0.97, AL=0.5 (мас.%);360000;посчитан;да;4,715169624;4,715169624;320;7,30869;7,30869;0,534349;1,1255e+26;перелёт;2,09e-16;TI;AL 1,079, CR 1,079, MO 1,079, NB 0,5589, NI 0,9662, TI -0,06501;0;0;2,703;84 / 1;23,7;0,416;Расчёт остановлен на 4.715 с модельного времени (0.00131 ч): доля Ti в матрице стала -0.0766 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
x_probe_umolch_fe_k2_45s;пробы (предел 45 с);после правки;umolch_fe;fe;0;2;80;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);180;снят по пределу 30 мин;предел;;3,167235512;1529;4,40933;;10,3559;8,8223e+21;;;;;0;0;2;0 / 0;45,0;0,341;предел 45 с
x_probe_umolch_fe_k4_45s;пробы (предел 45 с);после правки;umolch_fe;fe;0;4;80;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);180;снят по пределу 30 мин;предел;;4,986520036;1445;0,0128457;;0,50625;2,3636e+23;;;;;0;0;4;0 / 0;45,0;0,342;предел 45 с
x_718_b200_s0;сверх задания;после правки;718;ni;0;2;200;0,1;50;8,428e+28;NI=54.2, CR=17.9, NB=5.3, MO=2.99, TI=0.97, AL=0.5 (мас.%);360000;посчитан;да;4,152756442;4,152756442;248;5,04896;5,04896;0,513136;8,0814e+25;перелёт;2,07e-16;TI;AL 1,053, CR 1,053, MO 1,053, NB 0,6578, NI 0,9757, TI -0,01291;0;0;2;2 / 1;18,0;0,416;Расчёт остановлен на 4.153 с модельного времени (0.001154 ч): доля Ti в матрице стала -0.01522 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
x_718_k15_s0;сверх задания;после правки;718;ni;0;1,5;800;0,1;50;8,428e+28;NI=54.2, CR=17.9, NB=5.3, MO=2.99, TI=0.97, AL=0.5 (мас.%);360000;посчитан;да;4,536122431;4,536122431;290;7,32745;7,32745;0,540112;1,0969e+26;перелёт;2,09e-16;TI;AL 1,079, CR 1,079, MO 1,079, NB 0,5509, NI 0,9656, TI -0,1849;0;0;1,5;45 / 1;21,7;0,416;Расчёт остановлен на 4.536 с модельного времени (0.00126 ч): доля Ti в матрице стала -0.2179 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
x_718_mindt1e-10_s0;сверх задания;после правки;718;ni;0;2;800;0,1;50;8,428e+28;NI=54.2, CR=17.9, NB=5.3, MO=2.99, TI=0.97, AL=0.5 (мас.%);360000;посчитан;да;3,797777916;3,797777916;3117;5,05424;5,05424;0,543381;7,4637e+25;перелёт;2,09e-16;TI;AL 1,053, CR 1,053, MO 1,053, NB 0,662, NI 0,9757, TI -0,0002851;0;0;2;1 / 1;160,4;0,416;Расчёт остановлен на 3.798 с модельного времени (0.001055 ч): доля Ti в матрице стала -0.0003359 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
x_718_trace_s0;сверх задания;после правки;718;ni;0;2;800;0,1;50;8,428e+28;NI=54.2, CR=17.9, NB=5.3, MO=2.99, TI=0.97, AL=0.5 (мас.%);360000;посчитан;да;3,885254072;3,885254072;218;5,29707;5,29707;0,542866;7,8362e+25;перелёт;2,09e-16;TI;AL 1,056, CR 1,056, MO 1,056, NB 0,6338, NI 0,9749, TI -0,008373;0;0;2;;17,5;0,414;Расчёт остановлен на 3.885 с модельного времени (0.001079 ч): доля Ti в матрице стала -0.009864 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
x_k1.1_app_s0;сверх задания;после правки;app;fe;0;1,1;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;1097;4,40968;4,40968;9,78749;9,3870e+21;;;;;0;0;1,1;0 / 0;36,0;0,347;
x_k15_umolch_fe_s0;сверх задания;после правки;umolch_fe;fe;0;1,5;80;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);180;посчитан;нет;;180;18466;4,4116;4,4116;18,8704;1,3094e+21;;;;;0;0;1,5;0 / 0;480,4;0,357;
x_k2_dtmax1e-4_app_s0;сверх задания;после правки;app;fe;0;2;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;10114;4,4098;4,4098;10,0757;8,8916e+21;;;;;0;0;2;0 / 0;248,9;0,348;
x_k4_dtmax1e-4_app_s0;сверх задания;после правки;app;fe;0;4;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;10114;4,4098;4,4098;10,0757;8,8916e+21;;;;;0;0;2,931;0 / 0;247,4;0,349;
x_umolch_fe_001h_s0;сверх задания;после правки;umolch_fe;fe;0;2;80;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);36;посчитан;нет;;36;9843;4,41038;4,41046;12,1448;5,0504e+21;;;;;0;0;2;0 / 0;253,8;0,351;
