прогон;экран;база;вариант;что изменено;время расчёта, с;итог;что на экране;кадры
11;S02;al;umolch;—;35.8;осмысленный;"200–700 °C шагом 25 — 21 точка; GP_MAT ≈88 % + THETA_AL2CU ≈12 % до ≈550 °C, θ растворяется, плавление 575–650 °C (LIQUID 100 % к 650 °C)";S02_al_umolch.png
12;S01;al;umolch;—;11.6;осмысленный;"500 °C: GP_MAT 91.69 %, THETA_AL2CU 8.31 %; составы фаз; проверка равновесия пройдена";S01_al_umolch.png
13;S05;ni;umolch;—;75.4;малоинформативный;"Al 0–10 ат.%, Cr=15, Co=10, 900–1500 °C: 6 линий границ, 0 узлов, фазы линий FCC_A1, GAMMA_PRIME, LIQUID; на графике две линии у 1400–1440 °C и угол γ′ у 10 ат.% Al и 900 °C, остальное поле пустое";S05_ni_umolch.png
14;S05;ni;K3;"«Постоянные добавки, ат.%» Cr=8; «Al: от, ат.%» 0; «Al: до, ат.%» 30; «Шаг по составу, ат.%» 2; «Температура от, °C» 626.85; «Температура до, °C» 1626.85; «Шаг по температуре, °C» 50";53.6;осмысленный;"Al 0–30 ат.%, Cr=8, 626.85–1626.85 °C: 38 линий границ, 1 узел; фазы линий BCC_B2, FCC_A1, GAMMA_PRIME, LIQUID, NIAL; области γ, γ+γ′, γ′, γ′+NiAl, ликвидус/солидус";S05_ni_K3.png
15;S05;al;umolch;—;203.5;осмысленный;"основа Al, меняется Cu 0–6 ат.%: 34 линии границ, 3 узла; фазы линий GP_MAT, LIQUID, MG2SI_B, Q_PHASE_H, SI_DIAMOND_A4, THETA_AL2CU; расчёт 203 с";S05_al_umolch.png
16;S05;fe;umolch;—;68.0;осмысленный;"основа Fe, меняется C 0–1.5 мас.%: 13 линий границ, 0 узлов; фазы линий BCC_B2, M23C6, M7C3, SIGMA; видны солвус карбида до ≈1130 °C и граница феррита у 650 °C";S05_fe_umolch.png
17;S06;al;umolch;—;111.7;осмысленный;"Al–Cu–Mg при 500 °C: 29 линий границ, 24 трёхфазных узла; 15 фаз в легенде";S06_al_umolch_ch1.png, S06_al_umolch_ch2.png
18;S06;fe;umolch;—;34.6;осмысленный;"Fe–Cr–Ni при 800 °C: 10 линий границ, 4 трёхфазных узла; фазы BCC_B2, FCC_A1, GAMMA_PRIME, SIGMA";S06_fe_umolch_ch1.png, S06_fe_umolch_ch2.png
19;S07;al;umolch;—;45.8;спорный: малоинформативный;"THETA_AL2CU на Al–Cu–Mg, 500 °C, шаг 20 %: 21 узел, фаза в 1 узле, максимум 61.30 %; остальной треугольник 0 % — карта показывает одну точку";S07_al_umolch_ch1.png, S07_al_umolch_ch2.png
20;S07;fe;umolch;—;30.6;спорный: малоинформативный;CEMENTITE на Fe–C–Cr, 800 °C, шаг 20 %: 21 узел, фаза в 1 узле, максимум 41.52 % — карта показывает одну точку;S07_fe_umolch_ch1.png, S07_fe_umolch_ch2.png
21;S08;ni;umolch;—;16.9;осмысленный;"старт 1800 °C: ликвидус 1431.8 °C, равновесный солидус 1423.3 °C, Scheil — конец 1394.7 °C; проверки пройдены";S08_ni_umolch.png
22;S08;al;umolch;—;29.4;осмысленный;старт 850 °C: ликвидус 636.2 °C, равновесный солидус 553.3 °C, Scheil — конец 552.6 °C;S08_al_umolch.png
23;S08;fe;umolch;—;59.9;осмысленный;старт 1500 °C: ликвидус 1499.9 °C (на 0.1 °C ниже старта), равновесный солидус 1433.8 °C, Scheil — конец 1256.5 °C;S08_fe_umolch.png
24;S09;al;umolch;—;4.4;осмысленный;GP_MAT и LIQUID, 100–1000 °C: две кривые, одно пересечение 605.8 °C;S09_al_umolch.png
25;S09;fe;umolch;—;6.8;осмысленный;BCC_B2, FCC_A1, LIQUID, 300–1700 °C: три кривые, 4 пересечения (BCC/FCC 683.3 и 1404.8 °C, BCC/LIQUID 1477.5, FCC/LIQUID 1467.4 °C);S09_fe_umolch.png
26;S10;ni;umolch;—;5.5;осмысленный;движущая сила GAMMA_PRIME 300–1700 °C, 57 точек: +2059 Дж/моль при 300 °C, смена знака 1117.3 °C;S10_ni_umolch.png
27;S10;al;umolch;—;7.9;осмысленный;движущая сила LIQUID 100–1000 °C, 91 точка: −6577 Дж/моль при 100 °C, смена знака 553.3 °C;S10_al_umolch.png
28;S10;fe;umolch;—;13.0;осмысленный;движущая сила FCC_A1 300–1700 °C, 57 точек: две смены знака — 774.2 и 1437.8 °C;S10_fe_umolch.png
29;S11;al;umolch;—;4.6;осмысленный;"GP_MAT/LIQUID, окно 100–1000 °C: «T₀ найдено в 31 точках из 31.»; T₀ 660.3 °C при 0 ат.% Cu, убывает";S11_al_umolch_ch1.png, S11_al_umolch_ch2.png
30;S11;fe;umolch;—;42.3;спорный: малоинформативный;"BCC_B2/FCC_A1, окно 300–1700 °C: «T₀ найдено в 15 точках из 21. …»; на графике 3 точки (C 0–0.2 мас.%, T₀ 911.7 → 735.9 °C); 12 строк таблицы без состава с T₀ 1563–1680 °C отмечены «найдено» и на график не выходят";S11_fe_umolch_ch1.png, S11_fe_umolch_ch2.png
32;S11;fe;K4;"«Нижняя граница поиска T₀, °C» 600; «Верхняя граница поиска T₀, °C» 760";33.3;спорный: малоинформативный;"окно 600–760 °C: «T₀ найдено в 4 точках из 21. …»; C 0.2–0.5 мас.%, T₀ 735.9 → 612.1 °C; было 3 точки на графике, стало 4";S11_fe_K4_ch1.png, S11_fe_K4_ch2.png
33;S11;ni;dop (gp);"«Нижняя граница поиска T₀, °C» 1230; «Верхняя граница поиска T₀, °C» 1630; «Фаза 1» FCC_A1; «Фаза 2» GAMMA_PRIME";5.9;малоинформативный;"FCC_A1/GAMMA_PRIME (пара по умолчанию), окно 1230–1630 °C: «T₀ найдено в 5 точках из 26. …»; Al 21–25 ат.%, T₀ ≈1340–1585 °C";S11_ni_dop_gp_ch1.png, S11_ni_dop_gp_ch2.png
34;S11;ni;dop (liq);"«Нижняя граница поиска T₀, °C» 1230; «Верхняя граница поиска T₀, °C» 1630; «Фаза 1» FCC_A1; «Фаза 2» LIQUID";4.5;осмысленный;"FCC_A1/LIQUID (пара подсказки), окно 1230–1630 °C: «T₀ найдено в 26 точках из 26.»; T₀ 1455.1 → 1343 °C";S11_ni_dop_liq_ch1.png, S11_ni_dop_liq_ch2.png
35;S12;al;umolch;—;10.0;осмысленный;"500 °C: плотность сплава 2768.8 кг/м³; покрытие 100 %; THETA_AL2CU по правилу смеси (8.31 % мол.)";S12_al_umolch.png
36;S13;al;umolch;—;40.9;осмысленный;"200–700 °C шагом 25 — 21 точка: 2841.7 кг/м³ при 473.15 K, убывает; THETA_AL2CU по правилу смеси";S13_al_umolch_ch1.png, S13_al_umolch_ch2.png
37;S14;al;umolch (shag1);—;10.0;осмысленный;"шаг 1: GP_MAT 0.9169 / объём 0.9238, THETA_AL2CU 0.0831 / 0.0762; E, ν, происхождение, источник пусты";S14_al_umolch_shag1.png
38;S14;ni;umolch (shag2);—;10.3 + 1.6;ошибка;"«ThermoGar не завершил расчёт. Проверьте состав, диапазон и набор фаз. Если ошибка повторяется, скачайте технический отчёт ниже.» + «Код ошибки: 20260925-114824-d8041c77»; причины на экране нет (шаг 1 до этого — 10 с)";S14_ni_umolch_shag2.png
39;S15;ni;umolch (b);—;1.6;ошибка;«ThermoGar не завершил расчёт. Проверьте состав, диапазон и набор фаз. Если ошибка повторяется, скачайте технический отчёт ниже. Причина: Укажите источник и область применимости всех коэффициентов.» + «Код ошибки: 20260925-114903-a35e221a»;S15_ni_umolch_a.png, S15_ni_umolch_b.png
40;S15;ni;dop (v);«Источник и область применимости входов» Проверка умолчаний 21-Л;1.5;ошибка;"BL-65 подтверждён: «ThermoGar не завершил расчёт. Проверьте состав, диапазон и набор фаз. Если ошибка повторяется, скачайте технический отчёт ниже.» + «Код ошибки: 20260925-114941-82fef0aa»; причины по-русски нет";S15_ni_dop_v.png
41;S15;ni;dop (g);"«Источник и область применимости входов» Проверка умолчаний 21-Л; «Подтверждаю область применимости введённых коэффициентов» True";1.5;малоинформативный;"одна строка: «Внутреннее сопротивление / базовый уровень» σ_int = 0 МПа, «задано пользователем»; механизмы выключены";S15_ni_dop_g.png
42;S15;al;dop (g);"«Источник и область применимости входов» Проверка умолчаний 21-Л; «Подтверждаю область применимости введённых коэффициентов» True";1.5;малоинформативный;то же, что ni: одна строка σ_int = 0 МПа;S15_al_dop_g.png
43;S15;fe;dop (g);"«Источник и область применимости входов» Проверка умолчаний 21-Л; «Подтверждаю область применимости введённых коэффициентов» True";2.0;малоинформативный;то же, что ni: одна строка σ_int = 0 МПа;S15_fe_dop_g.png
44;S16;al;umolch;—;11.2;осмысленный;"пара Al–Cu, 24 ч, 80 ячеек на 200 мкм: Cu 1 → 1.84–1.92 ат.% у левого края (профиль выравнивается); ошибка баланса 2.0·10⁻⁸; FCC_A1 100 %";S16_al_umolch_ch1.png, S16_al_umolch_ch2.png
45;S16;fe;umolch;—;36.7;осмысленный;"пара Fe–C–Cr, 1 ч, 80 ячеек: C 0.46 → 0.67 ат.% слева; ошибка баланса 3.4·10⁻⁸; FCC_A1 100 %";S16_fe_umolch_ch1.png, S16_fe_umolch_ch2.png
46;S17;ni;umolch;—;1.6;ошибка;«Расчёт не выполнен из-за неверных исходных данных. Для многофазной гомогенизации выберите минимум две фазы.» + «Код ошибки: 20260925-115409-ffff6d6d»;S17_ni_umolch.png
47;S17;ni;K5;«Фазы локального равновесия» FCC_A1, NIAL;79.9;спорный: осмысленный;"FCC_A1 + NIAL, 100 ч, 80 ячеек: профили Ni, Al, Cr, ошибка баланса 6.0·10⁻⁸; NIAL — 0 % во всех 80 ячейках (Excel экрана), FCC_A1 100 % — вторая фаза на экране не видна";S17_ni_K5_ch1.png, S17_ni_K5_ch2.png
48;S17;fe;umolch;—;189.1;спорный: осмысленный;"FCC_A1 + BCC_A2, 1 ч, 80 ячеек: профили Fe, C, Cr со ступенью посередине; ошибка баланса 3.4·10⁻⁸; BCC_A2 0 % в видимых строках";S17_fe_umolch_ch1.png, S17_fe_umolch_ch2.png
49;S19;ni;umolch;—;314.9;осмысленный;"100 ч, 800 °C: первое выделение 1.6·10⁻⁵ ч, максимум доли γ′ 26.03 %, итог 26.00 %, средний радиус 92.3 нм, укрупнение на плато; предупреждение о критическом радиусе 0.268 нм < 0.3 нм";S19_ni_umolch_ch1.png, S19_ni_umolch_ch2.png
51;S19;al;umolch;—;17.0;малоинформативный;"24 ч: «Первое обнаружение выделений — не обнаружены», максимальная и итоговая доля 0 %, радиус 0; проверки пройдены";S19_al_umolch_ch1.png, S19_al_umolch_ch2.png
52;S19;fe;umolch;—;900.4;не завершён;"не завершён за 15 мин; на экране «Расчёт KWN может занять несколько минут…»";S19_fe_umolch_nezavershen.png
