случай,группа,slow,начало,секунд,пик_дерева_гиб,свободно_на_входе_гиб,мин_свободно_гиб,ждал_памяти_с,код_выхода,снят_по_памяти
f_driving_fe,А,False,2026-09-23T16:35:13+03:00,21.3,0.68,7.81,7.13,0,0,False
f_tzero_ni,А,False,2026-09-23T16:35:34+03:00,16.3,0.30,7.80,7.53,0,0,False
f_tzero_al,А,False,2026-09-23T16:35:50+03:00,13.2,0.30,7.81,7.52,0,0,False
f_tzero_fe,А,False,2026-09-23T16:36:03+03:00,44.7,0.31,7.81,7.51,0,0,False
f_density_ni,А,False,2026-09-23T16:36:48+03:00,19.8,0.41,7.81,7.41,0,0,False
f_density_al,А,False,2026-09-23T16:37:08+03:00,21.4,0.99,7.81,6.82,0,0,False
f_density_fe,А,False,2026-09-23T16:37:29+03:00,26.9,0.72,7.80,7.10,0,0,False
f_density_warning_ni,А,False,2026-09-23T16:37:56+03:00,54.4,1.68,7.82,6.16,0,0,False
f_density_t_ni,А,False,2026-09-23T16:38:51+03:00,17.3,0.44,7.83,7.41,0,0,False
f_density_t_al,А,False,2026-09-23T16:39:08+03:00,36.6,2.58,7.83,5.39,0,0,False
f_density_t_fe,А,False,2026-09-23T16:39:45+03:00,34.0,1.34,7.88,6.55,0,0,False
f_elastic_ni,А,False,2026-09-23T16:40:19+03:00,20.8,0.43,7.87,7.47,0,0,False
f_elastic_al,А,False,2026-09-23T16:40:39+03:00,22.4,0.99,7.88,6.91,0,0,False
f_elastic_fe,А,False,2026-09-23T16:41:02+03:00,27.9,0.72,7.88,7.16,0,0,False
f_strength_ni,А,False,2026-09-23T16:41:30+03:00,12.7,0.25,7.89,7.65,0,0,False
f_strength_al,А,False,2026-09-23T16:41:42+03:00,11.2,0.24,7.88,7.65,0,0,False
f_strength_fe,А,False,2026-09-23T16:41:54+03:00,14.7,0.26,7.88,7.63,0,0,False
f_binary_ni,А,True,2026-09-23T16:42:08+03:00,29.5,0.42,7.88,7.46,0,0,False
f_binary_al,А,True,2026-09-23T16:42:38+03:00,44.7,1.19,7.87,6.70,0,0,False
f_binary_fe,А,True,2026-09-23T16:43:23+03:00,34.5,0.96,7.89,6.93,0,0,False
f_isopleth_ni,А,True,2026-09-23T16:43:57+03:00,80.8,1.28,7.88,6.79,0,0,False
f_isopleth_al,А,True,2026-09-23T16:45:18+03:00,200.6,1.91,7.89,5.98,0,0,False
f_isopleth_fe,А,True,2026-09-23T16:48:38+03:00,76.2,1.50,7.82,6.32,0,0,False
f_ternary_ni,А,True,2026-09-23T16:49:55+03:00,42.2,0.81,7.80,7.00,0,0,False
f_ternary_al,А,True,2026-09-23T16:50:37+03:00,118.4,1.60,7.80,6.18,0,0,False
f_ternary_fe,А,True,2026-09-23T16:52:35+03:00,46.2,0.93,7.79,6.87,0,0,False
f_tmap_ni,А,True,2026-09-23T16:53:21+03:00,25.4,1.36,7.78,6.52,0,0,False
f_tmap_al,А,True,2026-09-23T16:53:47+03:00,64.0,3.12,7.78,4.76,0,0,False
f_tmap_fe,А,True,2026-09-23T16:54:51+03:00,43.2,2.89,7.79,4.98,0,0,False
f_phasemap3_ni,А,False,2026-09-23T16:55:34+03:00,11.7,0.24,7.78,7.56,0,0,False
f_phasemap3_al,А,False,2026-09-23T16:55:46+03:00,9.7,0.23,7.79,7.57,0,0,False
f_phasemap3_fe,А,False,2026-09-23T16:55:56+03:00,13.2,0.25,7.79,7.55,0,0,False
f_db_change,А,False,2026-09-23T16:56:09+03:00,27.9,0.44,7.78,7.35,0,0,False
g_render_ni,Б,False,2026-09-23T16:56:37+03:00,11.7,0.24,7.77,7.51,0,0,False
g_render_al,Б,False,2026-09-23T16:56:48+03:00,9.2,0.23,7.78,7.51,0,0,False
g_render_fe,Б,False,2026-09-23T16:56:58+03:00,13.2,0.25,7.73,7.49,0,0,False
g_run_gate,Б,False,2026-09-23T16:57:11+03:00,24.9,0.27,7.73,7.43,0,0,False
g_single_ni,Б,False,2026-09-23T16:57:36+03:00,22.9,0.31,7.72,7.44,0,0,False
g_single_al,Б,False,2026-09-23T16:57:59+03:00,18.3,0.30,7.73,7.43,0,0,False
g_single_fe,Б,False,2026-09-23T16:58:17+03:00,25.9,0.31,7.71,7.40,0,0,False
g_hom_ni,Б,False,2026-09-23T16:58:43+03:00,22.4,0.33,7.70,7.39,0,0,False
g_hom_fe,Б,False,2026-09-23T16:59:05+03:00,25.9,0.34,7.70,7.38,0,0,False
g_hom_al,Б,False,2026-09-23T16:59:31+03:00,10.7,0.24,7.70,7.49,0,0,False
g_kwn_ni,Б,False,2026-09-23T16:59:42+03:00,34.6,0.37,7.79,7.41,0,0,False
g_kwn_al,Б,False,2026-09-23T17:00:16+03:00,25.4,0.40,7.77,7.39,0,0,False
g_kwn_fe,Б,True,2026-09-23T17:00:42+03:00,74.7,0.41,7.80,7.39,0,0,False
g_kwn_fe_provenance,Б,True,2026-09-23T17:01:56+03:00,65.6,0.43,7.78,7.27,0,0,False
g_kwn_matrix_al,Б,False,2026-09-23T17:03:02+03:00,10.2,0.23,7.68,7.47,0,0,False
g_kwn_matrix_fe,Б,False,2026-09-23T17:03:12+03:00,13.7,0.25,7.69,7.45,0,0,False
g_kwn_too_long,Б,False,2026-09-23T17:03:26+03:00,13.2,0.25,7.69,7.45,0,0,False
g_kwn_eight,Б,False,2026-09-23T17:03:39+03:00,12.7,0.25,7.69,7.45,0,0,False
g_bounded_kin_single,Б,False,2026-09-23T17:03:52+03:00,11.2,0.24,7.68,7.45,0,0,False
g_bounded_kin_hom,Б,False,2026-09-23T17:04:03+03:00,11.2,0.24,7.68,7.45,0,0,False
g_bad_couple_1,Б,False,2026-09-23T17:04:14+03:00,13.7,0.26,7.69,7.44,0,0,False
g_bad_couple_2,Б,False,2026-09-23T17:04:28+03:00,13.2,0.25,7.68,7.42,0,0,False
g_bad_couple_3,Б,False,2026-09-23T17:04:41+03:00,13.2,0.25,7.69,7.44,0,0,False
g_kwn_grid,Б,False,2026-09-23T17:04:54+03:00,21.8,0.26,7.68,7.43,0,0,False
g_ni_kwn_hour,Б,True,2026-09-23T17:05:16+03:00,77.2,0.38,7.68,7.32,0,0,False
g_fe_defaults,Б,False,2026-09-23T17:06:33+03:00,12.7,0.25,7.68,7.44,0,0,False
h_library_ni,В,False,2026-09-23T17:06:46+03:00,34.0,0.30,7.68,7.39,0,0,False
h_library_al,В,False,2026-09-23T17:07:20+03:00,34.1,0.30,7.68,7.39,0,0,False
h_library_fe,В,False,2026-09-23T17:07:54+03:00,34.1,0.31,7.67,7.37,0,0,False
h_library_roundtrip,В,False,2026-09-23T17:08:28+03:00,28.4,0.30,7.68,7.38,0,0,False
h_project_ni,В,False,2026-09-23T17:08:57+03:00,26.9,0.29,7.68,7.39,0,0,False
h_project_al,В,False,2026-09-23T17:09:24+03:00,24.9,0.29,7.66,7.39,0,0,False
h_project_fe,В,False,2026-09-23T17:09:49+03:00,23.4,0.30,7.67,7.39,0,0,False
h_project_export,В,False,2026-09-23T17:10:12+03:00,34.0,0.31,7.68,7.38,0,0,False
h_confirmations,В,False,2026-09-23T17:10:46+03:00,17.8,0.29,7.68,7.39,0,0,False
h_history,В,False,2026-09-23T17:11:04+03:00,25.4,0.29,7.67,7.38,0,0,False
h_batch_comma,В,False,2026-09-23T17:11:29+03:00,15.2,0.26,7.68,7.42,0,0,False
h_batch_semicolon,В,False,2026-09-23T17:11:44+03:00,14.7,0.26,7.67,7.42,0,0,False
h_batch_comma_bom,В,False,2026-09-23T17:11:59+03:00,14.7,0.26,7.67,7.41,0,0,False
h_batch_semicolon_bom,В,False,2026-09-23T17:12:14+03:00,14.7,0.26,7.66,7.41,0,0,False
h_batch_junk,В,False,2026-09-23T17:12:29+03:00,14.7,0.26,7.65,7.40,0,0,False
h_batch_template,В,False,2026-09-23T17:12:43+03:00,16.8,0.27,7.65,7.42,0,0,False
h_batch_summary,В,False,2026-09-23T17:13:00+03:00,24.9,0.42,7.68,7.26,0,0,False
h_batch_three,В,True,2026-09-23T17:13:25+03:00,43.7,1.41,7.67,6.26,0,0,False
h_batch_c15,В,True,2026-09-23T17:14:09+03:00,14.7,0.26,7.66,7.42,0,0,False
h_first_run,В,False,2026-09-23T17:14:24+03:00,13.2,0.24,7.67,7.42,0,0,False
h_phase_reference_ni,В,False,2026-09-23T17:14:37+03:00,12.7,0.25,7.72,7.46,0,0,False
h_phase_reference_al,В,False,2026-09-23T17:14:49+03:00,10.7,0.24,7.70,7.46,0,0,False
h_phase_reference_fe,В,False,2026-09-23T17:15:00+03:00,14.2,0.26,7.69,7.44,0,0,False
h_batch_fe08,В,False,2026-09-23T17:15:14+03:00,26.9,0.84,7.68,6.85,0,0,False
sh_density_nicr_on,Г,False,2026-09-23T17:15:41+03:00,19.8,0.43,7.68,7.26,0,0,False
sh_density_t_nicr_on,Г,False,2026-09-23T17:16:01+03:00,26.9,1.09,7.68,6.68,0,0,False
sh_elastic_nicr_on,Г,False,2026-09-23T17:16:28+03:00,21.3,0.45,7.68,7.23,0,0,False
sh_density_nicr_off,Г,False,2026-09-23T17:16:49+03:00,19.8,0.43,7.68,7.25,0,0,False
sh_density_t_nicr_off,Г,False,2026-09-23T17:17:09+03:00,27.9,1.09,7.67,6.68,0,0,False
sh_elastic_nicr_off,Г,False,2026-09-23T17:17:37+03:00,21.3,0.45,7.67,7.23,0,0,False
sh_density_nialcr_on,Г,False,2026-09-23T17:17:58+03:00,20.8,0.49,7.67,7.13,0,0,False
sh_density_t_nialcr_on,Г,False,2026-09-23T17:18:19+03:00,35.6,2.41,7.60,5.37,0,0,False
sh_elastic_nialcr_on,Г,False,2026-09-23T17:18:55+03:00,22.4,0.51,7.69,6.87,0,0,False
sh_density_nialcr_off,Г,False,2026-09-23T17:19:17+03:00,20.9,0.49,7.39,6.77,0,0,False
sh_density_t_nialcr_off,Г,False,2026-09-23T17:19:38+03:00,36.2,2.41,7.26,4.97,0,0,False
sh_elastic_nialcr_off,Г,False,2026-09-23T17:20:14+03:00,23.9,0.51,7.28,6.36,0,0,False
sh_density_fecrc_on,Г,False,2026-09-23T17:20:38+03:00,25.4,0.61,6.89,6.30,0,0,False
sh_density_t_fecrc_on,Г,False,2026-09-23T17:21:04+03:00,60.1,2.88,7.01,4.50,0,0,False
sh_elastic_fecrc_on,Г,False,2026-09-23T17:22:04+03:00,27.5,0.63,7.28,6.64,0,0,False
sh_density_fecrc_off,Г,False,2026-09-23T17:22:31+03:00,25.4,0.61,7.27,6.71,0,0,False
sh_density_t_fecrc_off,Г,False,2026-09-23T17:22:57+03:00,58.0,2.87,7.33,4.59,0,0,False
sh_elastic_fecrc_off,Г,False,2026-09-23T17:23:55+03:00,26.4,0.63,7.38,6.77,0,0,False
sh_solid_nicr,Г,True,2026-09-23T17:24:21+03:00,29.0,0.49,7.40,6.81,0,0,False
sh_solid_nialcr,Г,True,2026-09-23T17:24:50+03:00,36.8,0.56,7.38,7.00,0,0,False
sh_solid_fecrc,Г,True,2026-09-23T17:25:27+03:00,57.5,1.45,8.21,6.68,0,0,False
