случай,группа,slow,начало,секунд,пик_дерева_гиб,свободно_на_входе_гиб,мин_свободно_гиб,ждал_памяти_с,код_выхода,снят_по_памяти
f_ternary_fe,А,True,2026-09-23T18:01:28+03:00,43.2,0.93,7.76,6.90,0,0,False
f_tmap_ni,А,True,2026-09-23T18:02:12+03:00,25.4,1.36,7.78,6.49,0,0,False
f_tmap_al,А,True,2026-09-23T18:02:37+03:00,65.3,3.12,7.75,4.72,0,0,False
f_tmap_fe,А,True,2026-09-23T18:03:42+03:00,41.2,2.89,7.74,4.94,0,0,False
f_phasemap3_ni,А,False,2026-09-23T18:04:23+03:00,11.2,0.24,7.74,7.52,0,0,False
f_phasemap3_al,А,False,2026-09-23T18:04:35+03:00,9.2,0.23,7.73,7.46,0,0,False
f_phasemap3_fe,А,False,2026-09-23T18:04:44+03:00,12.2,0.25,7.74,7.50,0,0,False
f_db_change,А,False,2026-09-23T18:04:56+03:00,25.4,0.44,7.74,7.31,0,0,False
g_render_ni,Б,False,2026-09-23T18:05:21+03:00,10.7,0.24,7.74,7.51,0,0,False
g_render_al,Б,False,2026-09-23T18:05:32+03:00,8.6,0.23,7.74,7.52,0,0,False
g_render_fe,Б,False,2026-09-23T18:05:41+03:00,12.2,0.25,7.75,7.45,0,0,False
g_run_gate,Б,False,2026-09-23T18:05:53+03:00,22.9,0.28,7.69,7.47,0,0,False
g_single_ni,Б,False,2026-09-23T18:06:16+03:00,20.8,0.31,7.74,7.45,0,0,False
g_single_al,Б,False,2026-09-23T18:06:37+03:00,16.8,0.30,7.74,7.46,0,0,False
g_single_fe,Б,False,2026-09-23T18:06:54+03:00,24.4,0.32,7.74,7.43,0,0,False
g_hom_ni,Б,False,2026-09-23T18:07:18+03:00,21.3,0.33,7.74,7.42,0,0,False
g_hom_fe,Б,False,2026-09-23T18:07:39+03:00,25.9,0.34,7.74,7.41,0,0,False
g_hom_al,Б,False,2026-09-23T18:08:05+03:00,10.2,0.24,7.73,7.50,0,0,False
g_kwn_ni,Б,False,2026-09-23T18:08:15+03:00,34.1,0.38,7.73,7.38,0,0,False
g_kwn_al,Б,False,2026-09-23T18:08:49+03:00,24.4,0.41,7.74,7.35,0,0,False
g_kwn_fe,Б,True,2026-09-23T18:09:14+03:00,73.2,0.41,7.74,7.34,0,0,False
g_kwn_fe_provenance,Б,True,2026-09-23T18:10:27+03:00,61.5,0.43,7.73,7.33,0,0,False
g_kwn_matrix_al,Б,False,2026-09-23T18:11:29+03:00,9.2,0.23,7.74,7.52,0,0,False
g_kwn_matrix_fe,Б,False,2026-09-23T18:11:38+03:00,12.7,0.25,7.74,7.50,0,0,False
g_kwn_too_long,Б,False,2026-09-23T18:11:50+03:00,13.2,0.25,7.74,7.46,0,0,False
g_kwn_eight,Б,False,2026-09-23T18:12:04+03:00,13.2,0.25,7.73,7.46,0,0,False
g_bounded_kin_single,Б,False,2026-09-23T18:12:17+03:00,11.7,0.24,7.72,7.44,0,0,False
g_bounded_kin_hom,Б,False,2026-09-23T18:12:29+03:00,11.2,0.24,7.67,7.51,0,0,False
g_bad_couple_1,Б,False,2026-09-23T18:12:40+03:00,13.7,0.26,7.73,7.47,0,0,False
g_bad_couple_2,Б,False,2026-09-23T18:12:53+03:00,13.2,0.25,7.73,7.47,0,0,False
g_bad_couple_3,Б,False,2026-09-23T18:13:07+03:00,13.2,0.26,7.74,7.49,0,0,False
g_kwn_grid,Б,False,2026-09-23T18:13:20+03:00,20.8,0.26,7.74,7.49,0,0,False
g_ni_kwn_hour,Б,True,2026-09-23T18:13:41+03:00,74.7,0.39,7.74,7.36,0,0,False
g_fe_defaults,Б,False,2026-09-23T18:14:56+03:00,12.2,0.25,7.74,7.50,0,0,False
h_library_ni,В,False,2026-09-23T18:15:08+03:00,32.0,0.30,7.74,7.45,0,0,False
h_library_al,В,False,2026-09-23T18:15:40+03:00,32.0,0.30,7.74,7.45,0,0,False
h_library_fe,В,False,2026-09-23T18:16:12+03:00,32.0,0.31,7.76,7.44,0,0,False
h_library_roundtrip,В,False,2026-09-23T18:16:44+03:00,26.4,0.30,7.76,7.48,0,0,False
h_project_ni,В,False,2026-09-23T18:17:10+03:00,24.9,0.29,7.77,7.49,0,0,False
h_project_al,В,False,2026-09-23T18:17:35+03:00,23.4,0.29,7.77,7.48,0,0,False
h_project_fe,В,False,2026-09-23T18:17:59+03:00,21.9,0.30,7.75,7.47,0,0,False
h_project_export,В,False,2026-09-23T18:18:20+03:00,31.5,0.31,7.76,7.46,0,0,False
h_confirmations,В,False,2026-09-23T18:18:52+03:00,16.8,0.28,7.76,7.49,0,0,False
h_history,В,False,2026-09-23T18:19:09+03:00,23.4,0.28,7.76,7.49,0,0,False
h_batch_comma,В,False,2026-09-23T18:19:32+03:00,13.7,0.26,7.76,7.50,0,0,False
h_batch_semicolon,В,False,2026-09-23T18:19:46+03:00,13.7,0.26,7.75,7.47,0,0,False
h_batch_comma_bom,В,False,2026-09-23T18:20:00+03:00,13.7,0.26,7.75,7.46,0,0,False
h_batch_semicolon_bom,В,False,2026-09-23T18:20:13+03:00,13.7,0.26,7.74,7.46,0,0,False
h_batch_junk,В,False,2026-09-23T18:20:27+03:00,13.7,0.26,7.75,7.51,0,0,False
h_batch_template,В,False,2026-09-23T18:20:41+03:00,15.3,0.27,7.75,7.49,0,0,False
h_batch_summary,В,False,2026-09-23T18:20:56+03:00,22.9,0.42,7.75,7.34,0,0,False
h_batch_three,В,True,2026-09-23T18:21:19+03:00,43.2,1.41,7.75,6.34,0,0,False
h_batch_c15,В,True,2026-09-23T18:22:02+03:00,14.2,0.26,7.75,7.50,0,0,False
h_first_run,В,False,2026-09-23T18:22:16+03:00,12.7,0.25,7.75,7.52,0,0,False
h_phase_reference_ni,В,False,2026-09-23T18:22:29+03:00,12.2,0.25,7.75,7.46,0,0,False
h_phase_reference_al,В,False,2026-09-23T18:22:41+03:00,10.2,0.24,7.74,7.52,0,0,False
h_phase_reference_fe,В,False,2026-09-23T18:22:51+03:00,13.7,0.26,7.74,7.49,0,0,False
h_batch_fe08,В,False,2026-09-23T18:23:05+03:00,26.4,0.84,7.74,6.92,0,0,False
sh_density_nicr_on,Г,False,2026-09-23T18:23:32+03:00,18.8,0.43,7.75,7.32,0,0,False
sh_density_t_nicr_on,Г,False,2026-09-23T18:23:50+03:00,26.5,1.09,7.74,6.74,0,0,False
sh_elastic_nicr_on,Г,False,2026-09-23T18:24:17+03:00,20.3,0.45,7.74,7.30,0,0,False
sh_density_nicr_off,Г,False,2026-09-23T18:24:37+03:00,18.8,0.43,7.74,7.33,0,0,False
sh_density_t_nicr_off,Г,False,2026-09-23T18:24:56+03:00,27.0,1.09,7.74,6.74,0,0,False
sh_elastic_nicr_off,Г,False,2026-09-23T18:25:23+03:00,20.8,0.45,7.74,7.30,0,0,False
sh_density_nialcr_on,Г,False,2026-09-23T18:25:44+03:00,20.3,0.49,7.74,7.26,0,0,False
sh_density_t_nialcr_on,Г,False,2026-09-23T18:26:04+03:00,34.6,2.41,7.74,5.42,0,0,False
sh_elastic_nialcr_on,Г,False,2026-09-23T18:26:39+03:00,19.8,0.51,7.74,7.24,0,0,False
sh_density_nialcr_off,Г,False,2026-09-23T18:26:59+03:00,18.8,0.49,7.73,7.25,0,0,False
sh_density_t_nialcr_off,Г,False,2026-09-23T18:27:17+03:00,32.5,2.41,7.74,5.42,0,0,False
sh_elastic_nialcr_off,Г,False,2026-09-23T18:27:50+03:00,19.8,0.51,7.74,7.25,0,0,False
sh_density_fecrc_on,Г,False,2026-09-23T18:28:10+03:00,22.9,0.61,7.74,7.15,0,0,False
sh_density_t_fecrc_on,Г,False,2026-09-23T18:28:33+03:00,53.9,2.88,7.74,4.96,0,0,False
sh_elastic_fecrc_on,Г,False,2026-09-23T18:29:27+03:00,24.9,0.63,7.74,7.11,0,0,False
sh_density_fecrc_off,Г,False,2026-09-23T18:29:51+03:00,23.9,0.61,7.74,7.14,0,0,False
sh_density_t_fecrc_off,Г,False,2026-09-23T18:30:15+03:00,57.5,2.87,7.74,4.97,0,0,False
sh_elastic_fecrc_off,Г,False,2026-09-23T18:31:13+03:00,24.4,0.63,7.73,7.12,0,0,False
sh_solid_nicr,Г,True,2026-09-23T18:31:37+03:00,25.4,0.49,7.74,7.28,0,0,False
sh_solid_nialcr,Г,True,2026-09-23T18:32:03+03:00,27.9,0.61,7.76,7.15,0,0,False
sh_solid_fecrc,Г,True,2026-09-23T18:32:31+03:00,52.9,1.44,7.74,6.29,0,0,False
