случай,группа,slow,начало,секунд,пик_дерева_гиб,свободно_на_входе_гиб,мин_свободно_гиб,ждал_памяти_с,код_выхода,снят_по_памяти
f_driving_al,А,False,2026-09-23T15:19:29+03:00,21.4,1.03,6.92,5.89,0,0,False
f_driving_fe,А,False,2026-09-23T15:19:51+03:00,25.5,0.68,6.90,6.24,0,0,False
f_tzero_ni,А,False,2026-09-23T15:20:16+03:00,21.4,0.30,6.91,6.62,0,0,False
f_tzero_al,А,False,2026-09-23T15:20:38+03:00,18.4,0.29,6.91,6.64,0,0,False
f_tzero_fe,А,False,2026-09-23T15:20:56+03:00,59.2,0.32,6.92,6.58,0,0,False
f_density_ni,А,False,2026-09-23T15:21:55+03:00,28.6,0.41,6.90,6.46,0,0,False
f_density_al,А,False,2026-09-23T15:22:24+03:00,31.7,0.99,6.86,5.86,0,0,False
f_density_fe,А,False,2026-09-23T15:22:56+03:00,39.9,0.72,6.84,6.13,0,0,False
f_density_warning_ni,А,False,2026-09-23T15:23:36+03:00,71.0,1.75,6.85,5.11,0,0,False
f_density_t_ni,А,False,2026-09-23T15:24:47+03:00,23.5,0.44,6.83,6.40,0,0,False
f_density_t_al,А,False,2026-09-23T15:25:10+03:00,52.2,2.58,6.81,4.31,0,0,False
f_density_t_fe,А,False,2026-09-23T15:26:02+03:00,39.7,1.34,6.80,5.47,0,0,False
f_elastic_ni,А,False,2026-09-23T15:26:42+03:00,20.8,0.43,6.79,6.37,0,0,False
f_elastic_al,А,False,2026-09-23T15:27:03+03:00,23.4,0.99,6.79,5.80,0,0,False
f_elastic_fe,А,False,2026-09-23T15:27:26+03:00,34.7,0.73,6.77,6.07,0,0,False
f_strength_ni,А,False,2026-09-23T15:28:01+03:00,13.2,0.25,6.77,6.51,0,0,False
f_strength_al,А,False,2026-09-23T15:28:14+03:00,10.7,0.24,6.75,6.52,0,0,False
f_strength_fe,А,False,2026-09-23T15:28:25+03:00,16.3,0.26,6.76,6.51,0,0,False
f_binary_ni,А,True,2026-09-23T15:28:41+03:00,33.6,0.42,6.76,6.36,0,0,False
f_binary_al,А,True,2026-09-23T15:29:15+03:00,54.1,1.19,6.84,5.66,0,0,False
f_binary_fe,А,True,2026-09-23T15:30:09+03:00,44.9,0.96,6.84,5.87,0,0,False
f_isopleth_ni,А,True,2026-09-23T15:30:54+03:00,102.6,1.28,6.82,5.56,0,0,False
f_isopleth_al,А,True,2026-09-23T15:32:36+03:00,230.3,1.92,6.82,5.07,0,0,False
f_isopleth_fe,А,True,2026-09-23T15:36:27+03:00,84.0,1.50,7.05,5.56,0,0,False
f_ternary_ni,А,True,2026-09-23T15:37:51+03:00,52.0,0.80,7.06,6.27,0,0,False
f_ternary_al,А,True,2026-09-23T15:38:43+03:00,139.2,1.59,7.05,5.60,0,0,False
f_ternary_fe,А,True,2026-09-23T15:41:02+03:00,55.1,0.92,7.17,6.36,0,0,False
f_tmap_ni,А,True,2026-09-23T15:41:57+03:00,33.2,1.37,7.28,5.99,0,0,False
f_tmap_al,А,True,2026-09-23T15:42:30+03:00,87.4,3.09,7.27,4.26,0,0,False
f_tmap_fe,А,True,2026-09-23T15:43:58+03:00,57.7,2.90,7.25,4.55,0,0,False
f_phasemap3_ni,А,False,2026-09-23T15:44:55+03:00,13.8,0.24,7.35,7.12,0,0,False
f_phasemap3_al,А,False,2026-09-23T15:45:09+03:00,11.2,0.23,7.35,7.14,0,0,False
f_phasemap3_fe,А,False,2026-09-23T15:45:20+03:00,15.8,0.25,7.35,7.07,0,0,False
f_db_change,А,False,2026-09-23T15:45:36+03:00,32.6,0.44,7.35,6.91,0,0,False
g_render_ni,Б,False,2026-09-23T15:46:09+03:00,12.7,0.24,7.34,7.08,0,0,False
g_render_al,Б,False,2026-09-23T15:46:22+03:00,10.2,0.23,7.33,7.12,0,0,False
g_render_fe,Б,False,2026-09-23T15:46:32+03:00,13.7,0.25,7.33,7.08,0,0,False
g_run_gate,Б,False,2026-09-23T15:46:46+03:00,28.5,0.28,7.33,7.07,0,0,False
g_single_ni,Б,False,2026-09-23T15:47:14+03:00,25.5,0.30,7.33,7.03,0,0,False
g_single_al,Б,False,2026-09-23T15:47:40+03:00,21.4,0.29,7.32,7.04,0,0,False
g_single_fe,Б,False,2026-09-23T15:48:01+03:00,30.6,0.33,7.33,6.97,0,0,False
g_hom_ni,Б,False,2026-09-23T15:48:32+03:00,28.6,0.33,7.28,6.96,0,0,False
g_hom_fe,Б,False,2026-09-23T15:49:00+03:00,31.1,0.34,7.27,7.05,0,0,False
g_hom_al,Б,False,2026-09-23T15:49:31+03:00,11.2,0.25,7.36,7.13,0,0,False
g_kwn_ni,Б,False,2026-09-23T15:49:42+03:00,34.6,0.37,7.37,7.01,0,0,False
g_kwn_al,Б,False,2026-09-23T15:50:17+03:00,24.9,0.40,7.36,6.98,0,0,False
g_kwn_fe,Б,True,2026-09-23T15:50:42+03:00,82.5,0.41,7.37,6.94,0,0,False
g_kwn_fe_provenance,Б,True,2026-09-23T15:52:04+03:00,80.6,0.43,7.33,6.91,0,0,False
g_kwn_matrix_al,Б,False,2026-09-23T15:53:25+03:00,11.2,0.23,7.33,7.11,0,0,False
g_kwn_matrix_fe,Б,False,2026-09-23T15:53:36+03:00,15.3,0.25,7.34,7.08,0,0,False
g_kwn_too_long,Б,False,2026-09-23T15:53:52+03:00,14.8,0.25,7.32,7.09,0,0,False
g_kwn_eight,Б,False,2026-09-23T15:54:06+03:00,14.8,0.25,7.34,7.08,0,0,False
g_bounded_kin_single,Б,False,2026-09-23T15:54:21+03:00,13.3,0.24,7.34,7.10,0,0,False
g_bounded_kin_hom,Б,False,2026-09-23T15:54:34+03:00,13.3,0.24,7.33,7.10,0,0,False
g_bad_couple_1,Б,False,2026-09-23T15:54:48+03:00,15.8,0.25,7.33,7.09,0,0,False
g_bad_couple_2,Б,False,2026-09-23T15:55:04+03:00,15.8,0.26,7.33,7.09,0,0,False
g_bad_couple_3,Б,False,2026-09-23T15:55:19+03:00,15.8,0.25,7.33,7.08,0,0,False
g_kwn_grid,Б,False,2026-09-23T15:55:35+03:00,26.0,0.26,7.33,7.07,0,0,False
g_ni_kwn_hour,Б,True,2026-09-23T15:56:01+03:00,90.7,0.40,7.33,6.94,0,0,False
g_fe_defaults,Б,False,2026-09-23T15:57:32+03:00,14.8,0.25,7.31,7.07,0,0,False
h_library_ni,В,False,2026-09-23T15:57:47+03:00,40.3,0.30,7.31,6.98,0,0,False
h_library_al,В,False,2026-09-23T15:58:27+03:00,44.4,0.30,7.28,7.01,0,0,False
h_library_fe,В,False,2026-09-23T15:59:11+03:00,45.4,0.31,7.31,6.99,0,0,False
h_library_roundtrip,В,False,2026-09-23T15:59:57+03:00,39.9,0.31,7.35,7.04,0,0,False
h_project_ni,В,False,2026-09-23T16:00:37+03:00,37.8,0.29,7.33,7.03,0,0,False
h_project_al,В,False,2026-09-23T16:01:14+03:00,35.8,0.29,7.32,7.03,0,0,False
h_project_fe,В,False,2026-09-23T16:01:50+03:00,33.2,0.30,7.30,7.01,0,0,False
h_project_export,В,False,2026-09-23T16:02:23+03:00,45.4,0.31,7.31,6.98,0,0,False
h_confirmations,В,False,2026-09-23T16:03:09+03:00,23.0,0.28,7.29,7.02,0,0,False
h_history,В,False,2026-09-23T16:03:32+03:00,34.2,0.30,7.29,7.01,0,0,False
h_batch_comma,В,False,2026-09-23T16:04:06+03:00,17.8,0.26,7.29,7.03,0,0,False
h_batch_semicolon,В,False,2026-09-23T16:04:24+03:00,14.7,0.26,7.27,7.03,0,0,False
h_batch_comma_bom,В,False,2026-09-23T16:04:39+03:00,15.8,0.26,7.28,7.03,0,0,False
h_batch_semicolon_bom,В,False,2026-09-23T16:04:54+03:00,14.8,0.26,7.27,6.98,0,0,False
h_batch_junk,В,False,2026-09-23T16:05:09+03:00,14.2,0.26,7.29,7.03,0,0,False
h_batch_template,В,False,2026-09-23T16:05:23+03:00,15.8,0.28,7.29,7.00,0,0,False
h_batch_summary,В,False,2026-09-23T16:05:39+03:00,24.4,0.42,7.28,6.87,0,0,False
h_batch_three,В,True,2026-09-23T16:06:04+03:00,43.2,1.41,7.29,5.95,0,0,False
h_batch_c15,В,True,2026-09-23T16:06:47+03:00,17.3,0.26,7.35,7.07,0,0,False
h_first_run,В,False,2026-09-23T16:07:04+03:00,15.3,0.25,7.32,7.09,0,0,False
h_phase_reference_ni,В,False,2026-09-23T16:07:19+03:00,14.8,0.26,7.32,7.06,0,0,False
h_phase_reference_al,В,False,2026-09-23T16:07:34+03:00,12.8,0.24,7.32,7.09,0,0,False
h_phase_reference_fe,В,False,2026-09-23T16:07:47+03:00,17.3,0.26,7.32,7.03,0,0,False
h_batch_fe08,В,False,2026-09-23T16:08:04+03:00,35.2,0.84,7.33,6.50,0,0,False
sh_density_nicr_on,Г,False,2026-09-23T16:08:40+03:00,25.5,0.43,7.33,6.90,0,0,False
sh_density_t_nicr_on,Г,False,2026-09-23T16:09:05+03:00,31.6,1.09,7.32,6.36,0,0,False
sh_elastic_nicr_on,Г,False,2026-09-23T16:09:37+03:00,22.9,0.45,8.01,7.67,0,0,False
sh_density_nicr_off,Г,False,2026-09-23T16:10:00+03:00,19.8,0.43,8.13,7.66,0,0,False
sh_density_t_nicr_off,Г,False,2026-09-23T16:10:19+03:00,29.5,1.09,8.07,7.16,0,0,False
sh_elastic_nicr_off,Г,False,2026-09-23T16:10:49+03:00,20.3,0.45,8.20,7.76,0,0,False
sh_density_nialcr_on,Г,False,2026-09-23T16:11:09+03:00,19.8,0.49,8.19,7.48,0,0,False
sh_density_t_nialcr_on,Г,False,2026-09-23T16:11:29+03:00,37.7,2.41,7.95,5.59,0,0,False
sh_elastic_nialcr_on,Г,False,2026-09-23T16:12:07+03:00,23.4,0.51,7.91,7.42,0,0,False
sh_density_nialcr_off,Г,False,2026-09-23T16:12:30+03:00,21.9,0.49,7.91,7.45,0,0,False
sh_density_t_nialcr_off,Г,False,2026-09-23T16:12:52+03:00,37.2,2.41,7.92,5.60,0,0,False
sh_elastic_nialcr_off,Г,False,2026-09-23T16:13:29+03:00,22.9,0.51,7.93,7.64,0,0,False
sh_density_fecrc_on,Г,False,2026-09-23T16:13:52+03:00,25.4,0.61,8.17,7.28,0,0,False
sh_density_t_fecrc_on,Г,False,2026-09-23T16:14:18+03:00,59.1,2.88,7.88,5.24,0,0,False
sh_elastic_fecrc_on,Г,False,2026-09-23T16:15:17+03:00,27.5,0.63,8.03,7.41,0,0,False
sh_density_fecrc_off,Г,False,2026-09-23T16:15:44+03:00,27.5,0.61,8.04,7.38,0,0,False
sh_density_t_fecrc_off,Г,False,2026-09-23T16:16:12+03:00,61.6,2.88,7.99,5.18,0,0,False
sh_elastic_fecrc_off,Г,False,2026-09-23T16:17:13+03:00,29.0,0.63,7.97,7.32,0,0,False
sh_solid_nicr,Г,True,2026-09-23T16:17:42+03:00,28.0,0.49,7.94,7.55,0,0,False
sh_solid_nialcr,Г,True,2026-09-23T16:18:10+03:00,34.1,0.61,8.02,7.29,0,0,False
sh_solid_fecrc,Г,True,2026-09-23T16:18:44+03:00,53.9,1.44,7.98,6.30,0,0,False
