element	databases	element_density_now	old_trace_value	old_source	pdb_functions	pdb_own_dp	old_verdict	now_source
MG	al	1608.6061148674999	1608.6061148674999	FCC_A1 MG:VA <- DP(FCC_A1,MG:VA) = D0HCP_MG+DTMGHCP	D0HCP_MG DTMGHCP DTMGLIQ	DP(LIQUID,MG) = D0HCP_MG+DTMGLIQ | DP(FCC_A1,MG:VA) = D0HCP_MG+DTMGHCP | DP(HCP_A3,MG:VA) = D0HCP_MG+DTMGHCP	верно	matrix DP(FCC_A1,MG:VA)
MN	ni,al,fe	7020.577799464962	7020.577799464962	FCC_A1 MN:VA <- DP(FCC_A1,MN:VA) = D0BCC_MN+DTMNFCC	D0BCC_MN DTMNBCC DTMNFCC	DP(LIQUID,MN) = D0BCC_MN+DTFELIQ | DP(BCC_A2,MN:VA) = D0BCC_MN+DTMNBCC | DP(FCC_A1,MN:VA) = D0BCC_MN+DTMNFCC	верно	matrix DP(FCC_A1,MN:VA)
MO	ni,fe	10089.710535035161	10089.710535035161	FCC_A1 MO:VA <- DP(FCC_A1,MO:VA) = D0BCC_MO+DTMOBCC	D0BCC_MO DTMOBCC	DP(LIQUID,MO) = D0BCC_MO+DTFELIQ | DP(BCC_A2,MO:VA) = D0BCC_MO+DTMOBCC | DP(FCC_A1,MO:VA) = D0BCC_MO+DTMOBCC	верно	matrix DP(FCC_A1,MO:VA)
N	ni,fe		7713.1177930275	FCC_A1 N:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	—	DP(LIQUID,N) = D0DIAM_C+DTFELIQ	подмена (умолчание *)	нет в PDB
NB	ni,fe	8423.1177930275	8423.1177930275	FCC_A1 NB:VA <- DP(FCC_A1,NB:VA) = D0BCC_NB+DTFEFCC	D0BCC_NB DTNBBCC	DP(LIQUID,NB) = D0BCC_NB+DTFELIQ | DP(BCC_A2,NB:VA) = D0BCC_NB+DTNBBCC | DP(FCC_A1,NB:VA) = D0BCC_NB+DTFEFCC	верно	matrix DP(FCC_A1,NB:VA)
NI	ni,al,fe	8576.731874220672	8576.731874220672	FCC_A1 NI:VA <- DP(FCC_A1,NI:VA) = D0FCC_NI+DTNIFCC	D0FCC_NI DTNIFCC	DP(LIQUID,NI) = D0FCC_NI+DTFELIQ | DP(BCC_A2,NI:VA) = D0FCC_NI+DTNIFCC | DP(FCC_A1,NI:VA) = D0FCC_NI+DTNIFCC	верно	matrix DP(FCC_A1,NI:VA)
O	ni,fe		7713.117793027501	FCC_A1 O:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	—	—	подмена (умолчание *)	нет в PDB
P	fe	1820.0	7713.117793027499	FCC_A1 P:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	D0MONO_P	—	подмена (умолчание *)	function D0MONO_P | Плотность элемента P в правиле смеси взята по функции D0MONO_P физической базы — это плотность при 298,15 K; теплового расширения этого элемента в базе нет, и при других температурах оно не учтено.
PD	fe	12020.0	7713.1177930275	FCC_A1 PD:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	D0FCC_PD	—	подмена (умолчание *)	function D0FCC_PD | Плотность элемента PD в правиле смеси взята по функции D0FCC_PD физической базы — это плотность при 298,15 K; теплового расширения этого элемента в базе нет, и при других температурах оно не учтено.
S	ni,fe	1909.1177930274998	1909.1177930274998	FCC_A1 S:VA <- DP(FCC_A1,S:VA) = D0CUB_S+DTFEFCC	D0CUB_S	DP(LIQUID,S) = D0CUB_S+DTFELIQ | DP(BCC_A2,S:VA) = D0CUB_S+DTFEBCC | DP(FCC_A1,S:VA) = D0CUB_S+DTFEFCC	верно	matrix DP(FCC_A1,S:VA)
SC	al	2904.3602630516075		—	D0HCP_SC DTSCHCP	—	нет значения	function D0HCP_SC+DTSCHCP | Плотность элемента SC в правиле смеси взята по функциям D0HCP_SC+DTSCHCP физической базы: модели фазы для него в базе нет.
SI	ni,al,fe	3017.1271352440176	3017.1271352440176	FCC_A1 SI:VA <- DP(FCC_A1,SI:VA) = D0DIAM_SI+DTSIFCC	D0DIAM_SI DTSIDIAM DTSIFCC DTSILIQ	DP(LIQUID,SI) = D0DIAM_SI+DTSILIQ | DP(BCC_A2,SI:VA) = D0DIAM_SI+DTSIFCC | DP(FCC_A1,SI:VA) = D0DIAM_SI+DTSIFCC | DP(HCP_A3,SI:VA) = D0DIAM_SI+DTSIFCC | DP(DIAMOND_A4,SI) = D0DIAM_SI+DTSIDIAM	верно	matrix DP(FCC_A1,SI:VA)
TA	fe	16680.0	7713.117793027499	FCC_A1 TA:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	D0BCC_TA	—	подмена (умолчание *)	function D0BCC_TA | Плотность элемента TA в правиле смеси взята по функции D0BCC_TA физической базы — это плотность при 298,15 K; теплового расширения этого элемента в базе нет, и при других температурах оно не учтено.
TI	ni,al,fe	4338.1177930275	4338.1177930275	FCC_A1 TI:VA <- DP(FCC_A1,TI:VA) = D0HCP_TI+DTFEFCC	D0BCC_TI D0HCP_TI DTTIBCC DTTIHCP	DP(LIQUID,TI) = D0HCP_TI+DTFELIQ | DP(BCC_A2,TI:VA) = D0HCP_TI+DTFEBCC | DP(FCC_A1,TI:VA) = D0HCP_TI+DTFEFCC | DP(HCP_A3,TI:VA) = D0HCP_TI+DTFEBCC | DP(DIAMOND_A4,TI) = D0HCP_TI+DTTIHCP	верно	matrix DP(FCC_A1,TI:VA)
V	ni,fe	5957.117793027499	5957.117793027499	FCC_A1 V:VA <- DP(FCC_A1,V:VA) = D0BCC_V+DTFEFCC	D0BCC_V DTVBCC	DP(LIQUID,V) = D0BCC_V+DTFELIQ | DP(BCC_A2,V:VA) = D0BCC_V+DTVBCC | DP(FCC_A1,V:VA) = D0BCC_V+DTFEFCC	верно	matrix DP(FCC_A1,V:VA)
W	ni,fe	19052.635876871394	19052.635876871394	FCC_A1 W:VA <- DP(FCC_A1,W:VA) = D0BCC_W+DTWBCC	D0BCC_W DTWBCC	DP(LIQUID,W) = D0BCC_W+DTFELIQ | DP(BCC_A2,W:VA) = D0BCC_W+DTWBCC | DP(FCC_A1,W:VA) = D0BCC_W+DTWBCC	верно	matrix DP(FCC_A1,W:VA)
Y	ni,fe		7713.117793027499	FCC_A1 Y:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	—	—	подмена (умолчание *)	нет в PDB
ZN	al	6587.873274104088	7713.117793027501	FCC_A1 ZN:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	D0HCP_ZN DTZNHCP	DP(HCP_A3,ZN:VA) = D0HCP_ZN+DTZNHCP	подмена (умолчание *)	phase DP(HCP_A3,ZN:VA) | Плотность элемента ZN в правиле смеси взята по модели DP(HCP_A3,ZN:VA) физической базы.
ZR	ni,al	6442.989406246015	7713.1177930275	FCC_A1 ZR:VA <- DP(FCC_A1,*) = D0BCC_FE+DTFEFCC	D0HCP_ZR DTZRHCP	DP(HCP_A3,ZR:VA) = D0HCP_ZR+DTZRHCP	подмена (умолчание *)	phase DP(HCP_A3,ZR:VA) | Плотность элемента ZR в правиле смеси взята по модели DP(HCP_A3,ZR:VA) физической базы.
