№ описи 21-С;файл;вызов;строка a68a417;строка 976e707;строка wave21-u;экран (опись 21-С);серое «None» возможно (опись 21-С)
35;app/ThermoGar_app.py;st.dataframe;12531;12541;12575;Проекты и данные → Паспорт базы (fe) → «Технические сведения»;нет
36;app/ThermoGar_app.py;st.dataframe;12756;12766;12801;Проекты и данные → Как пользоваться → «Готовые примеры»;нет
37;app/ThermoGar_app.py;st.dataframe;12847;12857;12892;Проекты и данные → Справочник фаз;"нет — только """""
38;app/thermogar_diffusion.py;st.dataframe;1289;1289;1290;Кинетика → Диффузия и гомогенизация → «Однофазная пара» / «Многофазная гомогенизация», под графиком профиля;редко — NaN только от kawin
39;app/thermogar_diffusion.py;st.dataframe;1298;1298;1300;Кинетика → Диффузия и гомогенизация, «Локальные равновесные доли фаз»;редко — NaN только от kawin
40;app/thermogar_diffusion.py;st.dataframe;1301;1301;1303;Кинетика → Диффузия и гомогенизация → «Проверка баланса и параметры расчёта», первая таблица;редко — NaN/inf в u-долях
41;app/thermogar_diffusion.py;st.dataframe;1302;1302;1304;Кинетика → Диффузия и гомогенизация → «Проверка баланса и параметры расчёта», вторая таблица;нет
42;app/thermogar_diffusion.py;st.dataframe;1868;1868;1871;Кинетика → Диффузия и гомогенизация → «Покрытие базы подвижностей», «Параметры по фазам»;"нет — только """" (теоретически)"
43;app/thermogar_precipitation.py;st.dataframe;1836;1849;1850;Кинетика → Выделения, вид «Итоги», первая таблица;нет
44;app/thermogar_precipitation.py;st.dataframe;1839;1852;1853;Кинетика → Выделения, вид «Итоги», под графиками;нет
45;app/thermogar_precipitation.py;st.dataframe;1843;1856;1857;Кинетика → Выделения, вид «Кинетика и состав»;редко — NaN от kawin
46;app/thermogar_precipitation.py;st.dataframe;1845;1858;1859;Кинетика → Выделения, «Кинетика и состав» → «Составы матрицы и межфазного равновесия», первая таблица;редко — NaN от kawin
47;app/thermogar_precipitation.py;st.dataframe;1846;1859;1860;Кинетика → Выделения, «Кинетика и состав» → тот же раздел, вторая таблица;редко — NaN от kawin
48;app/thermogar_precipitation.py;st.dataframe;1849;1862;1863;Кинетика → Выделения, вид «Распределение размеров»;редко — NaN от kawin
49;app/thermogar_properties.py;st.data_editor;1664;1664;1664;не показывается: render_elastic_section (1524) нигде не вызывается, живой аналог ThermoGar_app.py:2322;не показывается (функция не вызывается)
50;app/thermogar_properties.py;st.dataframe;1806;1806;1807;не показывается (render_elastic_section не вызывается), живой аналог ThermoGar_app.py:2407;не показывается (функция не вызывается)
51;app/thermogar_properties.py;st.dataframe;1807;1807;1808;не показывается (render_elastic_section не вызывается);не показывается (функция не вызывается)
52;app/thermogar_properties.py;st.dataframe;2230;2230;2231;"не показывается: render_strengthening_section (1844) не вызывается; живой аналог ThermoGar_app.py:2599";не показывается (функция не вызывается)
53;app/thermogar_stage14.py;st.dataframe;931;931;932;Панель проверки результата → «Что именно проверено»: Расчёты (Одна температура, Температурный диапазон, Изменение состава), Затвердевание → Сводка;нет
54;app/thermogar_stage14.py;st.dataframe;1269;1269;1270;Проекты и данные → Проверка установки, «Файлы баз» и «Результат загрузки баз»;да — NaN
55;app/thermogar_stage14.py;st.dataframe;1273;1273;1274;Проверка установки → «Технические сведения»;"нет — только """""
56;app/thermogar_stage14.py;st.dataframe;1296;1296;1297;Проверка установки, «Программы и версии»;нет
57;app/thermogar_stage14.py;st.dataframe;1404;1404;1405;Проверка установки, после «Проверить базы и запустить три контрольных расчёта»;да — NaN
58;app/thermogar_workspace.py;st.dataframe;1121;1121;1122;Проекты и данные → Марки и составы, блок «Текущий состав»;"нет — только """""
59;app/thermogar_workspace.py;st.dataframe;1186;1186;1187;Проекты и данные → Марки и составы, «Доступные записи»;"редко — None только при null в файле библиотеки; иначе """""
60;app/thermogar_workspace.py;st.dataframe;1843;1843;1845;Проекты и данные → Проекты и история, «Проекты»;"нет — только """""
61;app/thermogar_workspace.py;st.dataframe;2068;2068;2071;Проекты и данные → Проекты и история, «История расчётов»;"редко — None только при null в журнале; иначе """""
62;app/thermogar_workspace.py;st.dataframe;2774;2774;2780;Проекты и данные → Пакетный расчёт, «Предварительный просмотр»;"нет — только """""
63;app/thermogar_workspace.py;st.dataframe;2849;2849;2856;Проекты и данные → Пакетный расчёт, сводка после «Рассчитать все составы»;да — NaN
64;app/thermogar_workspace.py;st.dataframe;2854;2854;2861;Проекты и данные → Пакетный расчёт → «Строки с ошибками»;да — NaN
