baza,faza,bylo,stalo
al,SITI,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Силицидная фаза.
al,SITI3,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Тетрагональная структура. Силицидная фаза.
al,TI17AL5SI14,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Интерметаллидная фаза.
al,TIALSI_TAU,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Интерметаллидная фаза.
fe,BETA_MN,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Кубическая структура.
fe,BETA_RHOMBO_B,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбоэдрическая структура.
fe,B_CHALC,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Сульфидная фаза.
fe,CORUND,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Оксидная фаза.
fe,CR2B,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Боридная фаза.
fe,CR3MN5,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза.
fe,CRB,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Боридная фаза.
fe,DIGENITE,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Служебная фаза базы: только для расчёта равновесия.
fe,DISULF,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Сульфидная фаза.
fe,FC_MONO,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Моноклинная структура. Высокотемпературная модификация.
fe,FEB,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Боридная фаза.
fe,HALITE,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Оксидная фаза.
fe,HF1O2_C,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Кубическая структура. Оксидная фаза.
fe,HF1O2_M,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Моноклинная структура. Оксидная фаза. Упрочняющий дисперсоид.
fe,HF1O2_T,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Тетрагональная структура. Оксидная фаза.
fe,LA2O3_A,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Гексагональная структура. Оксидная фаза. Упрочняющий дисперсоид.
fe,LA2O3_C,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Кубическая структура. Оксидная фаза.
fe,M2B,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Тетрагональная структура. Боридная фаза.
fe,M5B6,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Боридная фаза.
fe,MN3B4,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Боридная фаза.
fe,MNB2,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Гексагональная структура. Боридная фаза.
fe,MNNI,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Кубическая структура. Интерметаллидная фаза.
fe,MO2M1B2,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Тетрагональная структура. Боридная фаза.
fe,MU_PHASE,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза. Упрочняющая фаза. Твёрдая и хрупкая фаза.
fe,MU_PHASE_I,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза. Упрочняющая фаза. Твёрдая и хрупкая фаза.
fe,O1_GAS,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Газовая фаза. Служебная фаза базы: только для расчёта термодинамических свойств.
fe,O_MN2B,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Боридная фаза.
fe,PD2MN,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Интерметаллидная фаза.
fe,PD5MN3,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Интерметаллидная фаза.
fe,PD6FE5MN2,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Интерметаллидная фаза.
fe,R_PHASE,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Топологически плотноупакованная (ТПУ) фаза.
fe,SIO2,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Оксидная фаза.
fe,TI3B4,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Боридная фаза.
fe,TIB,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Боридная фаза.
fe,TIB2,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Гексагональная структура. Боридная фаза.
fe,TIO2,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Оксидная фаза.
fe,WC,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Гексагональная структура. Карбидная фаза.
fe,Y2TI2O7,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Оксидная фаза. Упрочняющий дисперсоид.
fe,Y2TIO5,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Ромбическая структура. Оксидная фаза. Упрочняющий дисперсоид.
fe,Y4AL2O9,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Моноклинная структура. Оксидная фаза. Упрочняющий дисперсоид.
fe,YALO3,Русская расшифровка для этой специализированной фазы ещё не добавлена.,Оксидная фаза. Упрочняющий дисперсоид.
