экран;вкладка;подвкладка / вид;вид элемента;подпись;key;сейчас в блоке;в одной строке (st.columns);обязательное;решение 9Б;блок;ранг (1 — сворачивать первым);причина по коду;файл:строка
S03;Расчёты;Изменение состава;поле (текст, многострочное);ni: Постоянные добавки, ат.% | al: Постоянные добавки, ат.% | fe: Постоянные добавки, мас.%;fixed_composition_{база};;;нет: пустое — бинарная система основа + изменяемый элемент;открыто;;;вопрос расчёта: состав сплава;app/ThermoGar_app.py:8045
S03;Расчёты;Изменение состава;поле (число);ni: Al: от, ат.% | al: Cr: от, ат.% | fe: Al: от, мас.%;;;st.columns@ThermoGar_app.py:8052 (колонка 1 из 3);нет;открыто;;;вопрос расчёта: диапазон состава;app/ThermoGar_app.py:8055
S03;Расчёты;Изменение состава;поле (число);ni: Al: до, ат.% | al: Cr: до, ат.% | fe: Al: до, мас.%;;;st.columns@ThermoGar_app.py:8052 (колонка 2 из 3);нет;открыто;;;вопрос расчёта: диапазон состава;app/ThermoGar_app.py:8063
S03;Расчёты;Изменение состава;поле (число);ni: Al: шаг, ат.% | al: Cr: шаг, ат.% | fe: Al: шаг, мас.%;;;st.columns@ThermoGar_app.py:8052 (колонка 3 из 3);нет;открыто;;;численный шаг, но в одной строке с «от/до»: свёртка одного шага высоты не даёт;app/ThermoGar_app.py:8071
S03;Расчёты;Изменение состава;поле (число);Температура, °C;concentration_temperature_{база};;;нет;открыто;;;вопрос расчёта: температура;app/ThermoGar_app.py:8078
S03;Расчёты;Изменение состава;поле (число);Показывать на графике фазы с максимумом не менее, %;concentration_threshold;;;нет;свернуть;Точность и критерии;1;"порог показа на графике; на расчёт не влияет";app/ThermoGar_app.py:8085
S03;Расчёты;Изменение состава;радио;Набор фаз;concentration_phase_set_{база};Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2895
S03;Расчёты;Изменение состава;радио;Какие фазы учитывать;concentration_phase_mode_{база};Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2931
S03;Расчёты;Изменение состава;таблица-редактор;phase_table;f'{key_prefix}_phase_editor_{database_key}_{signature}';Управление фазами / метастабильный расчёт;;да, ≥1 фаза в ручном режиме — ThermoGar_app.py:3025–3026;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2975
S04;Диаграммы;Бинарная T–X;выбор;Первый элемент системы;binary_left_{база};;;нет;открыто;;;вопрос расчёта: система;app/ThermoGar_app.py:8414
S04;Диаграммы;Бинарная T–X;выбор;"Второй элемент; его содержание идёт по горизонтальной оси";ni: binary_right_ni_Ni | al: binary_right_al_Al | fe: binary_right_fe_Fe;;;нет;открыто;;;вопрос расчёта: система;app/ThermoGar_app.py:8436
S04;Диаграммы;Бинарная T–X;радио;Единицы горизонтальной оси;binary_units_{база};;;нет;открыто;;;"единицы оси задают смысл чисел «от/до»; держать рядом с ними";app/ThermoGar_app.py:8444
S04;Диаграммы;Бинарная T–X;поле (число);ni: Al: от, ат.% (0–99.999) | al: Cu: от, мас.% (0–99.999) | fe: C: от, мас.% (0–99.999);ni: binary_c_min_ni_Al | al: binary_c_min_al_Cu | fe: binary_c_min_fe_C;;;нет;открыто;;;вопрос расчёта: окно состава;app/ThermoGar_app.py:8453
S04;Диаграммы;Бинарная T–X;поле (число);ni: Al: до, ат.% (0.001–100) | al: Cu: до, мас.% (0.001–100) | fe: C: до, мас.% (0.001–100);ni: binary_c_max_ni_Al | al: binary_c_max_al_Cu | fe: binary_c_max_fe_C;;;нет;открыто;;;вопрос расчёта: окно состава;app/ThermoGar_app.py:8461
S04;Диаграммы;Бинарная T–X;поле (число);ni: Шаг по составу, ат.% | al: Шаг по составу, мас.% | fe: Шаг по составу, мас.%;ni: binary_c_step_ni_Al | al: binary_c_step_al_Cu | fe: binary_c_step_fe_C;;;нет;свернуть;Точность и критерии;3;"шаг сетки по составу — численная настройка (подпись «Шаг по составу»); отдельная строка, свёртка даёт высоту";app/ThermoGar_app.py:8469
S04;Диаграммы;Бинарная T–X;поле (число);Температура от, °C;binary_t_min_{база};;;нет;открыто;;;вопрос расчёта: окно температуры;app/ThermoGar_app.py:8477
S04;Диаграммы;Бинарная T–X;поле (число);Температура до, °C;binary_t_max_{база};;;нет;открыто;;;вопрос расчёта: окно температуры;app/ThermoGar_app.py:8483
S04;Диаграммы;Бинарная T–X;поле (число);Шаг по температуре, °C;binary_t_step_{база};;;нет;свернуть;Точность и критерии;3;"шаг сетки по температуре — численная настройка; отдельная строка";app/ThermoGar_app.py:8489
S04;Диаграммы;Бинарная T–X;галочка;Показывать линии связи в двухфазных областях;binary_tielines_{база};;;нет;свернуть;Точность и критерии;1;"вид графика: линии связи; на расчёт не влияет";app/ThermoGar_app.py:8497
S04;Диаграммы;Бинарная T–X;галочка;Показывать узловые точки;binary_nodes_{база};;;нет;свернуть;Точность и критерии;1;"вид графика: узловые точки; на расчёт не влияет";app/ThermoGar_app.py:8502
S04;Диаграммы;Бинарная T–X;радио;Набор фаз;binary_diagram_phase_set_{база};Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2895
S04;Диаграммы;Бинарная T–X;радио;Какие фазы учитывать;binary_diagram_phase_mode_{база};Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2931
S04;Диаграммы;Бинарная T–X;таблица-редактор;phase_table;f'{key_prefix}_phase_editor_{database_key}_{signature}';Управление фазами / метастабильный расчёт;;да, ≥1 фаза — ThermoGar_app.py:3025–3026, отказ :8575–8576;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2975
S05;Диаграммы;Многокомпонентное T–X;выбор;Изменяемый элемент;ni: isopleth_variable_ni_NI | al: isopleth_variable_al_AL | fe: isopleth_variable_fe_FE;;;нет;открыто;;;вопрос расчёта: ось сечения;app/ThermoGar_app.py:8785
S05;Диаграммы;Многокомпонентное T–X;поле (текст, многострочное);Постоянные добавки, ат.%;ni: isopleth_fixed_ni_NI_Al | al: isopleth_fixed_al_AL_Cu | fe: isopleth_fixed_fe_FE_C;;;да, ≥1 постоянная добавка — ThermoGar_app.py:8894–8899 (до нажатия), :8974–8979 (после нажатия);открыто;;;обязательное поле (≥1 добавка);app/ThermoGar_app.py:8806
S05;Диаграммы;Многокомпонентное T–X;поле (число);ni: Al: от, ат.% (0–99.999) | al: Cu: от, ат.% (0–99.999) | fe: C: от, ат.% (0–99.999);ni: isopleth_c_min_ni_NI_Al | al: isopleth_c_min_al_AL_Cu | fe: isopleth_c_min_fe_FE_C;;;нет;открыто;;;вопрос расчёта: окно состава;app/ThermoGar_app.py:8820
S05;Диаграммы;Многокомпонентное T–X;поле (число);ni: Al: до, ат.% (0.001–99.999) | al: Cu: до, ат.% (0.001–99.999) | fe: C: до, ат.% (0.001–99.999);ni: isopleth_c_max_ni_NI_Al | al: isopleth_c_max_al_AL_Cu | fe: isopleth_c_max_fe_FE_C;;;нет;открыто;;;вопрос расчёта: окно состава;app/ThermoGar_app.py:8831
S05;Диаграммы;Многокомпонентное T–X;поле (число);Шаг по составу, ат.%;ni: isopleth_c_step_ni_NI_Al | al: isopleth_c_step_al_AL_Cu | fe: isopleth_c_step_fe_FE_C;;;нет;свернуть;Точность и критерии;3;"шаг сетки по составу; ISOPLETH_DEFAULTS подобраны под время расчёта (комментарий ThermoGar_app.py:540–542)";app/ThermoGar_app.py:8842
S05;Диаграммы;Многокомпонентное T–X;поле (число);Температура от, °C;isopleth_t_min_{база};;;нет;открыто;;;вопрос расчёта: окно температуры;app/ThermoGar_app.py:8853
S05;Диаграммы;Многокомпонентное T–X;поле (число);Температура до, °C;isopleth_t_max_{база};;;нет;открыто;;;вопрос расчёта: окно температуры;app/ThermoGar_app.py:8859
S05;Диаграммы;Многокомпонентное T–X;поле (число);Шаг по температуре, °C;isopleth_t_step_{база};;;нет;свернуть;Точность и критерии;3;"шаг сетки по температуре; то же";app/ThermoGar_app.py:8865
S05;Диаграммы;Многокомпонентное T–X;галочка;Показывать узловые точки;isopleth_nodes_{база};;;нет;свернуть;Точность и критерии;1;вид графика: узловые точки;app/ThermoGar_app.py:8873
S05;Диаграммы;Многокомпонентное T–X;радио;Набор фаз;ni: isopleth_NI_Al_phase_set_ni | al: isopleth_AL_Cu_phase_set_al | fe: isopleth_FE_C_phase_set_fe;Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2895
S05;Диаграммы;Многокомпонентное T–X;радио;Какие фазы учитывать;ni: isopleth_NI_Al_phase_mode_ni | al: isopleth_AL_Cu_phase_mode_al | fe: isopleth_FE_C_phase_mode_fe;Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2931
S05;Диаграммы;Многокомпонентное T–X;таблица-редактор;phase_table;f'{key_prefix}_phase_editor_{database_key}_{signature}';Управление фазами / метастабильный расчёт;;да, ≥1 фаза — ThermoGar_app.py:3025–3026, отказ :9066–9068;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2975
S06;Диаграммы;Тройная при T = const;выбор;Элемент A — нижняя правая вершина;ternary_x_{база};;;нет;открыто;;;вопрос расчёта: система;app/ThermoGar_app.py:9272
S06;Диаграммы;Тройная при T = const;выбор;Элемент B — верхняя вершина;ni: ternary_y_ni_Al | al: ternary_y_al_Cu | fe: ternary_y_fe_Cr;;;нет;открыто;;;вопрос расчёта: система;app/ThermoGar_app.py:9294
S06;Диаграммы;Тройная при T = const;выбор;"Элемент C — нижняя левая вершина; остаток до 100 %";ni: ternary_dependent_ni_Al_Cr | al: ternary_dependent_al_Cu_Mg | fe: ternary_dependent_fe_Cr_Ni;;;нет;открыто;;;вопрос расчёта: система;app/ThermoGar_app.py:9312
S06;Диаграммы;Тройная при T = const;поле (число);Температура, °C;ternary_temperature_{база};;;нет;открыто;;;вопрос расчёта: температура;app/ThermoGar_app.py:9323
S06;Диаграммы;Тройная при T = const;поле (число);Шаг поиска границ, ат.% (0.5–10);ternary_step_{база};;;нет;свернуть;Точность и критерии;2;подсказка поля: «Меньший шаг точнее, но расчёт длится дольше» — точность;app/ThermoGar_app.py:9329
S06;Диаграммы;Тройная при T = const;галочка;Показывать линии связи в двухфазных областях;ternary_tielines_{база};;;нет;свернуть;Точность и критерии;1;вид графика: линии связи;app/ThermoGar_app.py:9341
S06;Диаграммы;Тройная при T = const;поле (число);Показывать каждую N-ю линию связи (1–50);ternary_tieline_every_{база};;;нет;свернуть;Точность и критерии;1;вид графика: прореживание линий связи;app/ThermoGar_app.py:9346
S06;Диаграммы;Тройная при T = const;галочка;Показывать точки трёхфазного равновесия;ternary_nodes_{база};;;нет;свернуть;Точность и критерии;1;вид графика: точки трёхфазного равновесия;app/ThermoGar_app.py:9355
S06;Диаграммы;Тройная при T = const;радио;Набор фаз;ternary_diagram_phase_set_{база};Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2895
S06;Диаграммы;Тройная при T = const;радио;Какие фазы учитывать;ternary_diagram_phase_mode_{база};Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2931
S06;Диаграммы;Тройная при T = const;таблица-редактор;phase_table;f'{key_prefix}_phase_editor_{database_key}_{signature}';Управление фазами / метастабильный расчёт;;да, ≥1 фаза — ThermoGar_app.py:3025–3026, отказ :9435–9437;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2975
S07;Диаграммы;Карта доли фазы;выбор;Элемент A — нижняя правая вершина;ternary_map_x_{база};;;нет;открыто;;;вопрос расчёта: система;app/ThermoGar_app.py:9645
S07;Диаграммы;Карта доли фазы;выбор;Элемент B — верхняя вершина;ni: ternary_map_y_ni_Al | al: ternary_map_y_al_Cu | fe: ternary_map_y_fe_C;;;нет;открыто;;;вопрос расчёта: система;app/ThermoGar_app.py:9667
S07;Диаграммы;Карта доли фазы;выбор;Элемент C — нижняя левая вершина и остаток до 100 %;ni: ternary_map_dependent_ni_Al_Cr | al: ternary_map_dependent_al_Cu_Mg | fe: ternary_map_dependent_fe_C_Cr;;;нет;открыто;;;вопрос расчёта: система;app/ThermoGar_app.py:9685
S07;Диаграммы;Карта доли фазы;радио;Единицы состава на треугольнике;ternary_map_units_{база};;;нет;свернуть;Точность и критерии;2;"единицы треугольника; на вопрос расчёта не влияют, только на оси";app/ThermoGar_app.py:9696
S07;Диаграммы;Карта доли фазы;поле (число);Температура, °C;ternary_map_temperature_{база};;;нет;открыто;;;вопрос расчёта: температура;app/ThermoGar_app.py:9705
S07;Диаграммы;Карта доли фазы;поле (число);Желаемый шаг сетки, % (2–20);ternary_map_step_{база};;;нет;свернуть;Точность и критерии;2;"подсказка: число узлов и время; «Начните с шага по умолчанию»";app/ThermoGar_app.py:9712
S07;Диаграммы;Карта доли фазы;поле (число);Провести границу появления фазы при доле, мол.% (0–100);ternary_map_threshold_{база};;;нет;свернуть;Точность и критерии;1;линия появления фазы на карте — вид графика;app/ThermoGar_app.py:9727
S07;Диаграммы;Карта доли фазы;радио;Шкала цвета;ternary_map_color_scale_{база};;;нет;свернуть;Точность и критерии;1;шкала цвета — вид графика;app/ThermoGar_app.py:9736
S07;Диаграммы;Карта доли фазы;радио;Набор фаз;ternary_phase_map_phase_set_{база};Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2895
S07;Диаграммы;Карта доли фазы;радио;Какие фазы учитывать;ternary_phase_map_phase_mode_{база};Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2931
S07;Диаграммы;Карта доли фазы;таблица-редактор;phase_table;f'{key_prefix}_phase_editor_{database_key}_{signature}';Управление фазами / метастабильный расчёт;;да, ≥1 фаза — ThermoGar_app.py:3025–3026, отказ :9871–9872;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2975
S07;Диаграммы;Карта доли фазы;выбор;Какую фазу показать цветом;ternary_map_target_{база};;;да — ThermoGar_app.py:9826–9828 (st.error до нажатия), :9844–9845;открыто;;;"вопрос расчёта: фаза карты; обязательное";app/ThermoGar_app.py:9810
S08;Затвердевание;—;радио;Метод расчёта;solidification_method_{база};;;нет;открыто;;;вопрос расчёта: метод;app/ThermoGar_app.py:10236
S08;Затвердевание;—;поле (число);Начальная температура, °C;ni: solidification_start_13_1_ni | al: solidification_start_13_1_al | fe: solidification_start_13_1_fe_thermogar_patch;;;нет;свернуть;Точность и критерии;3;подсказка: «ThermoGar может автоматически поднять её» — численная настройка поиска расплава;app/ThermoGar_app.py:10267
S08;Затвердевание;—;поле (число);Шаг охлаждения, °C;solidification_step_{база};;;нет;свернуть;Точность и критерии;3;шаг охлаждения — численный шаг;app/ThermoGar_app.py:10268
S08;Затвердевание;—;галочка;Автоматически повысить температуру до однофазного расплава;solidification_auto_start_{база};Точность и критерии;;нет;уже в блоке;Точность и критерии;;уже в «Точность и критерии»;app/ThermoGar_app.py:10277
S08;Затвердевание;—;поле (число);Шаг автоматического повышения, °C;solidification_start_increment_{база};Точность и критерии;;нет;уже в блоке;Точность и критерии;;уже в блоке;app/ThermoGar_app.py:10282
S08;Затвердевание;—;поле (число);Максимальная проверяемая температура, °C (-200–1726.85);solidification_max_start_13_1_{база}_thermogar_patch;Точность и критерии;;нет;уже в блоке;Точность и критерии;;уже в блоке;app/ThermoGar_app.py:10290
S08;Затвердевание;—;поле (число);Максимальная проверяемая температура, °C;solidification_max_start_13_1_{база};Точность и критерии;;нет;уже в блоке;Точность и критерии;;уже в блоке;app/ThermoGar_app.py:10303
S08;Затвердевание;—;поле (число);Scheil: остановить при остатке расплава, %;solidification_stop_{база};Точность и критерии;;нет;уже в блоке;Точность и критерии;;уже в блоке;app/ThermoGar_app.py:10310
S08;Затвердевание;—;поле (число);Порог появления фазы, %;solidification_appearance_{база};Точность и критерии;;нет;уже в блоке;Точность и критерии;;уже в блоке;app/ThermoGar_app.py:10319
S08;Затвердевание;—;поле (число);Показывать на графиках фазы от, %;solidification_display_{база};Точность и критерии;;нет;уже в блоке;Точность и критерии;;уже в блоке;app/ThermoGar_app.py:10328
S08;Затвердевание;—;ползунок;Плотность начального поиска состояний;solidification_pdens_{база};Точность и критерии;;нет;уже в блоке;Точность и критерии;;уже в блоке;app/ThermoGar_app.py:10335
S08;Затвердевание;—;поле (число);Точность поиска равновесного солидуса, °C;solidification_binary_tol_{база};Точность и критерии;;нет;уже в блоке;Точность и критерии;;уже в блоке;app/ThermoGar_app.py:10345
S08;Затвердевание;—;галочка;Адаптивно уточнять состояния рядом с равновесием;solidification_adaptive_{база};Точность и критерии;;нет;уже в блоке;Точность и критерии;;уже в блоке;app/ThermoGar_app.py:10353
S08;Затвердевание;—;радио;Набор фаз;solidification_phase_set_{база};Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2895
S08;Затвердевание;—;радио;Какие фазы учитывать;solidification_phase_mode_{база};Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2931
S08;Затвердевание;—;таблица-редактор;phase_table;f'{key_prefix}_phase_editor_{database_key}_{signature}';Управление фазами / метастабильный расчёт;;да, должна остаться LIQUID — ThermoGar_app.py:10395–10398 (st.error), кнопка выключена :10404–10407;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2975
S09;Энергии;Энергии фаз;мультивыбор;Фазы для сравнения — не более восьми;energy_curve_phases_{база};;;да, 1–8 фаз — ThermoGar_app.py:4009–4012;открыто;;;"вопрос расчёта: фазы; обязательное";app/ThermoGar_app.py:11046
S09;Энергии;Энергии фаз;поле (число);Температура от, °C;energy_t_min_{база};;;нет;открыто;;;вопрос расчёта: диапазон;app/ThermoGar_app.py:11054
S09;Энергии;Энергии фаз;поле (число);Температура до, °C;energy_t_max_{база};;;нет;открыто;;;вопрос расчёта: диапазон;app/ThermoGar_app.py:11060
S09;Энергии;Энергии фаз;поле (число);Шаг температуры, °C;energy_t_step_{база};;;нет;свернуть;Точность и критерии;2;"шаг температуры — численный шаг; отдельная строка";app/ThermoGar_app.py:11066
S09;Энергии;Энергии фаз;радио;Что показать на графике;energy_view_{база};;;нет;свернуть;Точность и критерии;1;подпись «Что показать на графике» — вид графика;app/ThermoGar_app.py:11073
S10;Энергии;Движущая сила;выбор;Фаза, движущую силу которой рассчитываем;driving_target_{база};;;да — ThermoGar_app.py:11348–11349;открыто;;;"вопрос расчёта: фаза; обязательное";app/ThermoGar_app.py:11289
S10;Энергии;Движущая сила;галочка;Исключить выбранную фазу из исходного равновесия;driving_exclude_target_{база};;;нет;свернуть;Управление фазами / метастабильный расчёт;2;"подсказка: так рассчитывается стимул появления фазы — выбор фаз исходного равновесия с умолчанием; по смыслу — «Управление фазами»";app/ThermoGar_app.py:11300
S10;Энергии;Движущая сила;мультивыбор;Фазы исходного равновесия;driving_reference_phases_{база}_None_True;;;да, ≥1 фаза — ThermoGar_app.py:4164–4165;свернуть;Управление фазами / метастабильный расчёт;2;"фазы исходного равновесия; умолчание — все кандидаты, кроме выбранной; обязательное ≥1 умолчание выполняет";app/ThermoGar_app.py:11315
S10;Энергии;Движущая сила;поле (число);Температура от, °C;driving_t_min_{база};;;нет;открыто;;;вопрос расчёта: диапазон;app/ThermoGar_app.py:11322
S10;Энергии;Движущая сила;поле (число);Температура до, °C;driving_t_max_{база};;;нет;открыто;;;вопрос расчёта: диапазон;app/ThermoGar_app.py:11328
S10;Энергии;Движущая сила;поле (число);Шаг температуры, °C;driving_t_step_{база};;;нет;свернуть;Точность и критерии;1;шаг температуры — численный шаг;app/ThermoGar_app.py:11334
S11;Энергии;T₀;выбор;Изменяемый элемент;ni: tzero_variable_ni_NI | al: tzero_variable_al_AL | fe: tzero_variable_fe_FE;;;нет;открыто;;;вопрос расчёта: ось состава;app/ThermoGar_app.py:11494
S11;Энергии;T₀;радио;Единицы горизонтальной оси;tzero_units_{база};;;нет;открыто;;;единицы задают смысл чисел «от/до»;app/ThermoGar_app.py:11501
S11;Энергии;T₀;поле (текст, многострочное);ni: Постоянные добавки, ат.% | al: Постоянные добавки, ат.% | fe: Постоянные добавки, мас.%;ni: tzero_fixed_ni_Al | al: tzero_fixed_al_Cu | fe: tzero_fixed_fe_C;;;нет: пустое — бинарная система;открыто;;;вопрос расчёта: состав;app/ThermoGar_app.py:11509
S11;Энергии;T₀;поле (число);ni: Al: от, ат.% | al: Cu: от, ат.% | fe: C: от, мас.%;ni: tzero_c_min_ni_Al | al: tzero_c_min_al_Cu | fe: tzero_c_min_fe_C;;;нет;открыто;;;вопрос расчёта: окно состава;app/ThermoGar_app.py:11521
S11;Энергии;T₀;поле (число);ni: Al: до, ат.% | al: Cu: до, ат.% | fe: C: до, мас.%;ni: tzero_c_max_ni_Al | al: tzero_c_max_al_Cu | fe: tzero_c_max_fe_C;;;нет;открыто;;;вопрос расчёта: окно состава;app/ThermoGar_app.py:11528
S11;Энергии;T₀;поле (число);ni: Al: шаг, ат.% | al: Cu: шаг, ат.% | fe: C: шаг, мас.%;ni: tzero_c_step_ni_Al | al: tzero_c_step_al_Cu | fe: tzero_c_step_fe_C;;;нет;свернуть;Точность и критерии;1;"шаг по составу — численный шаг; отдельная строка";app/ThermoGar_app.py:11535
S11;Энергии;T₀;выбор;Фаза 1;ni: tzero_phase_one_ni_Al | al: tzero_phase_one_al_Cu | fe: tzero_phase_one_fe_C;;;да — ThermoGar_app.py:11631–11632;открыто;;;"вопрос расчёта: пара фаз; обязательное";app/ThermoGar_app.py:11571
S11;Энергии;T₀;выбор;Фаза 2;ni: tzero_phase_two_ni_Al_None | al: tzero_phase_two_al_Cu_None | fe: tzero_phase_two_fe_C_None;;;да — ThermoGar_app.py:11631–11632;открыто;;;"вопрос расчёта: пара фаз; обязательное";app/ThermoGar_app.py:11592
S11;Энергии;T₀;поле (число);Нижняя граница поиска T₀, °C;tzero_t_min_{база};;;нет;свернуть;Точность и критерии;2;"окно поиска корня — численная настройка (подпись «Границы задают окно, в котором ищется…»); сворачивать вместе с подписью";app/ThermoGar_app.py:11612
S11;Энергии;T₀;поле (число);Верхняя граница поиска T₀, °C;tzero_t_max_{база};;;нет;свернуть;Точность и критерии;2;то же;app/ThermoGar_app.py:11618
S12;Свойства;Плотность;галочка;Применять поправки проекта ThermoGar к физической базе;physical_overrides_enabled_env_locked;;;нет;открыто;;;"общая галочка над подвкладками «Свойств»; решение 9Б её не касается";app/ThermoGar_app.py:1467
S12;Свойства;Плотность;галочка;Применять поправки проекта ThermoGar к физической базе;physical_overrides_enabled;;;нет;открыто;;;"общая галочка над подвкладками «Свойств»; решение 9Б её не касается";app/ThermoGar_app.py:1479
S12;Свойства;Плотность;поле (число);Температура, °C;physical_temperature_{база};;;нет;открыто;;;вопрос расчёта: температура;app/ThermoGar_app.py:1721
S12;Свойства;Плотность;галочка;Выбрать фазы вручную;physical_single_manual;;;нет;свернуть;Управление фазами / метастабильный расчёт;2;ручной выбор фаз — как «Управление фазами» на других экранах;app/ThermoGar_app.py:1552
S12;Свойства;Плотность;мультивыбор;Фазы;physical_single_tokens;;;нет;свернуть;Управление фазами / метастабильный расчёт;2;то же;app/ThermoGar_app.py:1563
S13;Свойства;Плотность по T;галочка;Применять поправки проекта ThermoGar к физической базе;physical_overrides_enabled_env_locked;;;нет;открыто;;;то же;app/ThermoGar_app.py:1467
S13;Свойства;Плотность по T;галочка;Применять поправки проекта ThermoGar к физической базе;physical_overrides_enabled;;;нет;открыто;;;то же;app/ThermoGar_app.py:1479
S13;Свойства;Плотность по T;поле (число);Температура от, °C;physical_t_min_{база};;st.columns@ThermoGar_app.py:1883;нет;открыто;;;вопрос расчёта: диапазон;app/ThermoGar_app.py:1885
S13;Свойства;Плотность по T;поле (число);Температура до, °C;physical_t_max_{база};;st.columns@ThermoGar_app.py:1883;нет;открыто;;;вопрос расчёта: диапазон;app/ThermoGar_app.py:1887
