экран;вкладка;подвкладка;вид (переключатель);основная кнопка;кнопка файл:строка;№;вид элемента;подпись;key;умолчание ni;умолчание al;умолчание fe;мин;макс;шаг;условие показа;в раскрывающемся блоке;форма;в одной строке (st.columns);обязательное;через функцию;подсказка (help);прочее;файл:строка
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;8;раскрывающийся блок;Управление фазами / метастабильный расчёт (expanded=False);;;;;;;;;;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7768;;;app/ThermoGar_app.py:2873
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;9;радио;Набор фаз;temperature_phase_set_{база};быстрый набор (fast);быстрый набор (fast);быстрый набор (fast);;;;len(fast_phases) < len(all_phases);Управление фазами / метастабильный расчёт;;;нет;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7768;;;app/ThermoGar_app.py:2895
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;10;подпись;"Быстрый набор — обычные для практики фазы; если сомневаетесь, проверьте результат в режиме ""все фазы"".";;;;;;;;len(fast_phases) < len(all_phases);Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7768;;;app/ThermoGar_app.py:2906
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;11;плашка (warning);dropped_phases_warning(dropped);;;;;;;;len(fast_phases) < len(all_phases) И phase_mode == PHASE_MODE_FAST И dropped;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7768;;;app/ThermoGar_app.py:2916
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;12;раскрывающийся блок;dropped_phases_expander_label(len(dropped));;;;;;;;len(fast_phases) < len(all_phases) И phase_mode == PHASE_MODE_FAST И dropped И len(dropped) > DROPPED_PHASES_SHOWN;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7768;;;app/ThermoGar_app.py:2918
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;13;подпись;dropped_phases_full_list(dropped);;;;;;;;len(fast_phases) < len(all_phases) И phase_mode == PHASE_MODE_FAST И dropped И len(dropped) > DROPPED_PHASES_SHOWN;Управление фазами / метастабильный расчёт › dropped_phases_expander_label(len(dropped));;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7768;;;app/ThermoGar_app.py:2921
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;14;радио;Какие фазы учитывать;temperature_phase_mode_{база};Автоматически — все совместимые фазы;Автоматически — все совместимые фазы;Автоматически — все совместимые фазы;;;;;Управление фазами / метастабильный расчёт;;;нет;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7768;;;app/ThermoGar_app.py:2931
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;15;подпись;f'В расчёте будет учтено фаз: {len(candidate_phases)}. Это обычное равновесие для выбранной базы и состава.';;;;;;;;mode.startswith('Автоматически');Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7768;;;app/ThermoGar_app.py:2942
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;16;плашка (warning);Если отключить устойчивую фазу, получится метастабильное равновесие только среди оставленных фаз.;;;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7768;;;app/ThermoGar_app.py:2948
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;17;таблица-редактор;phase_table;f'{key_prefix}_phase_editor_{database_key}_{signature}';;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;да, ≥1 фаза в ручном режиме — ThermoGar_app.py:3025–3026;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7768;;disabled=['Фаза', 'Что это', 'Примечание модели'];app/ThermoGar_app.py:2975
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;18;плашка (error);excluded_phase_message(rejected_selected);;;;;;;;не (mode.startswith('Автоматически')) И rejected_selected;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7768;;;app/ThermoGar_app.py:3018
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;19;подпись;f'Выбрано фаз: {len(selected)} из {len(candidate_phases)}.';;;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7768;;;app/ThermoGar_app.py:3021
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;20;плашка (error);Нужно оставить хотя бы одну фазу.;;;;;;;;не (mode.startswith('Автоматически')) И not selected;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7768;;;app/ThermoGar_app.py:3026
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;21;плашка (error, текст исключения);Список фаз появится после исправления состава.;;;;;;;;при исключении;;;;;;;;app/ThermoGar_app.py:7776
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;22;кнопка;Построить график по температуре;temperature_calculate;;;;;;;type(temperature_feature_decision) in (verified_loaders.FeatureRequest, verified_loaders.…;;;;;;;type='primary';app/ThermoGar_app.py:7846
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;23;кнопка;Построить график по температуре;temperature_calculate;;;;;;;не (type(temperature_feature_decision) in (verified_loaders.FeatureRequest, verified_loaders.…);;;;;;Параметры температурного скана некорректны.;"type='primary'; disabled=True";app/ThermoGar_app.py:7853
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;1;заголовок;Изменение фазовых долей с концентрацией;;;;;;;;;;;;;;;;app/ThermoGar_app.py:8026
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;2;выбор;Изменяемый элемент;;Al;Cr;Al;;;;;;;;нет;;;;app/ThermoGar_app.py:8034
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;3;подпись;ni: В строке добавок указывайте только постоянные элементы. Al программа будет менять сама. | al: В строке добавок указывайте только постоянные элементы. Cr программа будет менять сама. | fe: В строке добавок указывайте только постоянные элементы. Al программа будет менять сама.;;;;;;;;;;;;;;;;app/ThermoGar_app.py:8040
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;4;поле (текст, многострочное);ni: Постоянные добавки, ат.% | al: Постоянные добавки, ат.% | fe: Постоянные добавки, мас.%;fixed_composition_{база};;;;;;;;;;;нет: пустое — бинарная система основа + изменяемый элемент;;;;app/ThermoGar_app.py:8045
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;5;поле (число);ni: Al: от, ат.% | al: Cr: от, ат.% | fe: Al: от, мас.%;;0;0;0;0;;1;;;;st.columns@ThermoGar_app.py:8052 (колонка 1 из 3);нет;;;;app/ThermoGar_app.py:8055
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;6;поле (число);ni: Al: до, ат.% | al: Cr: до, ат.% | fe: Al: до, мас.%;;20;20;20;0;;1;;;;st.columns@ThermoGar_app.py:8052 (колонка 2 из 3);нет;;;;app/ThermoGar_app.py:8063
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;7;поле (число);ni: Al: шаг, ат.% | al: Cr: шаг, ат.% | fe: Al: шаг, мас.%;;1;1;10;0.01;;0.5;;;;st.columns@ThermoGar_app.py:8052 (колонка 3 из 3);нет;;;;app/ThermoGar_app.py:8071
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;8;поле (число);Температура, °C;concentration_temperature_{база};700;500;700;;;10;;;;;нет;;;;app/ThermoGar_app.py:8078
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;9;поле (число);Показывать на графике фазы с максимумом не менее, %;concentration_threshold;0.1;0.1;0.1;0;;0.1;;;;;нет;;;;app/ThermoGar_app.py:8085
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;10;плашка (error);excluded_phase_message(rejected_candidates);;;;;;;;rejected_candidates;;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8117;;;app/ThermoGar_app.py:2865
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;11;плашка (info);unbuildable_note;;;;;;;;unbuildable_note;;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8117;;;app/ThermoGar_app.py:2868
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;12;раскрывающийся блок;Управление фазами / метастабильный расчёт (expanded=False);;;;;;;;;;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8117;;;app/ThermoGar_app.py:2873
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;13;радио;Набор фаз;concentration_phase_set_{база};быстрый набор (fast);быстрый набор (fast);быстрый набор (fast);;;;len(fast_phases) < len(all_phases);Управление фазами / метастабильный расчёт;;;нет;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8117;;;app/ThermoGar_app.py:2895
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;14;подпись;"Быстрый набор — обычные для практики фазы; если сомневаетесь, проверьте результат в режиме ""все фазы"".";;;;;;;;len(fast_phases) < len(all_phases);Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8117;;;app/ThermoGar_app.py:2906
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;15;плашка (warning);dropped_phases_warning(dropped);;;;;;;;len(fast_phases) < len(all_phases) И phase_mode == PHASE_MODE_FAST И dropped;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8117;;;app/ThermoGar_app.py:2916
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;16;раскрывающийся блок;dropped_phases_expander_label(len(dropped));;;;;;;;len(fast_phases) < len(all_phases) И phase_mode == PHASE_MODE_FAST И dropped И len(dropped) > DROPPED_PHASES_SHOWN;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8117;;;app/ThermoGar_app.py:2918
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;17;подпись;dropped_phases_full_list(dropped);;;;;;;;len(fast_phases) < len(all_phases) И phase_mode == PHASE_MODE_FAST И dropped И len(dropped) > DROPPED_PHASES_SHOWN;Управление фазами / метастабильный расчёт › dropped_phases_expander_label(len(dropped));;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8117;;;app/ThermoGar_app.py:2921
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;18;радио;Какие фазы учитывать;concentration_phase_mode_{база};Автоматически — все совместимые фазы;Автоматически — все совместимые фазы;Автоматически — все совместимые фазы;;;;;Управление фазами / метастабильный расчёт;;;нет;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8117;;;app/ThermoGar_app.py:2931
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;19;подпись;f'В расчёте будет учтено фаз: {len(candidate_phases)}. Это обычное равновесие для выбранной базы и состава.';;;;;;;;mode.startswith('Автоматически');Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8117;;;app/ThermoGar_app.py:2942
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;20;плашка (warning);Если отключить устойчивую фазу, получится метастабильное равновесие только среди оставленных фаз.;;;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8117;;;app/ThermoGar_app.py:2948
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;21;таблица-редактор;phase_table;f'{key_prefix}_phase_editor_{database_key}_{signature}';;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;да, ≥1 фаза в ручном режиме — ThermoGar_app.py:3025–3026;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8117;;disabled=['Фаза', 'Что это', 'Примечание модели'];app/ThermoGar_app.py:2975
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;22;плашка (error);excluded_phase_message(rejected_selected);;;;;;;;не (mode.startswith('Автоматически')) И rejected_selected;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8117;;;app/ThermoGar_app.py:3018
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;23;подпись;f'Выбрано фаз: {len(selected)} из {len(candidate_phases)}.';;;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8117;;;app/ThermoGar_app.py:3021
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;24;плашка (error);Нужно оставить хотя бы одну фазу.;;;;;;;;не (mode.startswith('Автоматически')) И not selected;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8117;;;app/ThermoGar_app.py:3026
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;25;плашка (error, текст исключения);Список фаз появится после исправления постоянного состава.;;;;;;;;при исключении;;;;;;;;app/ThermoGar_app.py:8125
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;26;кнопка;Построить график по составу;concentration_calculate;;;;;;;type(concentration_feature_decision) in (verified_loaders.FeatureRequest, verified_loader…;;;;;;;type='primary';app/ThermoGar_app.py:8196
S03;Расчёты;Изменение состава;;Построить график по составу;app/ThermoGar_app.py:8199;27;кнопка;Построить график по составу;concentration_calculate;;;;;;;не (type(concentration_feature_decision) in (verified_loaders.FeatureRequest, verified_loader…);;;;;;Параметры скана по составу некорректны.;"type='primary'; disabled=True";app/ThermoGar_app.py:8203
S04;Диаграммы;Бинарная T–X;;Построить диаграмму состояния;app/ThermoGar_app.py:8546;1;заголовок;Диаграммы состояния;;;;;;;;;;;;;;;;app/ThermoGar_app.py:8387
S04;Диаграммы;Бинарная T–X;;Построить диаграмму состояния;app/ThermoGar_app.py:8546;2;подпись;Выберите диаграмму границ или карту количества выбранной фазы.;;;;;;;;;;;;;;;;app/ThermoGar_app.py:8388
S04;Диаграммы;Бинарная T–X;;Построить диаграмму состояния;app/ThermoGar_app.py:8546;3;подпись;#### Бинарная система;;;;;;;;;;;;;;;;app/ThermoGar_app.py:8407
S04;Диаграммы;Бинарная T–X;;Построить диаграмму состояния;app/ThermoGar_app.py:8546;4;подпись;Диаграмма для двух элементов без постоянных добавок.;;;;;;;;;;;;;;;;app/ThermoGar_app.py:8408
S04;Диаграммы;Бинарная T–X;;Построить диаграмму состояния;app/ThermoGar_app.py:8546;5;выбор;Первый элемент системы;binary_left_{база};Ni;Al;Fe;;;;;;;;нет;;;;app/ThermoGar_app.py:8414
S04;Диаграммы;Бинарная T–X;;Построить диаграмму состояния;app/ThermoGar_app.py:8546;6;выбор;"Второй элемент; его содержание идёт по горизонтальной оси";ni: binary_right_ni_Ni | al: binary_right_al_Al | fe: binary_right_fe_Fe;Al;Cu;C;;;;;;;;нет;;;;app/ThermoGar_app.py:8436
S04;Диаграммы;Бинарная T–X;;Построить диаграмму состояния;app/ThermoGar_app.py:8546;7;радио;Единицы горизонтальной оси;binary_units_{база};атомные %;массовые %;массовые %;;;;;;;;нет;;;;app/ThermoGar_app.py:8444
S04;Диаграммы;Бинарная T–X;;Построить диаграмму состояния;app/ThermoGar_app.py:8546;8;поле (число);ni: Al: от, ат.% (0–99.999) | al: Cu: от, мас.% (0–99.999) | fe: C: от, мас.% (0–99.999);ni: binary_c_min_ni_Al | al: binary_c_min_al_Cu | fe: binary_c_min_fe_C;0;0;0;0;99.999;ni: 1 | al: 1 | fe: 0.1;;;;;нет;;;;app/ThermoGar_app.py:8453
S04;Диаграммы;Бинарная T–X;;Построить диаграмму состояния;app/ThermoGar_app.py:8546;9;поле (число);ni: Al: до, ат.% (0.001–100) | al: Cu: до, мас.% (0.001–100) | fe: C: до, мас.% (0.001–100);ni: binary_c_max_ni_Al | al: binary_c_max_al_Cu | fe: binary_c_max_fe_C;35;55;6.7;0.001;100;ni: 1 | al: 1 | fe: 0.1;;;;;нет;;;;app/ThermoGar_app.py:8461
S04;Диаграммы;Бинарная T–X;;Построить диаграмму состояния;app/ThermoGar_app.py:8546;10;поле (число);ni: Шаг по составу, ат.% | al: Шаг по составу, мас.% | fe: Шаг по составу, мас.%;ni: binary_c_step_ni_Al | al: binary_c_step_al_Cu | fe: binary_c_step_fe_C;1;1;0.1;0.001;;ni: 1 | al: 1 | fe: 0.1;;;;;нет;;;;app/ThermoGar_app.py:8469
S04;Диаграммы;Бинарная T–X;;Построить диаграмму состояния;app/ThermoGar_app.py:8546;11;поле (число);Температура от, °C;binary_t_min_{база};400;200;400;;;10;;;;;нет;;;;app/ThermoGar_app.py:8477
S04;Диаграммы;Бинарная T–X;;Построить диаграмму состояния;app/ThermoGar_app.py:8546;12;поле (число);Температура до, °C;binary_t_max_{база};1600;800;1600;;;10;;;;;нет;;;;app/ThermoGar_app.py:8483
S04;Диаграммы;Бинарная T–X;;Построить диаграмму состояния;app/ThermoGar_app.py:8546;13;поле (число);Шаг по температуре, °C;binary_t_step_{база};10;10;10;0.1;;5;;;;;нет;;;;app/ThermoGar_app.py:8489
S04;Диаграммы;Бинарная T–X;;Построить диаграмму состояния;app/ThermoGar_app.py:8546;14;галочка;Показывать линии связи в двухфазных областях;binary_tielines_{база};False;False;False;;;;;;;;нет;;;;app/ThermoGar_app.py:8497
