Код фазы,Простыми словами,Описание по-русски,Примечание модели,Оригинал из базы (англ.)
CR5B3,,Описание в исходной базе отсутствует.,,
CRB,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,relevance in bracing filler alloy
CU2S,,Гранецентрированная кубическая (ГЦК) структура.,,Fcc-structured.
DELTA,δ-фаза,δ-фаза.,,"Orthorhombic Ni3Nb-base, D0a structure"
DIAMOND_A4,,Описание в исходной базе отсутствует.,,
DIGENITE,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,Use for equilibrium calculation only.
DISULF,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,"Pyrite, FeS2."
DJURLEITE,,Описание в исходной базе отсутствует.,,
D_NIMO,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,Ni-Mo delta
ETA,η-фаза,η-фаза.,,"Hexagonal Ni3Ti-type, D024 structure."
FCC_A1,"γ-матрица, ГЦК","γ-матрица, ГЦК. Гранецентрированная кубическая (ГЦК) структура. Нитридная фаза. Используется подрешёточная модель.",,"Face-centered cubic phase with Va on interstitial sublattice; V- and/or W-rich MC carbo-nitride phase is denoted ""fcc_A1#01"" in the MatCalc databases, with C and N on substitutional sublattice. MC carbo-nitride composition sets can be defined by the User. Typically MC is precipitating on grain boundaries."
FC_MONO,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,Monoclinic sulfur (high T)
FC_ORTHO,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,Orthorhombic Sulfur (low T).
FE17Y2,,Описание в исходной базе отсутствует.,,
FE3NB3B4,,Описание в исходной базе отсутствует.,,
FE4N,,Описание в исходной базе отсутствует.,,
FEB,,Описание в исходной базе отсутствует.,,
FENBB,,Описание в исходной базе отсутствует.,,
FES_P,,Сульфидная фаза.,,"Fe-rich Fe,Mn-sulfide."
GAMMA_DP,,"Метастабильная фаза. Фаза-выделение, связанная с дисперсионным упрочнением.",,Gamma double-prime; metastable body-centered tetragonal Ni3Nb-type phase. Important precipitate in Ni-base superalloy 718
GAMMA_PRIME,γ′-упрочняющая фаза,γ′-упрочняющая фаза. Используется подрешёточная модель.,,"Cubic Ni3Al-type, L12-structure; simplified description as solid solution phase consisting of two substitutional sublattices"
GRAPHITE,графит,графит.,,Stable hexagonal Carbon phase.
G_PHASE,,"Фаза-выделение, связанная с дисперсионным упрочнением.",,Silicide precipitate in some Nb-Si-containing Ni-base superalloys
HALITE,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,"halite-structured (Cr,Fe,Ni)O"
HCP_A3,,Гексагональная плотноупакованная (ГПУ) структура.,,"Hexagonal close-packed. M2C, denoted ""hcp#01"" in the MatCalc databases, with C on interstitial sites and Mo as mayor constituent. Cr and V can dissolve with significant quantities in M2C."
HF1O2_C,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,cubic
HF1O2_M,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,"monoclinic, strengthening dispersoid"
HF1O2_T,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,tetragonal
KSI_CARBIDE,,Карбидная фаза.,,Mo-Cr-Fe carbide.
LA2O3_A,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,"hexagonal, strengthening dispersoid"
LA2O3_C,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,cubic
LA2O3_H,,Упорядоченная фаза.,,ordered hexagonal
LAVES,фаза Лавеса,фаза Лавеса.,,can form as topologically close-packed structure in superalloys; affecting brittleness. Preliminary description.
LAV_C14,фаза Лавеса C14,фаза Лавеса C14.,,can form as topologically close-packed structure in superalloys; affecting brittleness.
LIQUID,расплав,расплав.,,
M12C,,Карбидная фаза.,,Co-W-rich carbide.
M23C6,,Гранецентрированная кубическая (ГЦК) структура. Карбидная фаза.,,"Face-centered cubic Cr-rich carbide, can contain significant amounts of W, Mo, V, Ni. Has a large crystallographic unit cell."
M23C6_WY,,Гранецентрированная кубическая (ГЦК) структура. Карбидная фаза.,,Face-centered cubic Cr-rich carbide. Has a large crystallographic unit cell. With correct structural formular (according Wyckoff)
M2B,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,Tetragonal.
M3C2,,Карбидная фаза.,,Cr-rich carbide.
M6C,,Карбидная фаза.,,"Mo,W-rich carbide, can contain significant amounts of Cr and V. Has a large unit cell."
M6C_WY,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,M6C with physically correct sites according to Wyckoff positions.
M7C3,,Карбидная фаза.,,Trigonal Cr-rich carbide with a large crystallographic unit cell. In particular Fe- and Mn-solubilities.
MN6N4,,Описание в исходной базе отсутствует.,,
MN6N5,,Описание в исходной базе отсутствует.,,
MNS_Q,,Описание в исходной базе отсутствует.,,
MOB,,Описание в исходной базе отсутствует.,,
MOB2,,Описание в исходной базе отсутствует.,,
MU_PHASE,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,can form as topologically close-packed structure in superalloys; affecting brittleness.
NB3B2,,Описание в исходной базе отсутствует.,,
NB5B6,,Описание в исходной базе отсутствует.,,
NBB,,Описание в исходной базе отсутствует.,,
NI2CR,,"Фаза-выделение, связанная с дисперсионным упрочнением.",,precipitate in high Mo- and Cr-containing Ni-superalloys
NI5HF,,Описание в исходной базе отсутствует.,,
NI5Y,,Описание в исходной базе отсутствует.,,
NI7HF2,,Описание в исходной базе отсутствует.,,
NIAL,интерметаллид NiAl,интерметаллид NiAl. Используется подрешёточная модель.,,"NiAl-base B2-Phase, modeled with simple 2-substitutional sublattices model."
NITI2,,"Фаза-выделение, связанная с дисперсионным упрочнением.",,"Cubic, importance as precipitate in high Ni-Ti alloys"
O1_GAS,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,for thermodynamic properties calculations only
PYRR,,Гексагональная плотноупакованная (ГПУ) структура.,,"(Cu,Fe)S pyrrhotite, hexagonal close-packed, for thermodynamic equilibrium calculations only."
P_PHASE,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,closely related to Sigma. Can form as topologically close-packed structure in superalloys; affecting brittleness.
R_PHASE,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,closely related to Sigma and Mu-phase. Can form as topologically close-packed structure in superalloys; affecting brittleness.
SIGMA,σ-фаза,"σ-фаза. Фаза-выделение, связанная с дисперсионным упрочнением. Используется подрешёточная модель.",,Intermetallic transition elements compound with broad solid solubility range. Tetragonal with five non-equivalent sites. A simplified 3-sublattice description is used. Hard and brittle topologically close-packed (TCP) precipitates.
SIO2,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,Low Quartz
SPINEL,,Описание в исходной базе отсутствует.,,
TI2O3,,Описание в исходной базе отсутствует.,,
TI3B4,,Описание в исходной базе отсутствует.,,
TI4C2S2,,Описание в исходной базе отсутствует.,,
TIB,,Описание в исходной базе отсутствует.,,
TIB2,,Описание в исходной базе отсутствует.,,
TIO2,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,Note: fully oxidized compound without oxygen vacancies
TIS,,Описание в исходной базе отсутствует.,,
TRID,,Русская расшифровка для этой специализированной фазы ещё не добавлена.,,Tridymite
V3C2,,Описание в исходной базе отсутствует.,,
WC,,Описание в исходной базе отсутствует.,,
Y2O3_C,,Оксидная фаза.,,"cubic Yttrium oxide, strengthening dispersoid"
Y2O3_H,,Оксидная фаза.,,"hexagonal Yttrium oxide, strengthening dispersoid"
ZET,,Нитридная фаза.,,Cr-Fe-Nb-V-Mo nitride.
