случай;группа;функция (tools/tab_snapshot.py:строка);ключи виджетов и кнопок, которые задаёт случай;ключи в коде wave21-m;karkas.txt;ekran и числа;vygruzki;texts.txt;что изменится в снимке
f_tscan_ni;А;580 case_f_tscan;"t_min_ni, t_max_ni, t_step_ni = 600 / 1000 / 100, click temperature_calculate";да;"общее + ni";без изменений (значения заданы явно);"без изменений: столбцы — фазы";без изменений;karkas
f_tscan_al;А;580 case_f_tscan;"t_min_al, t_max_al, t_step_al = 300 / 600 / 75, click temperature_calculate";да;"общее + al";без изменений;без изменений;без изменений;karkas
f_tscan_fe;А;580 case_f_tscan;"t_min_fe, t_max_fe, t_step_fe = 500 / 900 / 100 (теперь равны умолчаниям 5), click temperature_calculate";да;"общее + fe";без изменений;без изменений;без изменений;karkas
f_cscan_ni;А;587 case_f_cscan;"«Изменяемый элемент» = AL, «Al: от/до/шаг, ат.%» = 5 / 25 / 5, click concentration_calculate";да (подписи — app/ThermoGar_app.py:8176–8190);"общее + ni";без изменений;"12Б: Excel и CSV — первый столбец «Al, атомные %» вместо «AL, атомные %» (21-Н, строки 3–4)";без изменений;karkas, vygruzki
f_cscan_al;А;587 case_f_cscan;"«Изменяемый элемент» = CU, «Cu: …, мас.%» = 1 / 5 / 1 (равно умолчанию 7 по составу, единицы боковой панели — мас.%)";да;"общее + al";без изменений;"12Б: «Cu, массовые %»";без изменений;karkas, vygruzki
f_cscan_fe;А;587 case_f_cscan;"«Изменяемый элемент» = C, «C: …, мас.%» = 0.1 / 0.5 / 0.1 (равно умолчанию 6)";да;"общее + fe";без изменений;"12Б: «C, массовые %» — символ из одной буквы, заголовок не меняется";без изменений;karkas
f_solid_ni_sravn;А;602 case_f_solid;"solidification_method_ni, solidification_start_13_1_ni = 1500, solidification_step_ni = 25, click solidification_calculate";да;"общее + ni; поля старта и шага — в раскрытие[Точность и критерии]; подпись «Не по умолчанию: Начальная температура, °C; Шаг охлаждения, °C.» (1500 ≠ 1800, 25 ≠ 10); 21-И: только вид «Сводка»";без изменений;"21-И: Excel, PNG, ZIP — на виде «Выгрузка», не отрисованы и не перехвачены; 12Б в снимке не виден";без изменений;karkas
f_solid_ni_ravn;А;602 case_f_solid;"то же, метод «Только равновесное затвердевание»";да;"как f_solid_ni_sravn";без изменений;"как f_solid_ni_sravn";без изменений;karkas
f_solid_ni_scheil;А;602 case_f_solid;"то же, метод «Только Scheil–Gulliver»";да;"как f_solid_ni_sravn";без изменений;"как f_solid_ni_sravn";без изменений;karkas
f_solid_al_sravn;А;602 case_f_solid;"solidification_method_al, solidification_start_13_1_al = 700, solidification_step_al = 25";да;"общее + al; подпись «Не по умолчанию: Начальная температура, °C; Шаг охлаждения, °C.» (700 ≠ 850, 25 ≠ 5); только «Сводка»";без изменений;"как f_solid_ni_sravn";без изменений;karkas
f_solid_al_ravn;А;602 case_f_solid;"то же, «Только равновесное затвердевание»";да;"как f_solid_al_sravn";без изменений;"как f_solid_ni_sravn";без изменений;karkas
f_solid_al_scheil;А;602 case_f_solid;"то же, «Только Scheil–Gulliver»";да;"как f_solid_al_sravn";без изменений;"как f_solid_ni_sravn";без изменений;karkas
f_solid_fe_sravn;А;602 case_f_solid;"solidification_method_fe, solidification_start_13_1_fe_thermogar_patch = 1500, solidification_step_fe = 25";да;"общее + fe; подпись «Не по умолчанию: Шаг охлаждения, °C.» (старт 1500 = умолчанию); только «Сводка»";без изменений;"как f_solid_ni_sravn";без изменений;karkas
f_solid_fe_ravn;А;602 case_f_solid;"то же, «Только равновесное затвердевание»";да;"как f_solid_fe_sravn";без изменений;"как f_solid_ni_sravn";без изменений;karkas
f_solid_fe_scheil;А;602 case_f_solid;"то же, «Только Scheil–Gulliver»";да;"как f_solid_fe_sravn";без изменений;"как f_solid_ni_sravn";без изменений;karkas
f_energy_ni;А;614 case_f_energy;"energy_t_min_ni, energy_t_max_ni, energy_t_step_ni = 600 / 1000 / 100, click energy_curve_calculate";да;"общее + ni; «Шаг температуры, °C» в раскрытие[Точность и критерии], подпись «Не по умолчанию: Шаг температуры, °C.» (100 ≠ 25)";без изменений;"без изменений: символов элементов в заголовках нет";без изменений;karkas
f_energy_al;А;614 case_f_energy;"то же, база al (умолчание шага 10)";да;"общее + al; подпись «Не по умолчанию: Шаг температуры, °C.»";без изменений;без изменений;без изменений;karkas
f_energy_fe;А;614 case_f_energy;"то же, база fe";да;"общее + fe; подпись «Не по умолчанию: Шаг температуры, °C.»";без изменений;без изменений;без изменений;karkas
f_driving_ni;А;619 case_f_driving;"driving_t_min_ni, driving_t_max_ni, driving_t_step_ni = 600 / 1000 / 100, click driving_force_calculate";да;"общее + ni; «Шаг температуры, °C» в раскрытие[Точность и критерии], «Исключить…» и «Фазы исходного равновесия» в раскрытие[Управление фазами / метастабильный расчёт]; подпись «Не по умолчанию: Шаг температуры, °C.»";без изменений;без изменений;без изменений;karkas
f_driving_al;А;619 case_f_driving;"то же, база al";да;"как f_driving_ni, база al";без изменений;без изменений;без изменений;karkas
f_driving_fe;А;619 case_f_driving;"то же, база fe";да;"как f_driving_ni, база fe";без изменений;без изменений;без изменений;karkas
f_tzero_ni;А;624 case_f_tzero;"tzero_t_min_ni, tzero_t_max_ni = 1230 / 1630, click tzero_calculate";да;"общее + ni";"BL-66 (21-О): столбец «Al, ат.%» берётся из заданной сетки. При варианте np.where меняются только строки с пустым составом, при сетке целиком — все строки (repr: «2.0000000075361717» станет «2.0»). Какой вариант в 21-О — по коду wave21-m не видно.";"12Б: лист «T0» — «Al, ат.%» вместо «AL, ат.%» (21-Н, строка 11); значения столбца — как на экране";без изменений: признак «Решение найдено» и счётчик прежние;"karkas, vygruzki; ekran — по варианту 21-О"
f_tzero_al;А;624 case_f_tzero;"tzero_t_min_al, tzero_t_max_al = 530 / 830";да;"общее + al";"BL-66: то же для «Cu, ат.%»";"12Б: «Cu, ат.%»";без изменений;"karkas, vygruzki; ekran — по варианту 21-О"
f_tzero_fe;А;624 case_f_tzero;"tzero_t_min_fe, tzero_t_max_fe = 600 / 760 (явно, окно по умолчанию 21-О не участвует)";да;"общее + fe";"BL-66: то же для «C, мас.%» (в К-4 21-Н состав был во всех 12 видимых строках)";"12Б: «C, мас.%» — без изменений (одна буква)";без изменений;"karkas; ekran — по варианту 21-О"
f_density_ni;А;630 case_f_density;"physical_temperature_ni = 700, click physical_single_calculate";да;"общее + ni; «Выбрать фазы вручную» и подпись «Автоматические фазы: …» — в раскрытие[Управление фазами / метастабильный расчёт]";без изменений;без изменений;без изменений;karkas
f_density_al;А;630 case_f_density;"physical_temperature_al = 500";да;"как f_density_ni, база al";без изменений;без изменений;без изменений;karkas
f_density_fe;А;630 case_f_density;"physical_temperature_fe = 700";да;"как f_density_ni, база fe";без изменений;без изменений;без изменений;karkas
f_density_warning_ni;А;636 case_f_density_warning;"thermogar_composition_ni, units, balance, physical_temperature_ni = 25, physical_single_manual = True, physical_single_tokens (фазы без BCC_B2), click physical_single_calculate";да;"общее + ni; «Выбрать фазы вручную» и «Фазы» — в раскрытом блоке, подпись «Не по умолчанию: Выбрать фазы вручную; Фазы.»";без изменений;без изменений;без изменений;karkas
f_density_t_ni;А;649 case_f_density_t;"physical_t_min_ni, physical_t_max_ni, physical_t_step_ni = 600 / 800 / 100, click physical_scan_calculate";да;"общее + ni; после расчёта st.line_chart заменён на st.pyplot (15Б): элемент графика — imgs";без изменений;"PNG — тот же ThemedFigure, useOffset=False (15Б): байты меняются, только если у оси было смещение";без изменений;karkas
f_density_t_al;А;649 case_f_density_t;"300 / 450 / 75";да;"как f_density_t_ni, база al";без изменений;"как f_density_t_ni";без изменений;karkas
f_density_t_fe;А;649 case_f_density_t;"500 / 700 / 100";да;"как f_density_t_ni, база fe";без изменений;"как f_density_t_ni";без изменений;karkas
f_elastic_ni;А;656 case_f_elastic;"fill_editor(ELASTIC_ROW_VALUES), b4b2_elastic_temperature_ni = 700, click b4b2_elastic_prepare_calculate, b4b2_elastic_vrh_calculate";да;"общее + ni; фазы шага 1 в раскрытом блоке; «Рассчитать Voigt–Reuss–Hill» активна, причины нет (таблица полная)";без изменений;без изменений;без изменений;karkas
f_elastic_al;А;656 case_f_elastic;"то же, база al";да;"как f_elastic_ni, база al";без изменений;без изменений;без изменений;karkas
f_elastic_fe;А;656 case_f_elastic;"то же, база fe";да;"как f_elastic_ni, база fe";без изменений;без изменений;без изменений;karkas
f_strength_ni;А;664 case_f_strength;"b4b2_strengthening_rule_ni, b4b2_strengthening_confirmation_ni = True, b4b2_strengthening_provenance_ni, b4b2_hall_use_ni = True, b4b2_taylor_use_ni = True, click b4b2_strengthening_calculate";да;"общее + ni, но «Рассчитать вклады» активна; подпись «Не по умолчанию: Учитывать Hall–Petch; Учитывать Taylor.»";без изменений;без изменений;без изменений;karkas
f_strength_al;А;664 case_f_strength;"то же, база al";да;"как f_strength_ni, база al";без изменений;без изменений;без изменений;karkas
f_strength_fe;А;664 case_f_strength;"то же, база fe";да;"как f_strength_ni, база fe";без изменений;без изменений;без изменений;karkas
f_binary_ni;А;674 case_f_click;"click binary_calculate (умолчания)";да;"общее + ni; шаги и галочки бинарной — в раскрытие[Точность и критерии]";"без изменений: умолчания бинарной не менялись";"без изменений: в описи 21-Н бинарной нет";без изменений;karkas
f_binary_al;А;674 case_f_click;"click binary_calculate";да;"общее + al";без изменений;без изменений;без изменений;karkas
f_binary_fe;А;674 case_f_click;"click binary_calculate";да;"общее + fe";без изменений;без изменений;без изменений;karkas
f_isopleth_ni;А;674 case_f_click;"click isopleth_calculate (умолчания)";да;"общее + ni";"умолчание 8: другое сечение (Cr=8, Al 0–30 шаг 2, 625–1625 шаг 50) — все таблицы и числа новые (21-М ШАГ 5: 282 строки, 38 линий, 1 узел)";"выгрузки сечения — новые числа; 12Б не касается";без изменений;"karkas, ekran, vygruzki"
f_isopleth_al;А;674 case_f_click;"click isopleth_calculate";да;"общее + al";без изменений;без изменений;без изменений;karkas
f_isopleth_fe;А;674 case_f_click;"click isopleth_calculate";да;"общее + fe";без изменений;без изменений;без изменений;karkas
f_ternary_ni;А;674 case_f_click;"click ternary_calculate";да;"общее + ni";без изменений;"12Б: «Границы и узлы» — X(Ni), «Ni, ат.%», X(Al), X(Cr) (21-Н, строка 5)";без изменений;karkas, vygruzki
f_ternary_al;А;674 case_f_click;"click ternary_calculate";да;"общее + al";без изменений;"12Б: то же (Cu, Mg)";без изменений;karkas, vygruzki
f_ternary_fe;А;674 case_f_click;"click ternary_calculate";да;"общее + fe";без изменений;"12Б: то же (Fe, Cr; C — без изменений)";без изменений;karkas, vygruzki
f_tmap_ni;А;674 case_f_click;"click ternary_map_calculate";да;"общее + ni; 4 поля карты — в раскрытие[Точность и критерии]";без изменений;"12Б: Excel и CSV «Расчётная сетка» — «Ni, доля на карте», «Al, % на карте» (21-Н, строки 6–7)";без изменений;karkas, vygruzki
f_tmap_al;А;674 case_f_click;"click ternary_map_calculate";да;"как f_tmap_ni, база al";без изменений;"12Б: то же";без изменений;karkas, vygruzki
f_tmap_fe;А;674 case_f_click;"click ternary_map_calculate";да;"как f_tmap_ni, база fe";без изменений;"12Б: то же";без изменений;karkas, vygruzki
f_phasemap3_ni;А;571 case_f_startup;"как f_startup_ni";да;"общее + ni";без изменений;нет выгрузок;без изменений;karkas
f_phasemap3_al;А;571 case_f_startup;"как f_startup_al";да;"общее + al";без изменений;нет выгрузок;без изменений;karkas
f_phasemap3_fe;А;571 case_f_startup;"как f_startup_fe";да;"общее + fe";без изменений;нет выгрузок;без изменений;karkas
f_db_change;А;678 case_f_db_change;"single_temperature_ni = 700, click single_calculate, затем thermogar_database_key = fe, composition, units";да;"общее + ni, затем fe";без изменений;"12Б: Excel одной точки ni, пойманный до смены базы";без изменений;karkas, vygruzki
g_render_ni;Б;713 case_g_render;"sidebar_state (g_start :691)";да;"общее + ni; «Кинетика»: вид «Однофазная пара» с раскрытие[Параметры модели]";без изменений;нет выгрузок;без изменений;karkas
g_render_al;Б;713 case_g_render;"то же, база al";да;"общее + al";без изменений;нет выгрузок;без изменений;karkas
g_render_fe;Б;713 case_g_render;"то же, база fe";да;"общее + fe (выдержка «Выделений» 0.01 ч — 2В)";без изменений;нет выгрузок;без изменений;karkas
g_run_gate;Б;717 case_g_run_gate;"три приложения ni, al, fe (g_start)";да;"общее + ni, al, fe";без изменений;нет выгрузок;без изменений;karkas
g_single_ni;Б;722 case_g_single;"kin_single_balance/units/left/right/temperature/length/time/nodes_ni (length 100, nodes 20), kin_single_phase_ni, click kin_single_run_ni";да;"общее + ni; подпись «Не по умолчанию: Длина области, мкм; Ячеек.» (100 ≠ 2000, 20 ≠ 80); после расчёта плиток две — «Метода» нет (16Б)";без изменений;"12Б: лист «Профили» — «Ni, нач., ат.%», «Cr, итог, ат.%» (21-Н, строка 12)";без изменений;karkas, vygruzki
g_single_al;Б;722 case_g_single;"то же, база al (length 100 ≠ 200)";да;"как g_single_ni, база al";без изменений;"12Б: то же (Al, Cu)";без изменений;karkas, vygruzki
g_single_fe;Б;722 case_g_single;"то же, база fe (length 100 = умолчанию)";да;"как g_single_ni, подпись «Не по умолчанию: Ячеек.»";без изменений;"12Б: то же (Fe, Cr; C — без изменений)";без изменений;karkas, vygruzki
g_hom_ni;Б;731 case_g_hom;"kin_hom_* (как g_single), kin_hom_phases_ni = FCC_A1, NIAL, click kin_hom_run_ni";"да, но kin_hom_* не отрисованы: вид «Многофазная гомогенизация» не выбран (21-И)";"ломается: app.click(kin_hom_run_ni) не находит кнопку (21-И, отчёт 21-И). После правки (kinetics_diffusion_view = «Многофазная гомогенизация») — подпись «Не по умолчанию», две плитки";"после правки — без изменений (фазы заданы явно, равны умолчанию 9)";"после правки — 12Б, лист «Профили»";без изменений;"ломается (21-И); после правки karkas, vygruzki"
g_hom_fe;Б;731 case_g_hom;"то же, база fe (FCC_A1, BCC_A2)";"да, не отрисованы (21-И)";"ломается, как g_hom_ni";—;"после правки — 12Б";без изменений;"ломается (21-И); после правки karkas, vygruzki"
g_hom_al;Б;740 case_g_hom_al;"kin_hom_*_al";"да, не отрисованы (21-И)";"общее + al; полей kin_hom_* и предупреждения об одной фазе в karkas нет (21-И)";без изменений;нет выгрузок;"предупреждения об одной фазе нет (21-И)";karkas, texts (21-И)
g_kwn_ni;Б;757 case_g_kwn;"precipitation_ni_user_matrix/precipitate/temperature_c = FCC_A1 / GAMMA_PRIME / 800, _duration_h = 0.001, _bins = 40, click precipitation_ni_user_calculate";да;"общее + ni; подпись «Не по умолчанию: Классов размеров.» (40 ≠ 80); 21-И: только вид «Итоги»";"22-Б (BL-43): ограничение шага K = 2 — числа таблиц «Итогов» сдвигаются";"21-И: Excel, NPZ, JSON — на виде «Экспорт и ограничения», не перехвачены; 12Б (листы 13–14) в снимке не виден";без изменений;karkas, ekran
g_kwn_al;Б;757 case_g_kwn;"то же, FCC_A1 / THETA_AL2CU / 200";да;"как g_kwn_ni, база al";"22-Б: числа — сверить прогоном (при 24 ч выделений нет и после 22-Б)";"как g_kwn_ni";без изменений;"karkas; ekran — прогоном"
g_kwn_fe;Б;757 case_g_kwn;"то же, BCC_A2 / M23C6 / 700, 3,6 с, 40 классов";да;"как g_kwn_ni, база fe";"22-Б: ячейка приложения 3,6 с больше не останавливается (10 зёрен из 10) — таблицы до конца выдержки, доля 4,4095 %";"как g_kwn_ni";"22-Б: ошибки «Расчёт остановлен…» нет, «Одна или несколько внутренних проверок не пройдены» сменяется на «Внутренние численные проверки пройдены.»; при остановке текст был бы 3В";"karkas, ekran, texts"
g_kwn_fe_provenance;Б;766 case_g_fe_provenance;"как g_kwn_fe, _bins = 30";да;"общее + fe; подпись «Не по умолчанию: Классов размеров.»";"22-Б: числа меняются; есть ли на 30 классах остановка — по коду не определить";"как g_kwn_ni";"по коду не определить: зависит от остановки на 30 классах";"karkas, ekran; texts — прогоном"
g_kwn_matrix_al;Б;713 case_g_render;"как g_render_al";да;"общее + al";без изменений;нет выгрузок;без изменений;karkas
g_kwn_matrix_fe;Б;713 case_g_render;"как g_render_fe";да;"общее + fe";без изменений;нет выгрузок;без изменений;karkas
g_kwn_too_long;Б;784 case_g_too_long;"thermogar_composition_fe — 11 добавок";да;"общее + fe";без изменений;нет выгрузок;"без изменений (отказ до расчёта)";karkas
g_kwn_eight;Б;789 case_g_eight;"thermogar_composition_fe — 8 добавок";да;"общее + fe";без изменений;нет выгрузок;без изменений;karkas
g_bounded_kin_single;Б;713 case_g_render;"как g_render_ni";да;"общее + ni; поля kin_single_* — длина, граница, ячейки в раскрытие[Параметры модели]";без изменений;нет выгрузок;без изменений;karkas
g_bounded_kin_hom;Б;713 case_g_render;"как g_render_ni";"да, kin_hom_* не отрисованы (21-И)";"общее + ni; полей kin_hom_* нет (21-И)";без изменений;нет выгрузок;без изменений;karkas
g_bad_couple_1;Б;794 case_g_bad_couple;"kin_single_* (как g_single_ni), kin_single_left_ni = CR=7.7, kin_single_right_ni = CR=7.7";да;"общее + ni; подпись «Не по умолчанию: Длина области, мкм; Ячеек.»";без изменений;нет выгрузок;"без изменений (текст ошибки пары)";karkas
g_bad_couple_2;Б;794 case_g_bad_couple;"то же, CR=60, AL=50 / CR=1";да;"как g_bad_couple_1";без изменений;нет выгрузок;без изменений;karkas
g_bad_couple_3;Б;794 case_g_bad_couple;"то же, бессмыслица / CR=5";да;"как g_bad_couple_1";без изменений;нет выгрузок;без изменений;karkas
g_kwn_grid;Б;802 case_g_kwn_grid;"precipitation_fe_user_matrix = BCC_A2, _precipitate = M23C6, _duration_h = 0.001, _cmin_nm = 10, _cmax_nm = 1, click precipitation_fe_user_calculate";да;"общее + fe; подпись «Не по умолчанию: Минимальный радиус, нм; Начальный максимальный радиус, нм.»";без изменений;нет выгрузок;"без изменений (отказ по сетке до расчёта)";karkas
g_ni_kwn_hour;Б;775 case_g_ni_kwn_hour;"precipitation_ni_user_matrix/precipitate/temperature_c, _duration_h = 1.0, click precipitation_ni_user_calculate";да;"общее + ni; только вид «Итоги»";"22-Б: числа «Итогов» сдвигаются (K = 2)";"21-И: не перехвачены";без изменений;karkas, ekran
g_fe_defaults;Б;713 case_g_render;"как g_render_fe";да;"общее + fe: precipitation_fe_user_duration_h = 0.01 (2В). Тест-источник test_fe_shipped_defaults_are_the_declared_ones держит 0.05 — его ожидание правит 21-О";без изменений;нет выгрузок;без изменений;karkas
h_library_ni;В;842 case_h_library;"thermogar_database_key = ni (selectbox), thermogar_composition_ni, units, «Название марки или состава», «Сохранить текущий состав», alloy_selected_id, alloy_load_button, alloy_delete_confirm_<id>, alloy_delete_button_<id>";да;"общее + fe (запуск), ni, al (другая база)";без изменений;"выгрузки библиотеки — без символов в заголовках";без изменений;karkas
h_library_al;В;842 case_h_library;"то же, база al";да;"общее + fe, al, ni";без изменений;"то же";без изменений;karkas
h_library_fe;В;842 case_h_library;"то же, база fe";да;"общее + fe, al";без изменений;"то же";без изменений;karkas
h_library_roundtrip;В;880 case_h_library_roundtrip;"«Название марки или состава», «Сохранить текущий состав», «Импортировать библиотеку JSON», alloy_import_button";да;"общее + fe (два приложения)";без изменений;без изменений;без изменений;karkas
h_project_ni;В;894 case_h_project;"thermogar_database_key = ni, single_temperature_ni = 812, «Название проекта», «Сохранить проект в папке ThermoGar», project_load_button";да;"общее + fe, ni";без изменений;"без изменений: символов нет";без изменений;"karkas, sostoyanie (умолчания в проекте)"
h_project_al;В;894 case_h_project;"то же, база al";да;"общее + fe, al";без изменений;без изменений;без изменений;"karkas, sostoyanie"
h_project_fe;В;894 case_h_project;"то же, база fe";да;"общее + fe";без изменений;без изменений;без изменений;"karkas, sostoyanie"
h_project_export;В;908 case_h_project_export;"single_temperature_fe = 755, «Название проекта», «Сохранить проект…», «Импортировать проект», project_import_button, project_delete_confirm, project_delete_button";да;"общее + fe";без изменений;"если выгрузка проекта перехвачена — в ней новые умолчания fe (5, 6; 21-О)";без изменений;"karkas, sostoyanie"
h_confirmations;В;928 case_h_confirmations;"«Название проекта», «Сохранить проект…», «Название марки или состава», «Сохранить текущий состав»";да;"общее + fe";без изменений;без изменений;без изменений;karkas
h_history;В;938 case_h_history;"«Название марки…», «Сохранить текущий состав», projects_history_mode, history_restore_button, history_clear_confirm, history_clear_button";да;"общее + fe";без изменений;без изменений;без изменений;karkas
h_batch_comma;В;961 case_h_batch_sep;"«Файл составов» (h_upload_batch :956)";да;"общее + fe";без изменений;нет выгрузок;без изменений;karkas
h_batch_semicolon;В;961 case_h_batch_sep;"то же";да;"общее + fe";без изменений;нет выгрузок;без изменений;karkas
h_batch_comma_bom;В;961 case_h_batch_sep;"то же";да;"общее + fe";без изменений;нет выгрузок;без изменений;karkas
h_batch_semicolon_bom;В;961 case_h_batch_sep;"то же";да;"общее + fe";без изменений;нет выгрузок;без изменений;karkas
h_batch_junk;В;966 case_h_batch_junk;"«Файл составов»";да;"общее + fe";без изменений;нет выгрузок;без изменений;karkas
h_batch_template;В;970 case_h_batch_template;"click batch_template_xlsx_prepare, batch_template_csv_prepare";да;"общее + fe";без изменений;"без изменений: шаблон — канонические заголовки входа (21-Н, строка 17 — не менять)";без изменений;karkas
h_batch_summary;В;976 case_h_batch_summary;"«Файл составов», click batch_calculate_button";да;"общее + fe";"без изменений (сводка на экране)";"результат не готовится — нет";без изменений;karkas
h_batch_three;В;983 case_h_batch_three;"«Файл составов», click batch_calculate_button, batch_result_export_prepare";да;"общее + fe";без изменений;"12Б: «Составы фаз ат/мас» — «Ni, ат.%», «Al, ат.%» (21-Н, строки 15–16); «Исходные данные» без изменений";без изменений;karkas, vygruzki
h_batch_c15;В;991 case_h_batch_c15;"«Файл составов»";да;"общее + fe";без изменений;нет выгрузок;без изменений;karkas
h_first_run;В;997 case_h_first_run;"без ключей (запуск без THERMOGAR_STATE_ROOT)";да;"общее + fe";без изменений;нет выгрузок;без изменений;karkas
h_phase_reference_ni;В;1002 case_h_phase_reference;"thermogar_database_key = ni, «Показывать исходное английское описание»";да;"общее + ni";без изменений;нет выгрузок;без изменений;karkas
h_phase_reference_al;В;1002 case_h_phase_reference;"то же, база al";да;"общее + al";без изменений;нет выгрузок;без изменений;karkas
h_phase_reference_fe;В;1002 case_h_phase_reference;"то же, база fe";да;"общее + fe";без изменений;нет выгрузок;без изменений;karkas
h_batch_fe08;В;1008 case_h_batch_fe08;"«Файл составов», click batch_calculate_button и batch_result_export_prepare, если есть";да;"общее + fe";без изменений;"12Б: «Составы фаз ат/мас» — «Fe», «Cr» (C — без изменений)";без изменений;karkas, vygruzki
sh_density_nicr_on;Г;1049 case_sh_density;"sidebar_state ni CR=20 мас.%, physical_temperature_ni = 700, click physical_single_calculate";да;"общее + ni; фазы в раскрытом блоке";без изменений;без изменений;без изменений;karkas
sh_density_nicr_off;Г;1049 case_sh_density;"то же, physical_overrides_enabled = False";да;"как sh_density_nicr_on";без изменений;без изменений;без изменений;karkas
sh_density_nialcr_on;Г;1049 case_sh_density;"ni AL=9.8, CR=8.3 ат.%, 800 °C";да;"как sh_density_nicr_on";без изменений;без изменений;без изменений;karkas
sh_density_nialcr_off;Г;1049 case_sh_density;"то же, поправки выкл.";да;"как sh_density_nicr_on";без изменений;без изменений;без изменений;karkas
sh_density_fecrc_on;Г;1049 case_sh_density;"fe CR=15, C=0.4 мас.%, 950 °C";да;"общее + fe; фазы в раскрытом блоке";без изменений;без изменений;без изменений;karkas
sh_density_fecrc_off;Г;1049 case_sh_density;"то же, поправки выкл.";да;"как sh_density_fecrc_on";без изменений;без изменений;без изменений;karkas
sh_density_t_nicr_on;Г;1054 case_sh_density_t;"physical_t_min/max/step_ni = 100 / 1100 / 100, click physical_scan_calculate";да;"общее + ni; st.line_chart заменён на st.pyplot (15Б)";без изменений;"PNG — как f_density_t_ni";без изменений;karkas
sh_density_t_nicr_off;Г;1054 case_sh_density_t;"то же, поправки выкл.";да;"как sh_density_t_nicr_on";без изменений;"как f_density_t_ni";без изменений;karkas
sh_density_t_nialcr_on;Г;1054 case_sh_density_t;"то же, состав nialcr";да;"как sh_density_t_nicr_on";без изменений;"как f_density_t_ni";без изменений;karkas
sh_density_t_nialcr_off;Г;1054 case_sh_density_t;"то же, поправки выкл.";да;"как sh_density_t_nicr_on";без изменений;"как f_density_t_ni";без изменений;karkas
sh_density_t_fecrc_on;Г;1054 case_sh_density_t;"physical_t_min/max/step_fe = 100 / 1100 / 100";да;"общее + fe; st.pyplot (15Б)";без изменений;"как f_density_t_ni";без изменений;karkas
sh_density_t_fecrc_off;Г;1054 case_sh_density_t;"то же, поправки выкл.";да;"как sh_density_t_fecrc_on";без изменений;"как f_density_t_ni";без изменений;karkas
sh_elastic_nicr_on;Г;1060 case_sh_elastic;"fill_editor (100/300 ГПа, ν 0.25, measured, источник, 25 °C), b4b2_elastic_temperature_ni = 700, prepare и vrh";да;"общее + ni; «Рассчитать Voigt–Reuss–Hill» активна — таблица полная";без изменений;без изменений;без изменений;karkas
sh_elastic_nicr_off;Г;1060 case_sh_elastic;"то же, поправки выкл.";да;"как sh_elastic_nicr_on";без изменений;без изменений;без изменений;karkas
