№,группа t1_6b,вид места,файл:строка,вывод на экран сейчас,перехват в коде,откуда текст (класс исключения и где возбуждается),своё русское / чужое / смешанное,что останется на экране после внедрения,код ошибки рядом сейчас,«Технические сведения» рядом сейчас,примечание
45,6,вызов сообщения (66 из t1_6),app/thermogar_diffusion.py:1427,st.warning f-строка «Исправьте составы пары: {preview_error}»,"except Exception as preview_error (:1424), try :1412–1423","_build_couple: ValueError с русским текстом (thermogar_diffusion.py, 32 таких raise в модуле); _compatible_mobility_phases и _selectable_phases — обращения к базе pycalphad",смешанное,"«Исправьте составы пары.» + своё русское сообщение, если оно есть; для чужого — «Код ошибки: …» + «Технические сведения»",нет,нет,уровень — раздел Е (warning → error)
46,1,вызов сообщения (66 из t1_6),app/thermogar_diffusion.py:1495,render_error,"except Exception as error (:1494), try :1454–1493",run_diffusion: ValueError/RuntimeError с русским текстом (thermogar_diffusion.py:881 — «Решатель Kawin не смог…» с вставкой {error}); исключения kawin и pycalphad,смешанное,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,:881 — «смешанное» внутри одного своего исключения
47,6,вызов сообщения (66 из t1_6),app/thermogar_diffusion.py:1530,st.warning f-строка «Исправьте составы пары: {preview_error}»,"except Exception as preview_error (:1527), try :1515–1526","_build_couple: ValueError с русским текстом (thermogar_diffusion.py, 32 таких raise в модуле); _compatible_mobility_phases и _selectable_phases — обращения к базе pycalphad",смешанное,как :1427,нет,нет,уровень — раздел Е (warning → error)
48,1,вызов сообщения (66 из t1_6),app/thermogar_diffusion.py:1651,render_error,"except Exception as error (:1650), try :1603–1649",ValueError с русским текстом (:1605); run_diffusion — как :1495,смешанное,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,
49,16,вызов сообщения (66 из t1_6),app/thermogar_precipitation.py:1366,st.error(str(error)),"except Exception as error (:1365), try :1362–1364","_composition_vectors: ValueError с русским текстом (_parse_composition, thermogar_precipitation.py:265 и далее); _matrix_candidates — обращения к базе pycalphad",смешанное,"«Состав не принят.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
50,1,вызов сообщения (66 из t1_6),app/thermogar_precipitation.py:1606,render_error,"except Exception as error (:1605), try :1568–1604","run_precipitation: ValueError с русским текстом (в модуле 35 таких raise, например :773–782); исключения kawin и pycalphad",смешанное,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,
51,1,вызов сообщения (66 из t1_6),app/thermogar_stage14.py:407,"st.error «{title}

{action}»",render_user_error (:391–422) — общий вывод для 18 вызовов группы 1,"подсказка = str(exception) в ветвях: C15/ликвидус (:150–160), упругие (:209–218), Hall–Petch (:220–224), Taylor (:226–230), Orowan (:232–236), «не заданы E и ν» (:245–250), параметры свойств (:259–273), ValueError (:293–297), «не завершил… Причина:» (:299–304)",смешанное,"«{title}

{action}» без str(exception); в ветвях с raw — только своё русское сообщение с классом-признаком, иначе подсказка без raw",да,да,"тип исключения выводится в «Технических сведениях» (:410), см. строку 68"
52,18,вызов сообщения (66 из t1_6),app/thermogar_stage14.py:1205,st.warning «Модуль Scheil–Gulliver недоступен. … Причина: {scheil_import_error or 'пакет scheil не установлен'}»,не в обработчике,render_preflight всегда передаёт своё значение: «» или «пакет scheil не импортирован» (thermogar_stage14.py:1409–1413). Текст ImportError сюда не доходит,своё русское,без изменений,нет,нет,уточнение к 21-А: в t1_6b здесь указан текст ImportError
53,18,вызов сообщения (66 из t1_6),app/thermogar_stage14.py:1213,st.warning «Модуль диффузии Kawin недоступен. … Причина: {kawin_import_error or …}»,не в обработчике,KAWIN_IMPORT_ERROR = str(import_error) (thermogar_diffusion.py:70; except Exception при импорте kawin) — ImportError/ModuleNotFoundError Python или исключение пакета,чужое,«Модуль диффузии Kawin недоступен. Равновесные функции работают.» + «Технические сведения» с причиной,нет,нет,запасной текст «пакет kawin не установлен» — своё русское
54,18,вызов сообщения (66 из t1_6),app/thermogar_stage14.py:1221,st.warning «Модуль кинетики выделений недоступен. … Причина: {precipitation_import_error or …}»,не в обработчике,PRECIPITATION_IMPORT_ERROR = str(import_error) (thermogar_precipitation.py:56),чужое,«Модуль кинетики выделений недоступен. Остальные функции работают.» + «Технические сведения» с причиной,нет,нет,"запасной текст «Kawin precipitation не импортирован» — своё, но жаргон (раздел А, строка 16)"
55,21,вызов сообщения (66 из t1_6),app/thermogar_workspace.py:1146,"flash warning «Состав сохранён, но запись в историю не добавлена: {history_warning}»",не в обработчике: record_history_nonfatal (:1398–1399) возвращает f'{type(error).__name__}: {error}',"record_history: SecureIOError (английский текст), ValueError/RuntimeError с русским текстом",смешанное,"«Состав сохранён, но запись в историю не добавлена.» + «Код ошибки: …» + «Технические сведения»",нет,нет,на экране имя класса исключения
56,20,вызов сообщения (66 из t1_6),app/thermogar_workspace.py:1154,st.error(str(error)),"except Exception as error (:1153), try :1129–1152",upsert_user_alloy: ValueError с русским текстом; SecureIOError с английским текстом; record_history_nonfatal,смешанное,"«Состав не сохранён.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
