Тип;Группа;Фаза / набор фаз;Точка;Состав, доля;Состав, ат.%;Температура, K;Температура, °C
Граница фазовой области;16;GAMMA_PRIME;3;0.17861519793789335;17.861519793789334;1634.6565283745063;1361.5065283745062
Граница фазовой области;16;GAMMA_PRIME;4;0.18661519794612075;18.661519794612076;1635.2439017611237;1362.0939017611236
Граница фазовой области;16;GAMMA_PRIME;5;0.20070293710073234;20.070293710073233;1636.2983449505177;1363.1483449505176
Граница фазовой области;17;LIQUID;1;0.1726151979406487;17.26151979406487;1634.2222488385219;1361.0722488385218
Граница фазовой области;17;LIQUID;2;0.1706151979872001;17.06151979872001;1636.3309108359158;1363.1809108359157
Граница фазовой области;17;LIQUID;3;0.16661519803432526;16.661519803432526;1640.4314160831768;1367.2814160831767
Граница фазовой области;17;LIQUID;4;0.15861519812618297;15.861519812618297;1648.179959544947;1375.029959544947
Граница фазовой области;17;LIQUID;5;0.14261519794076416;14.261519794076417;1661.9787851299975;1388.8287851299974
Граница фазовой области;17;LIQUID;6;0.12261519798221682;12.261519798221682;1676.3427926552454;1403.1927926552453
Граница фазовой области;17;LIQUID;7;0.10261519790398253;10.261519790398253;1687.879364939267;1414.7293649392668
Граница фазовой области;17;LIQUID;8;0.08261519794122402;8.261519794122401;1696.9488071077271;1423.798807107727
Граница фазовой области;17;LIQUID;9;0.06261519794108993;6.261519794108993;1703.8842524463894;1430.7342524463893
Граница фазовой области;17;LIQUID;10;0.042615197940867405;4.26151979408674;1709.013660061834;1435.8636600618338
Граница фазовой области;17;LIQUID;11;0.022615197940588208;2.2615197940588208;1712.6802933215572;1439.530293321557
Граница фазовой области;17;LIQUID;12;0.0026151979408835747;0.26151979408835746;1715.255921391296;1442.1059213912959
Граница фазовой области;17;LIQUID;13;0.00011519799850125184;0.011519799850125184;1715.5210090140376;1442.3710090140376
Граница фазовой области;18;LIQUID;1;0.17261542872388003;17.261542872388002;1634.2222488385219;1361.0722488385218
Граница фазовой области;18;LIQUID;2;0.17461519792896943;17.461519792896944;1633.556547119652;1360.4065471196518
Граница фазовой области;18;LIQUID;3;0.17861519795001096;17.861519795001097;1632.1469415776141;1358.996941577614
Граница фазовой области;18;LIQUID;4;0.1866151979443973;18.66151979443973;1628.9849733867363;1355.8349733867362
Граница фазовой области;18;LIQUID;5;0.20261519794459734;20.261519794459733;1621.0980416172156;1347.9480416172155
Граница фазовой области;18;LIQUID;6;0.21853213327189974;21.853213327189973;1611.183736088255;1338.033736088255
Граница фазовой области;19;NIAL;1;0.24216405490468482;24.216405490468482;1152.1390364340245;878.9890364340246
Граница фазовой области;19;NIAL;2;0.24209702199313937;24.209702199313938;1157.1390364340245;883.9890364340246
Граница фазовой области;19;NIAL;3;0.24196099321018838;24.19609932101884;1167.1390364340245;893.9890364340246
Граница фазовой области;19;NIAL;4;0.24168071637960983;24.168071637960985;1187.1390364340245;913.9890364340246
Граница фазовой области;19;NIAL;5;0.2410844333150606;24.10844333150606;1227.1390364340245;953.9890364340246
Граница фазовой области;19;NIAL;6;0.24026424168352783;24.026424168352783;1277.1390364340245;1003.9890364340246
Граница фазовой области;19;NIAL;7;0.23935123696957414;23.935123696957415;1327.1390364340245;1053.9890364340245
Граница фазовой области;19;NIAL;8;0.2383374497436845;23.83374497436845;1377.1390364340245;1103.9890364340245
Граница фазовой области;19;NIAL;9;0.23721802048051743;23.721802048051742;1427.1390364340245;1153.9890364340245
Граница фазовой области;19;NIAL;10;0.23599172608113553;23.59917260811355;1477.1390364340245;1203.9890364340245
Граница фазовой области;19;NIAL;11;0.23466714310206518;23.46671431020652;1526.9295917585027;1253.7795917585026
Граница фазовой области;20;NIAL;1;0.24216405573605276;24.216405573605275;1152.1390364340245;878.9890364340246
Граница фазовой области;20;NIAL;2;0.24198254522969262;24.19825452296926;1147.1390364340245;873.9890364340246
Граница фазовой области;20;NIAL;3;0.24162298392175438;24.162298392175437;1137.1390364340245;863.9890364340246
Граница фазовой области;20;NIAL;4;0.24091833096129142;24.091833096129143;1117.1390364340245;843.9890364340246
Граница фазовой области;20;NIAL;5;0.23957189090159584;23.957189090159584;1077.1390364340245;803.9890364340246
Граница фазовой области;20;NIAL;6;0.2380200121333665;23.80200121333665;1027.1390364340245;753.9890364340246
Граница фазовой области;20;NIAL;7;0.23662813305915179;23.66281330591518;977.1390364340245;703.9890364340246
Граница фазовой области;20;NIAL;8;0.23540352841179993;23.540352841179992;927.1390364340245;653.9890364340246
Граница фазовой области;20;NIAL;9;0.23485365132870484;23.485365132870484;902.1390364340245;628.9890364340246
Граница фазовой области;21;BCC_B2;1;0.24216405490468482;24.216405490468482;1152.1390364340245;878.9890364340246
Граница фазовой области;21;BCC_B2;2;0.2407029628736651;24.07029628736651;1157.1390364340245;883.9890364340246
Граница фазовой области;21;BCC_B2;3;0.23682037487407445;23.682037487407445;1167.1390364340245;893.9890364340246
Граница фазовой области;21;BCC_B2;4;0.23378608573476845;23.378608573476846;1172.1390364340245;898.9890364340246
Граница фазовой области;21;BCC_B2;5;0.22978608573439463;22.978608573439463;1175.6137339961992;902.4637339961993
Граница фазовой области;21;BCC_B2;6;0.2217860857342618;22.17860857342618;1173.7876290675472;900.6376290675472
Граница фазовой области;21;BCC_B2;7;0.22070497805194775;22.070497805194776;1172.7437839009567;899.5937839009567
Граница фазовой области;22;BCC_B2;1;0.24216439811998738;24.21643981199874;1152.1390364340245;878.9890364340246
Граница фазовой области;22;BCC_B2;2;0.2441640549093534;24.41640549093534;1156.7795339775316;883.6295339775317
Граница фазовой области;22;BCC_B2;3;0.24816405490337523;24.816405490337523;1166.2268859459132;893.0768859459132
Граница фазовой области;22;BCC_B2;4;0.25616405490191463;25.61640549019146;1185.8192798354926;912.6692798354926
Граница фазовой области;22;BCC_B2;5;0.27216405484527884;27.216405484527883;1228.1470040998815;954.9970040998816
Граница фазовой области;22;BCC_B2;6;0.2889149920699331;28.89149920699331;1278.1470040998815;1004.9970040998816
Граница фазовой области;23;NIAL;1;0.2265701376036681;22.65701376036681;1611.1837360882405;1338.0337360882404
Граница фазовой области;23;NIAL;2;0.2252018645253156;22.52018645253156;1616.1837360882405;1343.0337360882404
Граница фазовой области;23;NIAL;3;0.22253783953844808;22.25378395384481;1626.1837360882405;1353.0337360882404
Граница фазовой области;23;NIAL;4;0.2190344294627453;21.903442946274527;1638.6391486406123;1365.4891486406123
Граница фазовой области;24;FCC_A1;1;0.2265701376036681;22.65701376036681;1611.1837360882405;1338.0337360882404
Граница фазовой области;24;FCC_A1;2;0.22457013761022998;22.457013761023;1613.4589264829033;1340.3089264829032
Граница фазовой области;24;FCC_A1;3;0.22057013760339816;22.057013760339817;1617.9432040558954;1344.7932040558953
Граница фазовой области;24;FCC_A1;4;0.21257013760696325;21.257013760696324;1626.3323510794203;1353.1823510794202
Граница фазовой области;24;FCC_A1;5;0.20070293696114233;20.070293696114234;1636.2983449595545;1363.1483449595544
Граница фазовой области;25;NIAL;1;0.21853213328644694;21.853213328644692;1611.1837360882405;1338.0337360882404
Граница фазовой области;25;NIAL;2;0.21970439837981487;21.970439837981488;1606.1837360882405;1333.0337360882404
Граница фазовой области;25;NIAL;3;0.2219330265401872;22.19330265401872;1596.1837360882405;1323.0337360882404
Граница фазовой области;25;NIAL;4;0.22601234664273145;22.601234664273147;1576.1837360882405;1303.0337360882404
Граница фазовой области;25;NIAL;5;0.23314666954060956;23.314666954060957;1536.1837360882405;1263.0337360882404
Граница фазовой области;25;NIAL;6;0.23466714330851837;23.466714330851836;1526.9295918440098;1253.7795918440097
Граница фазовой области;26;GAMMA_PRIME;1;0.26850659041746716;26.850659041746717;1611.1837360882405;1338.0337360882404
Граница фазовой области;26;GAMMA_PRIME;2;0.26650659048534436;26.650659048534436;1612.7750581441273;1339.6250581441273
Граница фазовой области;26;GAMMA_PRIME;3;0.26250659051772846;26.250659051772846;1615.8001924316836;1342.6501924316835
Граница фазовой области;26;GAMMA_PRIME;4;0.25450659042040646;25.450659042040648;1621.275284302907;1348.125284302907
Граница фазовой области;26;GAMMA_PRIME;5;0.2385065904261104;23.85065904261104;1630.2996588159062;1357.1496588159062
Граница фазовой области;26;GAMMA_PRIME;6;0.21903442911102586;21.903442911102587;1638.6391486405978;1365.4891486405977
Граница фазовой области;27;FCC_A1;1;0.26850659041746716;26.850659041746717;1611.1837360882405;1338.0337360882404
Граница фазовой области;27;FCC_A1;2;0.27050659041481584;27.050659041481584;1610.550794280111;1337.4007942801109
Граница фазовой области;27;FCC_A1;3;0.27450659054696847;27.450659054696846;1609.2651689098188;1336.1151689098187
Граница фазовой области;27;FCC_A1;4;0.2825065905336328;28.25065905336328;1606.6165434905183;1333.4665434905182
Граница фазовой области;27;FCC_A1;5;0.29850659047802575;29.850659047802573;1601.015579932317;1327.865579932317
Граница фазовой области;28;NIAL;1;0.21903467028220838;21.903467028220838;1638.6391486405832;1365.4891486405832
Граница фазовой области;28;NIAL;2;0.22050722432047723;22.050722432047724;1633.6391486405832;1360.4891486405832
Граница фазовой области;28;NIAL;3;0.2232135288588294;22.321352885882938;1623.6391486405832;1350.4891486405832
Граница фазовой области;28;NIAL;4;0.2265701375939399;22.65701375939399;1611.1837360882405;1338.0337360882404
Граница фазовой области;29;GAMMA_PRIME;1;0.2190344291582364;21.90344291582364;1638.6391486405832;1365.4891486405832
Граница фазовой области;29;GAMMA_PRIME;2;0.21703442920494986;21.703442920494986;1638.539469425907;1365.389469425907
Граница фазовой области;29;GAMMA_PRIME;3;0.21303442924831567;21.303442924831568;1638.2240148591432;1365.074014859143
Граница фазовой области;29;GAMMA_PRIME;4;0.20503442934470353;20.503442934470353;1637.1362730238238;1363.9862730238237
Граница фазовой области;29;GAMMA_PRIME;5;0.2007029367813869;20.07029367813869;1636.2983449595108;1363.1483449595107
Граница фазовой области;30;GAMMA_PRIME;1;0.21903474475619594;21.903474475619593;1638.6391486405832;1365.4891486405832
Граница фазовой области;30;GAMMA_PRIME;2;0.2210344291522528;22.10344291522528;1637.8905942580227;1364.7405942580226
Граница фазовой области;30;GAMMA_PRIME;3;0.22503442916256935;22.503442916256937;1636.3253889214598;1363.1753889214597
Граница фазовой области;30;GAMMA_PRIME;4;0.23303442916789974;23.303442916789972;1632.8980441855442;1359.7480441855441
Граница фазовой области;30;GAMMA_PRIME;5;0.24903442915447924;24.903442915447922;1624.6260236156581;1351.476023615658
Граница фазовой области;30;GAMMA_PRIME;6;0.2685065904111831;26.85065904111831;1611.183736088255;1338.033736088255
Граница фазовой области;31;BCC_B2;1;0.2207050508296849;22.070505082968488;1172.7437839248073;899.5937839248073
Граница фазовой области;31;BCC_B2;2;0.219469170767089;21.9469170767089;1167.7437839248073;894.5937839248073
Граница фазовой области;31;BCC_B2;3;0.21703825824022327;21.703825824022328;1157.7437839248073;884.5937839248073
Граница фазовой области;31;BCC_B2;4;0.2123425846564958;21.23425846564958;1137.7437839248073;864.5937839248073
Граница фазовой области;31;BCC_B2;5;0.20364199900236565;20.364199900236564;1097.7437839248073;824.5937839248073
Граница фазовой области;31;BCC_B2;6;0.19412412930377335;19.412412930377336;1047.7437839248073;774.5937839248073
Граница фазовой области;31;BCC_B2;7;0.18616175593034062;18.61617559303406;997.7437839248073;724.5937839248073
Граница фазовой области;31;BCC_B2;8;0.17975403383565655;17.975403383565656;947.7437839248073;674.5937839248073
Граница фазовой области;31;BCC_B2;9;0.17728417654891185;17.728417654891185;924.3918105430189;651.2418105430189
Граница фазовой области;32;FCC_A1;1;0.22070497874794048;22.07049787479405;1172.7437839248073;899.5937839248073
Граница фазовой области;32;FCC_A1;2;0.21977244770443158;21.977244770443157;1167.7437839248073;894.5937839248073
Граница фазовой области;32;FCC_A1;3;0.21790648217105313;21.790648217105314;1157.7437839248073;884.5937839248073
Граница фазовой области;32;FCC_A1;4;0.21417376745239375;21.417376745239373;1137.7437839248073;864.5937839248073
Граница фазовой области;32;FCC_A1;5;0.20673687991380704;20.673687991380703;1097.7437839248073;824.5937839248073
Граница фазовой области;32;FCC_A1;6;0.19761856463602406;19.761856463602406;1047.7437839248073;774.5937839248073
Граница фазовой области;32;FCC_A1;7;0.18890148274279592;18.890148274279593;997.7437839248073;724.5937839248073
Граница фазовой области;32;FCC_A1;8;0.18080182758522093;18.080182758522092;947.7437839248073;674.5937839248073
Граница фазовой области;32;FCC_A1;9;0.17728417658485007;17.728417658485007;924.3918105430698;651.2418105430698
Граница фазовой области;33;GAMMA_PRIME;1;0.20070311030993565;20.070311030993565;1636.2983449505177;1363.1483449505176
Граница фазовой области;33;GAMMA_PRIME;2;0.19870293709733503;19.870293709733502;1636.1472736630444;1362.9972736630443
Граница фазовой области;33;GAMMA_PRIME;3;0.19470293710859388;19.470293710859387;1635.8464171409346;1362.6964171409345
Граница фазовой области;33;GAMMA_PRIME;4;0.18670293710326968;18.67029371032697;1635.2503932142195;1362.1003932142194
Граница фазовой области;33;GAMMA_PRIME;5;0.17261519768718334;17.261519768718333;1634.2222488384928;1361.0722488384927
Граница фазовой области;34;FCC_A1;1;0.20070293710073234;20.070293710073233;1636.2983449505177;1363.1483449505176
Граница фазовой области;34;FCC_A1;2;0.19870293714717382;19.870293714717384;1638.0442725106464;1364.8942725106463
Граница фазовой области;34;FCC_A1;3;0.19470293719339704;19.470293719339704;1641.4569395087078;1368.3069395087077
Граница фазовой области;34;FCC_A1;4;0.18670293728595166;18.670293728595166;1647.973360809067;1374.8233608090668
Граница фазовой области;34;FCC_A1;5;0.17070293710208945;17.070293710208944;1659.8305889260578;1386.6805889260577
Граница фазовой области;34;FCC_A1;6;0.150702937101638;15.070293710163801;1672.6129742170074;1399.4629742170073
Граница фазовой области;34;FCC_A1;7;0.13070293708918893;13.070293708918893;1683.3434126966372;1410.193412696637
Граница фазовой области;34;FCC_A1;8;0.11070293710018472;11.070293710018472;1692.2298971050536;1419.0798971050535
Граница фазовой области;34;FCC_A1;9;0.09070293710100098;9.070293710100099;1699.4633863580443;1426.3133863580442
Граница фазовой области;34;FCC_A1;10;0.0707029371002166;7.0702937100216605;1705.2235727069697;1432.0735727069696
Граница фазовой области;34;FCC_A1;11;0.05070293710113717;5.0702937101137175;1709.6858828064055;1436.5358828064054
Граница фазовой области;34;FCC_A1;12;0.030702937100949016;3.0702937100949015;1713.0320725048718;1439.8820725048718
Граница фазовой области;34;FCC_A1;13;0.010702937100614566;1.0702937100614567;1715.4692377190136;1442.3192377190135
Граница фазовой области;34;FCC_A1;14;0.0007029373324197447;0.07029373324197447;1716.4261490772246;1443.2761490772245
Граница фазовой области;35;FCC_A1;1;0.20070316773793187;20.070316773793188;1636.2983449505177;1363.1483449505176
Граница фазовой области;35;FCC_A1;2;0.20270293709618212;20.270293709618212;1634.8582531216002;1361.7082531216001
Граница фазовой области;35;FCC_A1;3;0.20670293709674667;20.670293709674667;1631.6848722512573;1358.5348722512572
Граница фазовой области;35;FCC_A1;4;0.21470293710071164;21.470293710071164;1624.2002431535861;1351.050243153586
Граница фазовой области;35;FCC_A1;5;0.22657013759552788;22.65701375955279;1611.1837360882114;1338.0337360882113
Граница фазовой области;36;NIAL;1;0.2346672911928802;23.466729119288022;1526.9295917585027;1253.7795917585026
Граница фазовой области;36;NIAL;2;0.23385025498536918;23.38502549853692;1531.9295917585027;1258.7795917585026
Граница фазовой области;36;NIAL;3;0.23218274461219712;23.218274461219714;1541.9295917585027;1268.7795917585026
Граница фазовой области;36;NIAL;4;0.22868176861500134;22.86817686150013;1561.9295917585027;1288.7795917585026
Граница фазовой области;36;NIAL;5;0.22067033131018268;22.067033131018267;1601.9295917585027;1328.7795917585026
Граница фазовой области;36;NIAL;6;0.2185321332823757;21.85321332823757;1611.1837360882114;1338.0337360882113
Граница фазовой области;37;FCC_A1;1;0.23466714310206518;23.46671431020652;1526.9295917585027;1253.7795917585026
Граница фазовой области;37;FCC_A1;2;0.23431600414734574;23.431600414734575;1521.9295917585027;1248.7795917585026
